centre,par,sc,dom,ref,d,t,s,n,v
edzw,mslp,me,nhem,era5,--,--,0,182,0.0713306
edzw,mslp,mae,nhem,era5,--,--,0,182,0.50745
edzw,mslp,sd,nhem,era5,--,--,0,182,0.793132
edzw,mslp,rmse,nhem,era5,--,--,0,182,0.797104
edzw,mslp,me,nhem,era5,--,--,6,182,0.0278609
edzw,mslp,mae,nhem,era5,--,--,6,182,0.497008
edzw,mslp,sd,nhem,era5,--,--,6,182,0.772545
edzw,mslp,rmse,nhem,era5,--,--,6,182,0.775799
edzw,mslp,me,nhem,era5,--,--,12,181,0.0299535
edzw,mslp,mae,nhem,era5,--,--,12,181,0.554901
edzw,mslp,sd,nhem,era5,--,--,12,181,0.865821
edzw,mslp,rmse,nhem,era5,--,--,12,181,0.868133
edzw,mslp,me,nhem,era5,--,--,18,181,0.0415125
edzw,mslp,mae,nhem,era5,--,--,18,181,0.581234
edzw,mslp,sd,nhem,era5,--,--,18,181,0.877187
edzw,mslp,rmse,nhem,era5,--,--,18,181,0.879627
edzw,mslp,me,nhem,era5,--,--,24,180,0.0336901
edzw,mslp,mae,nhem,era5,--,--,24,180,0.658567
edzw,mslp,sd,nhem,era5,--,--,24,180,0.990867
edzw,mslp,rmse,nhem,era5,--,--,24,180,0.994856
edzw,mslp,me,nhem,era5,--,--,30,180,0.0120538
edzw,mslp,mae,nhem,era5,--,--,30,180,0.705079
edzw,mslp,sd,nhem,era5,--,--,30,180,1.03499
edzw,mslp,rmse,nhem,era5,--,--,30,180,1.03909
edzw,mslp,me,nhem,era5,--,--,36,179,0.0610909
edzw,mslp,mae,nhem,era5,--,--,36,179,0.792734
edzw,mslp,sd,nhem,era5,--,--,36,179,1.17063
edzw,mslp,rmse,nhem,era5,--,--,36,179,1.17536
edzw,mslp,me,nhem,era5,--,--,42,179,0.021673
edzw,mslp,mae,nhem,era5,--,--,42,179,0.855694
edzw,mslp,sd,nhem,era5,--,--,42,179,1.24457
edzw,mslp,rmse,nhem,era5,--,--,42,179,1.24856
edzw,mslp,me,nhem,era5,--,--,48,178,0.042928
edzw,mslp,mae,nhem,era5,--,--,48,178,0.955036
edzw,mslp,sd,nhem,era5,--,--,48,178,1.40068
edzw,mslp,rmse,nhem,era5,--,--,48,178,1.40619
edzw,mslp,me,nhem,era5,--,--,54,178,0.0225125
edzw,mslp,mae,nhem,era5,--,--,54,178,1.03506
edzw,mslp,sd,nhem,era5,--,--,54,178,1.51092
edzw,mslp,rmse,nhem,era5,--,--,54,178,1.51501
edzw,mslp,me,nhem,era5,--,--,60,177,0.0496419
edzw,mslp,mae,nhem,era5,--,--,60,177,1.14901
edzw,mslp,sd,nhem,era5,--,--,60,177,1.6903
edzw,mslp,rmse,nhem,era5,--,--,60,177,1.69623
edzw,mslp,me,nhem,era5,--,--,66,177,0.00639301
edzw,mslp,mae,nhem,era5,--,--,66,177,1.24591
edzw,mslp,sd,nhem,era5,--,--,66,177,1.83514
edzw,mslp,rmse,nhem,era5,--,--,66,177,1.84004
edzw,mslp,me,nhem,era5,--,--,72,176,0.0581996
edzw,mslp,mae,nhem,era5,--,--,72,176,1.37846
edzw,mslp,sd,nhem,era5,--,--,72,176,2.04415
edzw,mslp,rmse,nhem,era5,--,--,72,176,2.05019
