centre,par,sc,dom,ref,d,t,s,n,v
edzw,mslp,me,nhem,era5,--,--,0,182,0.072464
edzw,mslp,mae,nhem,era5,--,--,0,182,0.511782
edzw,mslp,sd,nhem,era5,--,--,0,182,0.7941
edzw,mslp,rmse,nhem,era5,--,--,0,182,0.798309
edzw,mslp,me,nhem,era5,--,--,6,182,0.0347367
edzw,mslp,mae,nhem,era5,--,--,6,182,0.499059
edzw,mslp,sd,nhem,era5,--,--,6,182,0.768836
edzw,mslp,rmse,nhem,era5,--,--,6,182,0.77293
edzw,mslp,me,nhem,era5,--,--,12,181,0.0353588
edzw,mslp,mae,nhem,era5,--,--,12,181,0.55337
edzw,mslp,sd,nhem,era5,--,--,12,181,0.854927
edzw,mslp,rmse,nhem,era5,--,--,12,181,0.857604
edzw,mslp,me,nhem,era5,--,--,18,181,0.0317937
edzw,mslp,mae,nhem,era5,--,--,18,181,0.578402
edzw,mslp,sd,nhem,era5,--,--,18,181,0.868587
edzw,mslp,rmse,nhem,era5,--,--,18,181,0.87053
edzw,mslp,me,nhem,era5,--,--,24,180,0.0365325
edzw,mslp,mae,nhem,era5,--,--,24,180,0.654657
edzw,mslp,sd,nhem,era5,--,--,24,180,0.979852
edzw,mslp,rmse,nhem,era5,--,--,24,180,0.98359
edzw,mslp,me,nhem,era5,--,--,30,180,0.0135202
edzw,mslp,mae,nhem,era5,--,--,30,180,0.699337
edzw,mslp,sd,nhem,era5,--,--,30,180,1.0239
edzw,mslp,rmse,nhem,era5,--,--,30,180,1.02786
edzw,mslp,me,nhem,era5,--,--,36,179,0.0505032
edzw,mslp,mae,nhem,era5,--,--,36,179,0.786775
edzw,mslp,sd,nhem,era5,--,--,36,179,1.15704
edzw,mslp,rmse,nhem,era5,--,--,36,179,1.16074
edzw,mslp,me,nhem,era5,--,--,42,179,0.0267472
edzw,mslp,mae,nhem,era5,--,--,42,179,0.849162
edzw,mslp,sd,nhem,era5,--,--,42,179,1.23545
edzw,mslp,rmse,nhem,era5,--,--,42,179,1.23872
edzw,mslp,me,nhem,era5,--,--,48,178,0.0456417
edzw,mslp,mae,nhem,era5,--,--,48,178,0.949254
edzw,mslp,sd,nhem,era5,--,--,48,178,1.39179
edzw,mslp,rmse,nhem,era5,--,--,48,178,1.3968
edzw,mslp,me,nhem,era5,--,--,54,178,0.0227563
edzw,mslp,mae,nhem,era5,--,--,54,178,1.02857
edzw,mslp,sd,nhem,era5,--,--,54,178,1.50573
edzw,mslp,rmse,nhem,era5,--,--,54,178,1.50911
edzw,mslp,me,nhem,era5,--,--,60,177,0.0507711
edzw,mslp,mae,nhem,era5,--,--,60,177,1.14299
edzw,mslp,sd,nhem,era5,--,--,60,177,1.68737
edzw,mslp,rmse,nhem,era5,--,--,60,177,1.69245
edzw,mslp,me,nhem,era5,--,--,66,177,0.024332
edzw,mslp,mae,nhem,era5,--,--,66,177,1.24153
edzw,mslp,sd,nhem,era5,--,--,66,177,1.83798
edzw,mslp,rmse,nhem,era5,--,--,66,177,1.84211
edzw,mslp,me,nhem,era5,--,--,72,176,0.0571954
edzw,mslp,mae,nhem,era5,--,--,72,176,1.37136
edzw,mslp,sd,nhem,era5,--,--,72,176,2.04469
edzw,mslp,rmse,nhem,era5,--,--,72,176,2.04988
edzw,mslp,me,nhem,era5,--,--,78,176,0.0306548
edzw,mslp,mae,nhem,era5,--,--,78,176,1.4994
edzw,mslp,sd,nhem,era5,--,--,78,176,2.23668
edzw,mslp,rmse,nhem,era5,--,--,78,176,2.2416
edzw,mslp,me,nhem,era5,--,--,84,175,0.0470633
edzw,mslp,mae,nhem,era5,--,--,84,175,1.64545
edzw,mslp,sd,nhem,era5,--,--,84,175,2.47198
edzw,mslp,rmse,nhem,era5,--,--,84,175,2.47801
edzw,mslp,me,nhem,era5,--,--,90,175,0.0248216
edzw,mslp,mae,nhem,era5,--,--,90,175,1.79882
edzw,mslp,sd,nhem,era5,--,--,90,175,2.70039
edzw,mslp,rmse,nhem,era5,--,--,90,175,2.70535
edzw,mslp,me,nhem,era5,--,--,96,174,0.0279935
edzw,mslp,mae,nhem,era5,--,--,96,174,1.96423
edzw,mslp,sd,nhem,era5,--,--,96,174,2.96215
edzw,mslp,rmse,nhem,era5,--,--,96,174,2.96798
edzw,mslp,me,nhem,era5,--,--,102,174,0.00841466
edzw,mslp,mae,nhem,era5,--,--,102,174,2.12926
edzw,mslp,sd,nhem,era5,--,--,102,174,3.22081
edzw,mslp,rmse,nhem,era5,--,--,102,174,3.22665
edzw,mslp,me,nhem,era5,--,--,108,173,0.0106823
edzw,mslp,mae,nhem,era5,--,--,108,173,2.31522
edzw,mslp,sd,nhem,era5,--,--,108,173,3.51652
edzw,mslp,rmse,nhem,era5,--,--,108,173,3.5225
edzw,mslp,me,nhem,era5,--,--,114,173,0.0175058
edzw,mslp,mae,nhem,era5,--,--,114,173,2.50475
edzw,mslp,sd,nhem,era5,--,--,114,173,3.80594
edzw,mslp,rmse,nhem,era5,--,--,114,173,3.81144
edzw,mslp,me,nhem,era5,--,--,120,172,-0.00718491
edzw,mslp,mae,nhem,era5,--,--,120,172,2.70569
edzw,mslp,sd,nhem,era5,--,--,120,172,4.12193
edzw,mslp,rmse,nhem,era5,--,--,120,172,4.12813
edzw,mslp,me,nhem,era5,--,--,126,172,0.0123084
edzw,mslp,mae,nhem,era5,--,--,126,172,2.90727
edzw,mslp,sd,nhem,era5,--,--,126,172,4.42867
edzw,mslp,rmse,nhem,era5,--,--,126,172,4.43426
edzw,mslp,me,nhem,era5,--,--,132,171,-0.010292
edzw,mslp,mae,nhem,era5,--,--,132,171,3.1124
edzw,mslp,sd,nhem,era5,--,--,132,171,4.7464
edzw,mslp,rmse,nhem,era5,--,--,132,171,4.75233
edzw,mslp,me,nhem,era5,--,--,138,171,0.0094276
edzw,mslp,mae,nhem,era5,--,--,138,171,3.31575
edzw,mslp,sd,nhem,era5,--,--,138,171,5.04838
edzw,mslp,rmse,nhem,era5,--,--,138,171,5.05403
edzw,mslp,me,nhem,era5,--,--,144,170,-0.0319735
edzw,mslp,mae,nhem,era5,--,--,144,170,3.51965
edzw,mslp,sd,nhem,era5,--,--,144,170,5.34491
edzw,mslp,rmse,nhem,era5,--,--,144,170,5.35146
edzw,mslp,me,nhem,era5,--,--,150,170,0.0179371
edzw,mslp,mae,nhem,era5,--,--,150,170,3.718
edzw,mslp,sd,nhem,era5,--,--,150,170,5.62858
edzw,mslp,rmse,nhem,era5,--,--,150,170,5.63501
edzw,mslp,me,nhem,era5,--,--,156,169,-0.0307311
edzw,mslp,mae,nhem,era5,--,--,156,169,3.91392
edzw,mslp,sd,nhem,era5,--,--,156,169,5.90672
edzw,mslp,rmse,nhem,era5,--,--,156,169,5.91431
edzw,mslp,me,nhem,era5,--,--,162,169,-0.000438753
edzw,mslp,mae,nhem,era5,--,--,162,169,4.12082
edzw,mslp,sd,nhem,era5,--,--,162,169,6.18901
edzw,mslp,rmse,nhem,era5,--,--,162,169,6.19662
edzw,mslp,me,nhem,era5,--,--,168,168,-0.0428504
edzw,mslp,mae,nhem,era5,--,--,168,168,4.3127
edzw,mslp,sd,nhem,era5,--,--,168,168,6.45712
edzw,mslp,rmse,nhem,era5,--,--,168,168,6.4663
edzw,mslp,me,nhem,era5,--,--,174,168,-0.0065449
edzw,mslp,mae,nhem,era5,--,--,174,168,4.51985
edzw,mslp,sd,nhem,era5,--,--,174,168,6.73686
edzw,mslp,rmse,nhem,era5,--,--,174,168,6.7469
edzw,mslp,me,nhem,era5,--,--,180,167,-0.0538026
edzw,mslp,mae,nhem,era5,--,--,180,167,4.70675
edzw,mslp,sd,nhem,era5,--,--,180,167,6.99745
edzw,mslp,rmse,nhem,era5,--,--,180,167,7.00915
edzw,mslp,me,nhem,era5,--,--,186,167,-0.010221
edzw,mslp,mae,nhem,era5,--,--,186,167,4.90261
edzw,mslp,sd,nhem,era5,--,--,186,167,7.26635
edzw,mslp,rmse,nhem,era5,--,--,186,167,7.27889
edzw,mslp,me,nhem,era5,--,--,192,166,-0.0467807
edzw,mslp,mae,nhem,era5,--,--,192,166,5.07477
edzw,mslp,sd,nhem,era5,--,--,192,166,7.51189
edzw,mslp,rmse,nhem,era5,--,--,192,166,7.52583
