centre,par,sc,dom,ref,d,t,s,n,v
rksl,r1000hpa,me,nhem,ob,--,--,12,182,0.0194610465116
rksl,r1000hpa,me,nhem,ob,--,--,24,182,0.0177587209302
rksl,r1000hpa,me,nhem,ob,--,--,36,182,0.0162796511628
rksl,r1000hpa,me,nhem,ob,--,--,48,182,0.0153453488372
rksl,r1000hpa,me,nhem,ob,--,--,60,182,0.0141069767442
rksl,r1000hpa,me,nhem,ob,--,--,72,182,0.0141127906977
rksl,r1000hpa,me,nhem,ob,--,--,84,182,0.0150563953488
rksl,r1000hpa,me,nhem,ob,--,--,96,182,0.0150988372093
rksl,r1000hpa,me,nhem,ob,--,--,108,182,0.0161290697674
rksl,r1000hpa,me,nhem,ob,--,--,120,182,0.0175639534884
rksl,r1000hpa,me,tropics,ob,--,--,12,64,-0.0445203488372
rksl,r1000hpa,me,tropics,ob,--,--,24,64,-0.0465761627907
rksl,r1000hpa,me,tropics,ob,--,--,36,64,-0.0470796511628
rksl,r1000hpa,me,tropics,ob,--,--,48,64,-0.0457348837209
rksl,r1000hpa,me,tropics,ob,--,--,60,64,-0.0452813953488
rksl,r1000hpa,me,tropics,ob,--,--,72,64,-0.0444575581395
rksl,r1000hpa,me,tropics,ob,--,--,84,64,-0.0442476744186
rksl,r1000hpa,me,tropics,ob,--,--,96,64,-0.0437755813953
rksl,r1000hpa,me,tropics,ob,--,--,108,64,-0.0449081395349
rksl,r1000hpa,me,tropics,ob,--,--,120,64,-0.045061627907
rksl,r1000hpa,me,shem,ob,--,--,12,22,-0.00968430232558
rksl,r1000hpa,me,shem,ob,--,--,24,22,-0.0142610465116
rksl,r1000hpa,me,shem,ob,--,--,36,22,-0.0170005813953
rksl,r1000hpa,me,shem,ob,--,--,48,22,-0.0171941860465
rksl,r1000hpa,me,shem,ob,--,--,60,22,-0.0187936046512
rksl,r1000hpa,me,shem,ob,--,--,72,22,-0.0184308139535
rksl,r1000hpa,me,shem,ob,--,--,84,22,-0.0193715116279
rksl,r1000hpa,me,shem,ob,--,--,96,22,-0.0185738372093
rksl,r1000hpa,me,shem,ob,--,--,108,22,-0.0178726744186
rksl,r1000hpa,me,shem,ob,--,--,120,22,-0.0172877906977
rksl,r1000hpa,mae,nhem,ob,--,--,12,182,0.0963552325581
rksl,r1000hpa,mae,nhem,ob,--,--,24,182,0.0988174418605
rksl,r1000hpa,mae,nhem,ob,--,--,36,182,0.101525
rksl,r1000hpa,mae,nhem,ob,--,--,48,182,0.103381976744
rksl,r1000hpa,mae,nhem,ob,--,--,60,182,0.105919186047
rksl,r1000hpa,mae,nhem,ob,--,--,72,182,0.108468604651
rksl,r1000hpa,mae,nhem,ob,--,--,84,182,0.110861627907
rksl,r1000hpa,mae,nhem,ob,--,--,96,182,0.113486046512
rksl,r1000hpa,mae,nhem,ob,--,--,108,182,0.11656744186
rksl,r1000hpa,mae,nhem,ob,--,--,120,182,0.119796511628
rksl,r1000hpa,mae,tropics,ob,--,--,12,64,0.076951744186
rksl,r1000hpa,mae,tropics,ob,--,--,24,64,0.0785709302326
rksl,r1000hpa,mae,tropics,ob,--,--,36,64,0.0798162790698
rksl,r1000hpa,mae,tropics,ob,--,--,48,64,0.0796715116279
rksl,r1000hpa,mae,tropics,ob,--,--,60,64,0.0801191860465
rksl,r1000hpa,mae,tropics,ob,--,--,72,64,0.0796970930233
rksl,r1000hpa,mae,tropics,ob,--,--,84,64,0.0798738372093
rksl,r1000hpa,mae,tropics,ob,--,--,96,64,0.0807784883721
rksl,r1000hpa,mae,tropics,ob,--,--,108,64,0.0819052325581
rksl,r1000hpa,mae,tropics,ob,--,--,120,64,0.0821854651163
rksl,r1000hpa,mae,shem,ob,--,--,12,22,0.089723255814
rksl,r1000hpa,mae,shem,ob,--,--,24,22,0.0919709302326
rksl,r1000hpa,mae,shem,ob,--,--,36,22,0.0945005813953
rksl,r1000hpa,mae,shem,ob,--,--,48,22,0.0959406976744
rksl,r1000hpa,mae,shem,ob,--,--,60,22,0.0993709302326
rksl,r1000hpa,mae,shem,ob,--,--,72,22,0.10208372093
rksl,r1000hpa,mae,shem,ob,--,--,84,22,0.105000581395
