centre,par,sc,dom,ref,d,t,s,n,v
rksl,r1000hpa,me,nhem,ob,--,--,12,182,0.0202918604651
rksl,r1000hpa,me,nhem,ob,--,--,24,182,0.0186081395349
rksl,r1000hpa,me,nhem,ob,--,--,36,182,0.0166005813953
rksl,r1000hpa,me,nhem,ob,--,--,48,182,0.0156941860465
rksl,r1000hpa,me,nhem,ob,--,--,60,182,0.0142331395349
rksl,r1000hpa,me,nhem,ob,--,--,72,182,0.0137360465116
rksl,r1000hpa,me,nhem,ob,--,--,84,182,0.014461627907
rksl,r1000hpa,me,nhem,ob,--,--,96,182,0.0147313953488
rksl,r1000hpa,me,nhem,ob,--,--,108,182,0.015948255814
rksl,r1000hpa,me,nhem,ob,--,--,120,182,0.0166395348837
rksl,r1000hpa,me,tropics,ob,--,--,12,64,-0.0442645348837
rksl,r1000hpa,me,tropics,ob,--,--,24,64,-0.0467401162791
rksl,r1000hpa,me,tropics,ob,--,--,36,64,-0.0466052325581
rksl,r1000hpa,me,tropics,ob,--,--,48,64,-0.0459656976744
rksl,r1000hpa,me,tropics,ob,--,--,60,64,-0.0454819767442
rksl,r1000hpa,me,tropics,ob,--,--,72,64,-0.0443546511628
rksl,r1000hpa,me,tropics,ob,--,--,84,64,-0.0445436046512
rksl,r1000hpa,me,tropics,ob,--,--,96,64,-0.0441494186047
rksl,r1000hpa,me,tropics,ob,--,--,108,64,-0.0449639534884
rksl,r1000hpa,me,tropics,ob,--,--,120,64,-0.04555
rksl,r1000hpa,me,shem,ob,--,--,12,22,-0.00832441860465
rksl,r1000hpa,me,shem,ob,--,--,24,22,-0.0125436046512
rksl,r1000hpa,me,shem,ob,--,--,36,22,-0.0157970930233
rksl,r1000hpa,me,shem,ob,--,--,48,22,-0.0168343023256
rksl,r1000hpa,me,shem,ob,--,--,60,22,-0.0187122093023
rksl,r1000hpa,me,shem,ob,--,--,72,22,-0.0196773255814
rksl,r1000hpa,me,shem,ob,--,--,84,22,-0.0207308139535
rksl,r1000hpa,me,shem,ob,--,--,96,22,-0.0197418604651
rksl,r1000hpa,me,shem,ob,--,--,108,22,-0.0185360465116
rksl,r1000hpa,me,shem,ob,--,--,120,22,-0.0168622093023
