centre,par,sc,dom,ref,d,t,s,n,v
rksl,r1000hpa,me,nhem,ob,--,--,12,182,0.0206581395349
rksl,r1000hpa,me,nhem,ob,--,--,24,182,0.0189697674419
rksl,r1000hpa,me,nhem,ob,--,--,36,182,0.0167773255814
rksl,r1000hpa,me,nhem,ob,--,--,48,182,0.0153476744186
rksl,r1000hpa,me,nhem,ob,--,--,60,182,0.014486627907
rksl,r1000hpa,me,nhem,ob,--,--,72,182,0.0138959302326
rksl,r1000hpa,me,nhem,ob,--,--,84,182,0.0146686046512
rksl,r1000hpa,me,nhem,ob,--,--,96,182,0.015063372093
rksl,r1000hpa,me,nhem,ob,--,--,108,182,0.0160186046512
rksl,r1000hpa,me,nhem,ob,--,--,120,182,0.0167052325581
rksl,r1000hpa,me,tropics,ob,--,--,12,64,-0.0438122093023
rksl,r1000hpa,me,tropics,ob,--,--,24,64,-0.0463976744186
rksl,r1000hpa,me,tropics,ob,--,--,36,64,-0.0462674418605
rksl,r1000hpa,me,tropics,ob,--,--,48,64,-0.045725
rksl,r1000hpa,me,tropics,ob,--,--,60,64,-0.0451779069767
rksl,r1000hpa,me,tropics,ob,--,--,72,64,-0.0445988372093
rksl,r1000hpa,me,tropics,ob,--,--,84,64,-0.0446313953488
rksl,r1000hpa,me,tropics,ob,--,--,96,64,-0.0444389534884
rksl,r1000hpa,me,tropics,ob,--,--,108,64,-0.0450081395349
rksl,r1000hpa,me,tropics,ob,--,--,120,64,-0.0451430232558
rksl,r1000hpa,me,shem,ob,--,--,12,22,-0.00908430232558
rksl,r1000hpa,me,shem,ob,--,--,24,22,-0.0134523255814
rksl,r1000hpa,me,shem,ob,--,--,36,22,-0.0169941860465
rksl,r1000hpa,me,shem,ob,--,--,48,22,-0.0177296511628
rksl,r1000hpa,me,shem,ob,--,--,60,22,-0.0197674418605
rksl,r1000hpa,me,shem,ob,--,--,72,22,-0.0207563953488
rksl,r1000hpa,me,shem,ob,--,--,84,22,-0.0204930232558
rksl,r1000hpa,me,shem,ob,--,--,96,22,-0.0202691860465
rksl,r1000hpa,me,shem,ob,--,--,108,22,-0.0186877906977
rksl,r1000hpa,me,shem,ob,--,--,120,22,-0.0182104651163
rksl,r1000hpa,mae,nhem,ob,--,--,12,182,0.0964244186047
rksl,r1000hpa,mae,nhem,ob,--,--,24,182,0.0990895348837
rksl,r1000hpa,mae,nhem,ob,--,--,36,182,0.101656395349
rksl,r1000hpa,mae,nhem,ob,--,--,48,182,0.103937790698
rksl,r1000hpa,mae,nhem,ob,--,--,60,182,0.106479069767
rksl,r1000hpa,mae,nhem,ob,--,--,72,182,0.10900755814
rksl,r1000hpa,mae,nhem,ob,--,--,84,182,0.112085465116
rksl,r1000hpa,mae,nhem,ob,--,--,96,182,0.114495348837
rksl,r1000hpa,mae,nhem,ob,--,--,108,182,0.117502325581
