centre,par,sc,dom,ref,d,t,s,n,v
lfpw,z1000hpa,me,nhem,ecmf,--,--,0,--,-1.72
lfpw,z1000hpa,me,nhem,ecmf,--,--,6,--,-1.76
lfpw,z1000hpa,me,nhem,ecmf,--,--,12,--,-1.47
lfpw,z1000hpa,me,nhem,ecmf,--,--,18,--,-1.25
lfpw,z1000hpa,me,nhem,ecmf,--,--,24,--,-1.35
lfpw,z1000hpa,me,nhem,ecmf,--,--,30,--,-.78
lfpw,z1000hpa,me,nhem,ecmf,--,--,36,--,-.99
lfpw,z1000hpa,me,nhem,ecmf,--,--,42,--,-1.20
lfpw,z1000hpa,me,nhem,ecmf,--,--,48,--,-.81
lfpw,z1000hpa,me,nhem,ecmf,--,--,54,--,-.80
lfpw,z1000hpa,me,nhem,ecmf,--,--,60,--,-1.33
lfpw,z1000hpa,me,nhem,ecmf,--,--,66,--,-1.14
lfpw,z1000hpa,me,nhem,ecmf,--,--,72,--,-.72
lfpw,z1000hpa,me,nhem,ecmf,--,--,78,--,-1.11
lfpw,z1000hpa,me,nhem,ecmf,--,--,84,--,-1.25
lfpw,z1000hpa,me,nhem,ecmf,--,--,90,--,-1.09
lfpw,z1000hpa,me,nhem,ecmf,--,--,96,--,-.92
lfpw,z1000hpa,me,nhem,ecmf,--,--,102,--,-.98
lfpw,z1000hpa,me,nhem,ecmf,--,--,108,--,-.96
lfpw,z1000hpa,me,nhem,ecmf,--,--,114,--,-1.25
lfpw,z1000hpa,me,nhem,ecmf,--,--,120,--,-.81
lfpw,z1000hpa,me,nhem,ecmf,--,--,126,--,-.50
lfpw,z1000hpa,me,nhem,ecmf,--,--,132,--,-.80
lfpw,z1000hpa,me,nhem,ecmf,--,--,138,--,-1.15
lfpw,z1000hpa,me,nhem,ecmf,--,--,144,--,-.41
lfpw,z1000hpa,me,nhem,ecmf,--,--,150,--,-.37
lfpw,z1000hpa,me,nhem,ecmf,--,--,156,--,-.77
lfpw,z1000hpa,me,nhem,ecmf,--,--,162,--,-.89
lfpw,z1000hpa,me,nhem,ecmf,--,--,168,--,-.54
lfpw,z1000hpa,me,nhem,ecmf,--,--,174,--,-.79
lfpw,z1000hpa,me,nhem,ecmf,--,--,180,--,-.85
lfpw,z1000hpa,me,nhem,ecmf,--,--,186,--,-.90
lfpw,z1000hpa,me,nhem,ecmf,--,--,192,--,-.74
lfpw,z1000hpa,me,nhem,ecmf,--,--,198,--,-.76
lfpw,z1000hpa,me,nhem,ecmf,--,--,204,--,-.78
lfpw,z1000hpa,me,nhem,ecmf,--,--,210,--,-1.00
lfpw,z1000hpa,me,nhem,ecmf,--,--,216,--,-.82
lfpw,z1000hpa,me,nhem,ecmf,--,--,222,--,-.84
lfpw,z1000hpa,me,nhem,ecmf,--,--,228,--,-1.07
lfpw,z1000hpa,me,nhem,ecmf,--,--,234,--,-1.25
lfpw,z1000hpa,me,nhem,ecmf,--,--,240,--,-.87
lfpw,z1000hpa,me,tropics,ecmf,--,--,0,--,-1.90
lfpw,z1000hpa,me,tropics,ecmf,--,--,6,--,-2.04
lfpw,z1000hpa,me,tropics,ecmf,--,--,12,--,-2.25
lfpw,z1000hpa,me,tropics,ecmf,--,--,18,--,-2.61
lfpw,z1000hpa,me,tropics,ecmf,--,--,24,--,-2.53
lfpw,z1000hpa,me,tropics,ecmf,--,--,30,--,-2.52
lfpw,z1000hpa,me,tropics,ecmf,--,--,36,--,-2.71
lfpw,z1000hpa,me,tropics,ecmf,--,--,42,--,-2.77
lfpw,z1000hpa,me,tropics,ecmf,--,--,48,--,-2.71
lfpw,z1000hpa,me,tropics,ecmf,--,--,54,--,-2.50
lfpw,z1000hpa,me,tropics,ecmf,--,--,60,--,-2.74
lfpw,z1000hpa,me,tropics,ecmf,--,--,66,--,-2.72
lfpw,z1000hpa,me,tropics,ecmf,--,--,72,--,-2.83
lfpw,z1000hpa,me,tropics,ecmf,--,--,78,--,-2.51
lfpw,z1000hpa,me,tropics,ecmf,--,--,84,--,-2.81
lfpw,z1000hpa,me,tropics,ecmf,--,--,90,--,-2.72
lfpw,z1000hpa,me,tropics,ecmf,--,--,96,--,-3.08
lfpw,z1000hpa,me,tropics,ecmf,--,--,102,--,-2.61
lfpw,z1000hpa,me,tropics,ecmf,--,--,108,--,-3.04
lfpw,z1000hpa,me,tropics,ecmf,--,--,114,--,-2.80
lfpw,z1000hpa,me,tropics,ecmf,--,--,120,--,-3.16
lfpw,z1000hpa,me,tropics,ecmf,--,--,126,--,-2.76
lfpw,z1000hpa,me,tropics,ecmf,--,--,132,--,-3.15
lfpw,z1000hpa,me,tropics,ecmf,--,--,138,--,-2.87
lfpw,z1000hpa,me,tropics,ecmf,--,--,144,--,-3.17
lfpw,z1000hpa,me,tropics,ecmf,--,--,150,--,-2.78
lfpw,z1000hpa,me,tropics,ecmf,--,--,156,--,-3.03
lfpw,z1000hpa,me,tropics,ecmf,--,--,162,--,-2.91
lfpw,z1000hpa,me,tropics,ecmf,--,--,168,--,-3.11
lfpw,z1000hpa,me,tropics,ecmf,--,--,174,--,-2.78
lfpw,z1000hpa,me,tropics,ecmf,--,--,180,--,-2.92
lfpw,z1000hpa,me,tropics,ecmf,--,--,186,--,-2.92
lfpw,z1000hpa,me,tropics,ecmf,--,--,192,--,-3.06
lfpw,z1000hpa,me,tropics,ecmf,--,--,198,--,-2.81
lfpw,z1000hpa,me,tropics,ecmf,--,--,204,--,-2.92
lfpw,z1000hpa,me,tropics,ecmf,--,--,210,--,-3.04
lfpw,z1000hpa,me,tropics,ecmf,--,--,216,--,-3.18
lfpw,z1000hpa,me,tropics,ecmf,--,--,222,--,-3.09
lfpw,z1000hpa,me,tropics,ecmf,--,--,228,--,-3.18
lfpw,z1000hpa,me,tropics,ecmf,--,--,234,--,-3.33
lfpw,z1000hpa,me,tropics,ecmf,--,--,240,--,-3.44
lfpw,z1000hpa,me,shem,ecmf,--,--,0,--,-.42
lfpw,z1000hpa,me,shem,ecmf,--,--,6,--,.04
lfpw,z1000hpa,me,shem,ecmf,--,--,12,--,-.66
lfpw,z1000hpa,me,shem,ecmf,--,--,18,--,-.24
lfpw,z1000hpa,me,shem,ecmf,--,--,24,--,.16
lfpw,z1000hpa,me,shem,ecmf,--,--,30,--,-.03
lfpw,z1000hpa,me,shem,ecmf,--,--,36,--,-.44
lfpw,z1000hpa,me,shem,ecmf,--,--,42,--,.23
lfpw,z1000hpa,me,shem,ecmf,--,--,48,--,.12
lfpw,z1000hpa,me,shem,ecmf,--,--,54,--,.14
lfpw,z1000hpa,me,shem,ecmf,--,--,60,--,.04
lfpw,z1000hpa,me,shem,ecmf,--,--,66,--,.25
lfpw,z1000hpa,me,shem,ecmf,--,--,72,--,.23
lfpw,z1000hpa,me,shem,ecmf,--,--,78,--,.51
lfpw,z1000hpa,me,shem,ecmf,--,--,84,--,.16
lfpw,z1000hpa,me,shem,ecmf,--,--,90,--,.34
lfpw,z1000hpa,me,shem,ecmf,--,--,96,--,.65
lfpw,z1000hpa,me,shem,ecmf,--,--,102,--,.58
lfpw,z1000hpa,me,shem,ecmf,--,--,108,--,.14
lfpw,z1000hpa,me,shem,ecmf,--,--,114,--,.88
lfpw,z1000hpa,me,shem,ecmf,--,--,120,--,1.15
lfpw,z1000hpa,me,shem,ecmf,--,--,126,--,.86
lfpw,z1000hpa,me,shem,ecmf,--,--,132,--,.78
lfpw,z1000hpa,me,shem,ecmf,--,--,138,--,1.50
lfpw,z1000hpa,me,shem,ecmf,--,--,144,--,1.56
lfpw,z1000hpa,me,shem,ecmf,--,--,150,--,1.56
lfpw,z1000hpa,me,shem,ecmf,--,--,156,--,1.51
lfpw,z1000hpa,me,shem,ecmf,--,--,162,--,1.90
lfpw,z1000hpa,me,shem,ecmf,--,--,168,--,1.96
lfpw,z1000hpa,me,shem,ecmf,--,--,174,--,2.06
lfpw,z1000hpa,me,shem,ecmf,--,--,180,--,1.59
lfpw,z1000hpa,me,shem,ecmf,--,--,186,--,2.15
lfpw,z1000hpa,me,shem,ecmf,--,--,192,--,2.41
lfpw,z1000hpa,me,shem,ecmf,--,--,198,--,2.35
lfpw,z1000hpa,me,shem,ecmf,--,--,204,--,1.77
lfpw,z1000hpa,me,shem,ecmf,--,--,210,--,2.56
lfpw,z1000hpa,me,shem,ecmf,--,--,216,--,2.63
lfpw,z1000hpa,me,shem,ecmf,--,--,222,--,2.46
lfpw,z1000hpa,me,shem,ecmf,--,--,228,--,1.95
lfpw,z1000hpa,me,shem,ecmf,--,--,234,--,2.44
lfpw,z1000hpa,me,shem,ecmf,--,--,240,--,2.26
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,0,--,3.19
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,6,--,3.62
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,12,--,4.16
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,18,--,4.76
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,24,--,5.41
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,30,--,6.11
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,36,--,7.06
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,42,--,7.89
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,48,--,8.80
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,54,--,9.71
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,60,--,10.99
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,66,--,12.03
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,72,--,13.26
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,78,--,14.53
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,84,--,16.06
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,90,--,17.48
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,96,--,19.12
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,102,--,20.72
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,108,--,22.76
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,114,--,24.51
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,120,--,26.42
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,126,--,28.20
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,132,--,30.55
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,138,--,32.26
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,144,--,34.26
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,150,--,35.89
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,156,--,38.11
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,162,--,39.64
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,168,--,41.62
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,174,--,43.07
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,180,--,45.13
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,186,--,46.35
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,192,--,47.98
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,198,--,49.13
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,204,--,50.96
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,210,--,51.83
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,216,--,53.13
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,222,--,53.96
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,228,--,55.56
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,234,--,56.32
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,240,--,57.54
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,0,--,3.02
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,6,--,3.41
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,12,--,4.01
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,18,--,4.46
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,24,--,4.53
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,30,--,4.81
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,36,--,5.12
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,42,--,5.46
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,48,--,5.44
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,54,--,5.57
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,60,--,5.87
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,66,--,6.07
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,72,--,6.15
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,78,--,6.15
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,84,--,6.51
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,90,--,6.64
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,96,--,6.82
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,102,--,6.73
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,108,--,7.21
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,114,--,7.27
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,120,--,7.57
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,126,--,7.43
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,132,--,7.92
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,138,--,8.02
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,144,--,8.34
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,150,--,8.19
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,156,--,8.59
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,162,--,8.77
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,168,--,9.08
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,174,--,9.07
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,180,--,9.53
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,186,--,9.78
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,192,--,10.04
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,198,--,10.06
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,204,--,10.35
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,210,--,10.71
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,216,--,10.97
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,222,--,11.00
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,228,--,11.36
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,234,--,11.74
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,240,--,12.05
lfpw,z1000hpa,rmse,shem,ecmf,--,--,0,--,2.60
lfpw,z1000hpa,rmse,shem,ecmf,--,--,6,--,3.08
lfpw,z1000hpa,rmse,shem,ecmf,--,--,12,--,3.93
lfpw,z1000hpa,rmse,shem,ecmf,--,--,18,--,4.31
lfpw,z1000hpa,rmse,shem,ecmf,--,--,24,--,5.02
lfpw,z1000hpa,rmse,shem,ecmf,--,--,30,--,5.70
lfpw,z1000hpa,rmse,shem,ecmf,--,--,36,--,6.65
lfpw,z1000hpa,rmse,shem,ecmf,--,--,42,--,7.44
lfpw,z1000hpa,rmse,shem,ecmf,--,--,48,--,8.39
lfpw,z1000hpa,rmse,shem,ecmf,--,--,54,--,9.37
lfpw,z1000hpa,rmse,shem,ecmf,--,--,60,--,10.64
lfpw,z1000hpa,rmse,shem,ecmf,--,--,66,--,11.78
lfpw,z1000hpa,rmse,shem,ecmf,--,--,72,--,13.06
lfpw,z1000hpa,rmse,shem,ecmf,--,--,78,--,14.26
lfpw,z1000hpa,rmse,shem,ecmf,--,--,84,--,15.83
lfpw,z1000hpa,rmse,shem,ecmf,--,--,90,--,17.25
lfpw,z1000hpa,rmse,shem,ecmf,--,--,96,--,18.71
lfpw,z1000hpa,rmse,shem,ecmf,--,--,102,--,20.15
lfpw,z1000hpa,rmse,shem,ecmf,--,--,108,--,21.84
lfpw,z1000hpa,rmse,shem,ecmf,--,--,114,--,23.51
lfpw,z1000hpa,rmse,shem,ecmf,--,--,120,--,25.27
lfpw,z1000hpa,rmse,shem,ecmf,--,--,126,--,26.83
lfpw,z1000hpa,rmse,shem,ecmf,--,--,132,--,28.73
lfpw,z1000hpa,rmse,shem,ecmf,--,--,138,--,30.40
lfpw,z1000hpa,rmse,shem,ecmf,--,--,144,--,32.14
lfpw,z1000hpa,rmse,shem,ecmf,--,--,150,--,33.64
lfpw,z1000hpa,rmse,shem,ecmf,--,--,156,--,35.50
lfpw,z1000hpa,rmse,shem,ecmf,--,--,162,--,37.02
lfpw,z1000hpa,rmse,shem,ecmf,--,--,168,--,38.69
lfpw,z1000hpa,rmse,shem,ecmf,--,--,174,--,40.12
lfpw,z1000hpa,rmse,shem,ecmf,--,--,180,--,41.81
lfpw,z1000hpa,rmse,shem,ecmf,--,--,186,--,43.27
lfpw,z1000hpa,rmse,shem,ecmf,--,--,192,--,44.89
lfpw,z1000hpa,rmse,shem,ecmf,--,--,198,--,46.31
lfpw,z1000hpa,rmse,shem,ecmf,--,--,204,--,47.93
lfpw,z1000hpa,rmse,shem,ecmf,--,--,210,--,49.31
lfpw,z1000hpa,rmse,shem,ecmf,--,--,216,--,50.80
lfpw,z1000hpa,rmse,shem,ecmf,--,--,222,--,51.69
lfpw,z1000hpa,rmse,shem,ecmf,--,--,228,--,52.94
lfpw,z1000hpa,rmse,shem,ecmf,--,--,234,--,53.81
lfpw,z1000hpa,rmse,shem,ecmf,--,--,240,--,54.81
lfpw,z1000hpa,sd,nhem,ecmf,--,--,0,--,2.68
