centre,par,sc,dom,ref,d,t,s,n,v
lfpw,z1000hpa,me,nhem,ob,--,--,0,--,-1.03
lfpw,z1000hpa,me,nhem,ob,--,--,12,--,-1.13
lfpw,z1000hpa,me,nhem,ob,--,--,24,--,-.81
lfpw,z1000hpa,me,nhem,ob,--,--,36,--,-.88
lfpw,z1000hpa,me,nhem,ob,--,--,48,--,-.20
lfpw,z1000hpa,me,nhem,ob,--,--,60,--,-.67
lfpw,z1000hpa,me,nhem,ob,--,--,72,--,.27
lfpw,z1000hpa,me,nhem,ob,--,--,84,--,-.46
lfpw,z1000hpa,me,nhem,ob,--,--,96,--,-.10
lfpw,z1000hpa,me,nhem,ob,--,--,108,--,-.70
lfpw,z1000hpa,me,nhem,ob,--,--,120,--,-1.06
lfpw,z1000hpa,me,nhem,ob,--,--,132,--,-1.76
lfpw,z1000hpa,me,nhem,ob,--,--,144,--,-1.38
lfpw,z1000hpa,me,nhem,ob,--,--,156,--,-2.97
lfpw,z1000hpa,me,nhem,ob,--,--,168,--,-2.88
lfpw,z1000hpa,me,nhem,ob,--,--,180,--,-4.60
lfpw,z1000hpa,me,nhem,ob,--,--,192,--,-4.94
lfpw,z1000hpa,me,nhem,ob,--,--,204,--,-6.67
lfpw,z1000hpa,me,nhem,ob,--,--,216,--,-7.12
lfpw,z1000hpa,me,nhem,ob,--,--,228,--,-9.40
lfpw,z1000hpa,me,nhem,ob,--,--,240,--,-8.79
lfpw,z1000hpa,me,tropics,ob,--,--,0,--,-1.13
lfpw,z1000hpa,me,tropics,ob,--,--,12,--,-.50
lfpw,z1000hpa,me,tropics,ob,--,--,24,--,-1.72
lfpw,z1000hpa,me,tropics,ob,--,--,36,--,-1.45
lfpw,z1000hpa,me,tropics,ob,--,--,48,--,-1.46
lfpw,z1000hpa,me,tropics,ob,--,--,60,--,-1.34
lfpw,z1000hpa,me,tropics,ob,--,--,72,--,-1.40
lfpw,z1000hpa,me,tropics,ob,--,--,84,--,-1.69
lfpw,z1000hpa,me,tropics,ob,--,--,96,--,-1.77
lfpw,z1000hpa,me,tropics,ob,--,--,108,--,-1.83
lfpw,z1000hpa,me,tropics,ob,--,--,120,--,-2.11
lfpw,z1000hpa,me,tropics,ob,--,--,132,--,-1.95
lfpw,z1000hpa,me,tropics,ob,--,--,144,--,-1.65
lfpw,z1000hpa,me,tropics,ob,--,--,156,--,-1.71
lfpw,z1000hpa,me,tropics,ob,--,--,168,--,-1.41
lfpw,z1000hpa,me,tropics,ob,--,--,180,--,-1.21
lfpw,z1000hpa,me,tropics,ob,--,--,192,--,-1.07
lfpw,z1000hpa,me,tropics,ob,--,--,204,--,-1.27
lfpw,z1000hpa,me,tropics,ob,--,--,216,--,-1.23
lfpw,z1000hpa,me,tropics,ob,--,--,228,--,-1.46
lfpw,z1000hpa,me,tropics,ob,--,--,240,--,-1.42
lfpw,z1000hpa,me,shem,ob,--,--,0,--,-1.96
lfpw,z1000hpa,me,shem,ob,--,--,12,--,-1.52
lfpw,z1000hpa,me,shem,ob,--,--,24,--,-.65
lfpw,z1000hpa,me,shem,ob,--,--,36,--,-2.24
lfpw,z1000hpa,me,shem,ob,--,--,48,--,-.18
lfpw,z1000hpa,me,shem,ob,--,--,60,--,-2.11
lfpw,z1000hpa,me,shem,ob,--,--,72,--,.29
lfpw,z1000hpa,me,shem,ob,--,--,84,--,-3.16
lfpw,z1000hpa,me,shem,ob,--,--,96,--,.06
lfpw,z1000hpa,me,shem,ob,--,--,108,--,-3.20
lfpw,z1000hpa,me,shem,ob,--,--,120,--,-.27
lfpw,z1000hpa,me,shem,ob,--,--,132,--,-3.69
lfpw,z1000hpa,me,shem,ob,--,--,144,--,-1.10
lfpw,z1000hpa,me,shem,ob,--,--,156,--,-6.81
lfpw,z1000hpa,me,shem,ob,--,--,168,--,-2.62
lfpw,z1000hpa,me,shem,ob,--,--,180,--,-7.77
lfpw,z1000hpa,me,shem,ob,--,--,192,--,-2.95
lfpw,z1000hpa,me,shem,ob,--,--,204,--,-10.89
lfpw,z1000hpa,me,shem,ob,--,--,216,--,-5.10
lfpw,z1000hpa,me,shem,ob,--,--,228,--,-11.95
lfpw,z1000hpa,me,shem,ob,--,--,240,--,-5.68
lfpw,z1000hpa,rmse,nhem,ob,--,--,0,--,7.00
lfpw,z1000hpa,rmse,nhem,ob,--,--,12,--,7.70
lfpw,z1000hpa,rmse,nhem,ob,--,--,24,--,8.35
lfpw,z1000hpa,rmse,nhem,ob,--,--,36,--,9.46
lfpw,z1000hpa,rmse,nhem,ob,--,--,48,--,10.53
lfpw,z1000hpa,rmse,nhem,ob,--,--,60,--,12.23
lfpw,z1000hpa,rmse,nhem,ob,--,--,72,--,13.96
lfpw,z1000hpa,rmse,nhem,ob,--,--,84,--,16.32
lfpw,z1000hpa,rmse,nhem,ob,--,--,96,--,18.80
lfpw,z1000hpa,rmse,nhem,ob,--,--,108,--,22.73
lfpw,z1000hpa,rmse,nhem,ob,--,--,120,--,25.91
