centre,par,sc,dom,ref,d,t,s,n,v
lfpw,z1000hpa,me,nhem,ecmf,--,--,0,--,-1.12
lfpw,z1000hpa,me,nhem,ecmf,--,--,6,--,-1.03
lfpw,z1000hpa,me,nhem,ecmf,--,--,12,--,-.81
lfpw,z1000hpa,me,nhem,ecmf,--,--,18,--,-.74
lfpw,z1000hpa,me,nhem,ecmf,--,--,24,--,-.65
lfpw,z1000hpa,me,nhem,ecmf,--,--,30,--,-.29
lfpw,z1000hpa,me,nhem,ecmf,--,--,36,--,-.57
lfpw,z1000hpa,me,nhem,ecmf,--,--,42,--,-.67
lfpw,z1000hpa,me,nhem,ecmf,--,--,48,--,-.32
lfpw,z1000hpa,me,nhem,ecmf,--,--,54,--,-.46
lfpw,z1000hpa,me,nhem,ecmf,--,--,60,--,-.84
lfpw,z1000hpa,me,nhem,ecmf,--,--,66,--,-.72
lfpw,z1000hpa,me,nhem,ecmf,--,--,72,--,-.33
lfpw,z1000hpa,me,nhem,ecmf,--,--,78,--,-.61
lfpw,z1000hpa,me,nhem,ecmf,--,--,84,--,-.70
lfpw,z1000hpa,me,nhem,ecmf,--,--,90,--,-.68
lfpw,z1000hpa,me,nhem,ecmf,--,--,96,--,-.41
lfpw,z1000hpa,me,nhem,ecmf,--,--,102,--,-.43
lfpw,z1000hpa,me,nhem,ecmf,--,--,108,--,-.52
lfpw,z1000hpa,me,nhem,ecmf,--,--,114,--,-.71
lfpw,z1000hpa,me,nhem,ecmf,--,--,120,--,-.20
lfpw,z1000hpa,me,nhem,ecmf,--,--,126,--,.01
lfpw,z1000hpa,me,nhem,ecmf,--,--,132,--,-.30
lfpw,z1000hpa,me,nhem,ecmf,--,--,138,--,-.51
lfpw,z1000hpa,me,nhem,ecmf,--,--,144,--,.16
lfpw,z1000hpa,me,nhem,ecmf,--,--,150,--,.25
lfpw,z1000hpa,me,nhem,ecmf,--,--,156,--,.07
lfpw,z1000hpa,me,nhem,ecmf,--,--,162,--,.10
lfpw,z1000hpa,me,nhem,ecmf,--,--,168,--,.54
lfpw,z1000hpa,me,nhem,ecmf,--,--,174,--,.49
lfpw,z1000hpa,me,nhem,ecmf,--,--,180,--,.46
lfpw,z1000hpa,me,nhem,ecmf,--,--,186,--,.40
lfpw,z1000hpa,me,nhem,ecmf,--,--,192,--,.60
lfpw,z1000hpa,me,nhem,ecmf,--,--,198,--,.67
lfpw,z1000hpa,me,nhem,ecmf,--,--,204,--,.47
lfpw,z1000hpa,me,nhem,ecmf,--,--,210,--,.18
lfpw,z1000hpa,me,nhem,ecmf,--,--,216,--,.45
lfpw,z1000hpa,me,nhem,ecmf,--,--,222,--,.51
lfpw,z1000hpa,me,nhem,ecmf,--,--,228,--,.13
lfpw,z1000hpa,me,nhem,ecmf,--,--,234,--,-.10
lfpw,z1000hpa,me,nhem,ecmf,--,--,240,--,.19
lfpw,z1000hpa,me,tropics,ecmf,--,--,0,--,-1.59
lfpw,z1000hpa,me,tropics,ecmf,--,--,6,--,-1.51
lfpw,z1000hpa,me,tropics,ecmf,--,--,12,--,-1.79
lfpw,z1000hpa,me,tropics,ecmf,--,--,18,--,-1.97
lfpw,z1000hpa,me,tropics,ecmf,--,--,24,--,-2.01
lfpw,z1000hpa,me,tropics,ecmf,--,--,30,--,-1.86
lfpw,z1000hpa,me,tropics,ecmf,--,--,36,--,-2.16
lfpw,z1000hpa,me,tropics,ecmf,--,--,42,--,-2.09
lfpw,z1000hpa,me,tropics,ecmf,--,--,48,--,-2.09
lfpw,z1000hpa,me,tropics,ecmf,--,--,54,--,-1.80
lfpw,z1000hpa,me,tropics,ecmf,--,--,60,--,-2.15
lfpw,z1000hpa,me,tropics,ecmf,--,--,66,--,-2.04
lfpw,z1000hpa,me,tropics,ecmf,--,--,72,--,-2.18
lfpw,z1000hpa,me,tropics,ecmf,--,--,78,--,-1.79
lfpw,z1000hpa,me,tropics,ecmf,--,--,84,--,-2.13
lfpw,z1000hpa,me,tropics,ecmf,--,--,90,--,-1.99
lfpw,z1000hpa,me,tropics,ecmf,--,--,96,--,-2.36
lfpw,z1000hpa,me,tropics,ecmf,--,--,102,--,-1.84
lfpw,z1000hpa,me,tropics,ecmf,--,--,108,--,-2.26
lfpw,z1000hpa,me,tropics,ecmf,--,--,114,--,-2.02
lfpw,z1000hpa,me,tropics,ecmf,--,--,120,--,-2.36
lfpw,z1000hpa,me,tropics,ecmf,--,--,126,--,-2.00
lfpw,z1000hpa,me,tropics,ecmf,--,--,132,--,-2.34
lfpw,z1000hpa,me,tropics,ecmf,--,--,138,--,-2.09
lfpw,z1000hpa,me,tropics,ecmf,--,--,144,--,-2.36
lfpw,z1000hpa,me,tropics,ecmf,--,--,150,--,-2.04
lfpw,z1000hpa,me,tropics,ecmf,--,--,156,--,-2.25
lfpw,z1000hpa,me,tropics,ecmf,--,--,162,--,-2.22
lfpw,z1000hpa,me,tropics,ecmf,--,--,168,--,-2.37
lfpw,z1000hpa,me,tropics,ecmf,--,--,174,--,-2.15
lfpw,z1000hpa,me,tropics,ecmf,--,--,180,--,-2.25
lfpw,z1000hpa,me,tropics,ecmf,--,--,186,--,-2.34
lfpw,z1000hpa,me,tropics,ecmf,--,--,192,--,-2.44
lfpw,z1000hpa,me,tropics,ecmf,--,--,198,--,-2.28
lfpw,z1000hpa,me,tropics,ecmf,--,--,204,--,-2.40
lfpw,z1000hpa,me,tropics,ecmf,--,--,210,--,-2.60
lfpw,z1000hpa,me,tropics,ecmf,--,--,216,--,-2.74
lfpw,z1000hpa,me,tropics,ecmf,--,--,222,--,-2.73
lfpw,z1000hpa,me,tropics,ecmf,--,--,228,--,-2.83
lfpw,z1000hpa,me,tropics,ecmf,--,--,234,--,-3.01
lfpw,z1000hpa,me,tropics,ecmf,--,--,240,--,-3.14
lfpw,z1000hpa,me,shem,ecmf,--,--,0,--,.02
lfpw,z1000hpa,me,shem,ecmf,--,--,6,--,.26
lfpw,z1000hpa,me,shem,ecmf,--,--,12,--,-.17
lfpw,z1000hpa,me,shem,ecmf,--,--,18,--,.32
lfpw,z1000hpa,me,shem,ecmf,--,--,24,--,.58
lfpw,z1000hpa,me,shem,ecmf,--,--,30,--,.51
lfpw,z1000hpa,me,shem,ecmf,--,--,36,--,.25
lfpw,z1000hpa,me,shem,ecmf,--,--,42,--,.77
lfpw,z1000hpa,me,shem,ecmf,--,--,48,--,.77
lfpw,z1000hpa,me,shem,ecmf,--,--,54,--,.89
lfpw,z1000hpa,me,shem,ecmf,--,--,60,--,.68
lfpw,z1000hpa,me,shem,ecmf,--,--,66,--,.90
lfpw,z1000hpa,me,shem,ecmf,--,--,72,--,1.00
lfpw,z1000hpa,me,shem,ecmf,--,--,78,--,1.16
lfpw,z1000hpa,me,shem,ecmf,--,--,84,--,.80
lfpw,z1000hpa,me,shem,ecmf,--,--,90,--,1.09
lfpw,z1000hpa,me,shem,ecmf,--,--,96,--,1.34
lfpw,z1000hpa,me,shem,ecmf,--,--,102,--,1.23
lfpw,z1000hpa,me,shem,ecmf,--,--,108,--,.95
lfpw,z1000hpa,me,shem,ecmf,--,--,114,--,1.66
lfpw,z1000hpa,me,shem,ecmf,--,--,120,--,1.91
lfpw,z1000hpa,me,shem,ecmf,--,--,126,--,1.77
lfpw,z1000hpa,me,shem,ecmf,--,--,132,--,1.69
lfpw,z1000hpa,me,shem,ecmf,--,--,138,--,2.27
lfpw,z1000hpa,me,shem,ecmf,--,--,144,--,2.39
lfpw,z1000hpa,me,shem,ecmf,--,--,150,--,2.40
lfpw,z1000hpa,me,shem,ecmf,--,--,156,--,2.22
lfpw,z1000hpa,me,shem,ecmf,--,--,162,--,2.65
lfpw,z1000hpa,me,shem,ecmf,--,--,168,--,2.73
lfpw,z1000hpa,me,shem,ecmf,--,--,174,--,2.74
lfpw,z1000hpa,me,shem,ecmf,--,--,180,--,2.23
lfpw,z1000hpa,me,shem,ecmf,--,--,186,--,2.81
lfpw,z1000hpa,me,shem,ecmf,--,--,192,--,3.02
lfpw,z1000hpa,me,shem,ecmf,--,--,198,--,2.92
lfpw,z1000hpa,me,shem,ecmf,--,--,204,--,2.50
lfpw,z1000hpa,me,shem,ecmf,--,--,210,--,3.23
lfpw,z1000hpa,me,shem,ecmf,--,--,216,--,3.19
lfpw,z1000hpa,me,shem,ecmf,--,--,222,--,2.84
lfpw,z1000hpa,me,shem,ecmf,--,--,228,--,2.24
lfpw,z1000hpa,me,shem,ecmf,--,--,234,--,2.63
lfpw,z1000hpa,me,shem,ecmf,--,--,240,--,2.34
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,0,--,2.82
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,6,--,3.27
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,12,--,3.98
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,18,--,4.62
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,24,--,5.29
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,30,--,6.03
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,36,--,7.02
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,42,--,7.79
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,48,--,8.79
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,54,--,9.66
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,60,--,10.96
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,66,--,12.02
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,72,--,13.32
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,78,--,14.59
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,84,--,16.14
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,90,--,17.57
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,96,--,19.21
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,102,--,20.81
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,108,--,22.76
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,114,--,24.43
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,120,--,26.29
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,126,--,28.09
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,132,--,30.40
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,138,--,32.16
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,144,--,34.11
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,150,--,35.72
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,156,--,37.87
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,162,--,39.31
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,168,--,41.28
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,174,--,42.84
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,180,--,45.04
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,186,--,46.29
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,192,--,47.88
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,198,--,48.93
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,204,--,50.63
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,210,--,51.43
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,216,--,52.56
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,222,--,53.15
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,228,--,54.50
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,234,--,55.13
lfpw,z1000hpa,rmse,nhem,ecmf,--,--,240,--,56.27
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,0,--,2.82
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,6,--,3.07
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,12,--,3.84
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,18,--,4.13
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,24,--,4.28
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,30,--,4.50
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,36,--,4.90
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,42,--,5.12
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,48,--,5.23
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,54,--,5.30
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,60,--,5.62
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,66,--,5.82
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,72,--,5.93
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,78,--,5.94
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,84,--,6.27
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,90,--,6.42
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,96,--,6.57
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,102,--,6.52
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,108,--,6.95
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,114,--,7.07
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,120,--,7.33
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,126,--,7.25
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,132,--,7.74
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,138,--,7.86
lfpw,z1000hpa,rmse,tropics,ecmf,--,--,144,--,8.19
