centre,par,sc,dom,ref,d,t,s,n,v
lfpw,z1000hpa,me,nhem,ob,--,--,0,--,-.48
lfpw,z1000hpa,me,nhem,ob,--,--,12,--,-.63
lfpw,z1000hpa,me,nhem,ob,--,--,24,--,-.22
lfpw,z1000hpa,me,nhem,ob,--,--,36,--,-.38
lfpw,z1000hpa,me,nhem,ob,--,--,48,--,.33
lfpw,z1000hpa,me,nhem,ob,--,--,60,--,-.18
lfpw,z1000hpa,me,nhem,ob,--,--,72,--,.59
lfpw,z1000hpa,me,nhem,ob,--,--,84,--,-.06
lfpw,z1000hpa,me,nhem,ob,--,--,96,--,.10
lfpw,z1000hpa,me,nhem,ob,--,--,108,--,-.53
lfpw,z1000hpa,me,nhem,ob,--,--,120,--,-.70
lfpw,z1000hpa,me,nhem,ob,--,--,132,--,-1.38
lfpw,z1000hpa,me,nhem,ob,--,--,144,--,-.94
lfpw,z1000hpa,me,nhem,ob,--,--,156,--,-2.17
lfpw,z1000hpa,me,nhem,ob,--,--,168,--,-1.88
lfpw,z1000hpa,me,nhem,ob,--,--,180,--,-3.31
lfpw,z1000hpa,me,nhem,ob,--,--,192,--,-3.39
lfpw,z1000hpa,me,nhem,ob,--,--,204,--,-5.29
lfpw,z1000hpa,me,nhem,ob,--,--,216,--,-5.30
lfpw,z1000hpa,me,nhem,ob,--,--,228,--,-7.31
lfpw,z1000hpa,me,nhem,ob,--,--,240,--,-7.02
lfpw,z1000hpa,me,tropics,ob,--,--,0,--,-.77
lfpw,z1000hpa,me,tropics,ob,--,--,12,--,.10
lfpw,z1000hpa,me,tropics,ob,--,--,24,--,-.89
lfpw,z1000hpa,me,tropics,ob,--,--,36,--,-.45
lfpw,z1000hpa,me,tropics,ob,--,--,48,--,-.49
lfpw,z1000hpa,me,tropics,ob,--,--,60,--,-.48
lfpw,z1000hpa,me,tropics,ob,--,--,72,--,-.45
lfpw,z1000hpa,me,tropics,ob,--,--,84,--,-.85
lfpw,z1000hpa,me,tropics,ob,--,--,96,--,-.97
lfpw,z1000hpa,me,tropics,ob,--,--,108,--,-.99
lfpw,z1000hpa,me,tropics,ob,--,--,120,--,-1.11
lfpw,z1000hpa,me,tropics,ob,--,--,132,--,-.99
lfpw,z1000hpa,me,tropics,ob,--,--,144,--,-.73
lfpw,z1000hpa,me,tropics,ob,--,--,156,--,-.81
lfpw,z1000hpa,me,tropics,ob,--,--,168,--,-.53
lfpw,z1000hpa,me,tropics,ob,--,--,180,--,-.58
lfpw,z1000hpa,me,tropics,ob,--,--,192,--,-.40
lfpw,z1000hpa,me,tropics,ob,--,--,204,--,-.69
lfpw,z1000hpa,me,tropics,ob,--,--,216,--,-.82
lfpw,z1000hpa,me,tropics,ob,--,--,228,--,-1.25
lfpw,z1000hpa,me,tropics,ob,--,--,240,--,-1.18
lfpw,z1000hpa,me,shem,ob,--,--,0,--,-1.44
lfpw,z1000hpa,me,shem,ob,--,--,12,--,-1.19
lfpw,z1000hpa,me,shem,ob,--,--,24,--,-.09
lfpw,z1000hpa,me,shem,ob,--,--,36,--,-1.42
lfpw,z1000hpa,me,shem,ob,--,--,48,--,.54
lfpw,z1000hpa,me,shem,ob,--,--,60,--,-1.30
lfpw,z1000hpa,me,shem,ob,--,--,72,--,1.02
lfpw,z1000hpa,me,shem,ob,--,--,84,--,-2.39
lfpw,z1000hpa,me,shem,ob,--,--,96,--,.90
lfpw,z1000hpa,me,shem,ob,--,--,108,--,-2.19
lfpw,z1000hpa,me,shem,ob,--,--,120,--,.58
lfpw,z1000hpa,me,shem,ob,--,--,132,--,-2.92
lfpw,z1000hpa,me,shem,ob,--,--,144,--,-.17
lfpw,z1000hpa,me,shem,ob,--,--,156,--,-5.89
lfpw,z1000hpa,me,shem,ob,--,--,168,--,-1.74
lfpw,z1000hpa,me,shem,ob,--,--,180,--,-8.00
lfpw,z1000hpa,me,shem,ob,--,--,192,--,-2.37
lfpw,z1000hpa,me,shem,ob,--,--,204,--,-10.00
lfpw,z1000hpa,me,shem,ob,--,--,216,--,-4.18
lfpw,z1000hpa,me,shem,ob,--,--,228,--,-12.33
lfpw,z1000hpa,me,shem,ob,--,--,240,--,-4.81
lfpw,z1000hpa,rmse,nhem,ob,--,--,0,--,6.98
lfpw,z1000hpa,rmse,nhem,ob,--,--,12,--,7.72
lfpw,z1000hpa,rmse,nhem,ob,--,--,24,--,8.39
lfpw,z1000hpa,rmse,nhem,ob,--,--,36,--,9.51
lfpw,z1000hpa,rmse,nhem,ob,--,--,48,--,10.61
lfpw,z1000hpa,rmse,nhem,ob,--,--,60,--,12.29
lfpw,z1000hpa,rmse,nhem,ob,--,--,72,--,14.01
lfpw,z1000hpa,rmse,nhem,ob,--,--,84,--,16.41
lfpw,z1000hpa,rmse,nhem,ob,--,--,96,--,19.17
lfpw,z1000hpa,rmse,nhem,ob,--,--,108,--,22.95
lfpw,z1000hpa,rmse,nhem,ob,--,--,120,--,26.20
lfpw,z1000hpa,rmse,nhem,ob,--,--,132,--,30.91
lfpw,z1000hpa,rmse,nhem,ob,--,--,144,--,34.95
lfpw,z1000hpa,rmse,nhem,ob,--,--,156,--,39.52
lfpw,z1000hpa,rmse,nhem,ob,--,--,168,--,42.97
lfpw,z1000hpa,rmse,nhem,ob,--,--,180,--,47.54
lfpw,z1000hpa,rmse,nhem,ob,--,--,192,--,50.64
lfpw,z1000hpa,rmse,nhem,ob,--,--,204,--,54.76
lfpw,z1000hpa,rmse,nhem,ob,--,--,216,--,57.41
lfpw,z1000hpa,rmse,nhem,ob,--,--,228,--,60.81
lfpw,z1000hpa,rmse,nhem,ob,--,--,240,--,62.16
lfpw,z1000hpa,rmse,tropics,ob,--,--,0,--,7.43
lfpw,z1000hpa,rmse,tropics,ob,--,--,12,--,8.14
lfpw,z1000hpa,rmse,tropics,ob,--,--,24,--,8.02
lfpw,z1000hpa,rmse,tropics,ob,--,--,36,--,8.67
lfpw,z1000hpa,rmse,tropics,ob,--,--,48,--,8.81
lfpw,z1000hpa,rmse,tropics,ob,--,--,60,--,9.27
lfpw,z1000hpa,rmse,tropics,ob,--,--,72,--,9.49
lfpw,z1000hpa,rmse,tropics,ob,--,--,84,--,9.87
lfpw,z1000hpa,rmse,tropics,ob,--,--,96,--,10.00
lfpw,z1000hpa,rmse,tropics,ob,--,--,108,--,10.51
lfpw,z1000hpa,rmse,tropics,ob,--,--,120,--,10.75
lfpw,z1000hpa,rmse,tropics,ob,--,--,132,--,11.02
lfpw,z1000hpa,rmse,tropics,ob,--,--,144,--,11.52
lfpw,z1000hpa,rmse,tropics,ob,--,--,156,--,11.67
lfpw,z1000hpa,rmse,tropics,ob,--,--,168,--,12.12
lfpw,z1000hpa,rmse,tropics,ob,--,--,180,--,12.22
lfpw,z1000hpa,rmse,tropics,ob,--,--,192,--,12.98
lfpw,z1000hpa,rmse,tropics,ob,--,--,204,--,13.12
lfpw,z1000hpa,rmse,tropics,ob,--,--,216,--,13.90
lfpw,z1000hpa,rmse,tropics,ob,--,--,228,--,14.12
lfpw,z1000hpa,rmse,tropics,ob,--,--,240,--,15.05
lfpw,z1000hpa,rmse,shem,ob,--,--,0,--,5.17
lfpw,z1000hpa,rmse,shem,ob,--,--,12,--,7.30
lfpw,z1000hpa,rmse,shem,ob,--,--,24,--,7.11
lfpw,z1000hpa,rmse,shem,ob,--,--,36,--,9.49
lfpw,z1000hpa,rmse,shem,ob,--,--,48,--,9.50
lfpw,z1000hpa,rmse,shem,ob,--,--,60,--,12.18
lfpw,z1000hpa,rmse,shem,ob,--,--,72,--,12.47
lfpw,z1000hpa,rmse,shem,ob,--,--,84,--,15.55
lfpw,z1000hpa,rmse,shem,ob,--,--,96,--,16.09
lfpw,z1000hpa,rmse,shem,ob,--,--,108,--,19.80
lfpw,z1000hpa,rmse,shem,ob,--,--,120,--,21.18
lfpw,z1000hpa,rmse,shem,ob,--,--,132,--,25.03
lfpw,z1000hpa,rmse,shem,ob,--,--,144,--,26.88
lfpw,z1000hpa,rmse,shem,ob,--,--,156,--,31.55
lfpw,z1000hpa,rmse,shem,ob,--,--,168,--,32.52
lfpw,z1000hpa,rmse,shem,ob,--,--,180,--,38.75
lfpw,z1000hpa,rmse,shem,ob,--,--,192,--,39.21
lfpw,z1000hpa,rmse,shem,ob,--,--,204,--,43.75
lfpw,z1000hpa,rmse,shem,ob,--,--,216,--,44.25
lfpw,z1000hpa,rmse,shem,ob,--,--,228,--,49.06
lfpw,z1000hpa,rmse,shem,ob,--,--,240,--,50.90
lfpw,z1000hpa,sd,nhem,ob,--,--,0,--,6.94
lfpw,z1000hpa,sd,nhem,ob,--,--,12,--,7.66
lfpw,z1000hpa,sd,nhem,ob,--,--,24,--,8.32
lfpw,z1000hpa,sd,nhem,ob,--,--,36,--,9.44
lfpw,z1000hpa,sd,nhem,ob,--,--,48,--,10.51
lfpw,z1000hpa,sd,nhem,ob,--,--,60,--,12.20
lfpw,z1000hpa,sd,nhem,ob,--,--,72,--,13.82
lfpw,z1000hpa,sd,nhem,ob,--,--,84,--,16.24
lfpw,z1000hpa,sd,nhem,ob,--,--,96,--,18.88
lfpw,z1000hpa,sd,nhem,ob,--,--,108,--,22.64
lfpw,z1000hpa,sd,nhem,ob,--,--,120,--,25.77
lfpw,z1000hpa,sd,nhem,ob,--,--,132,--,30.45
lfpw,z1000hpa,sd,nhem,ob,--,--,144,--,34.38
lfpw,z1000hpa,sd,nhem,ob,--,--,156,--,38.93
lfpw,z1000hpa,sd,nhem,ob,--,--,168,--,42.18
lfpw,z1000hpa,sd,nhem,ob,--,--,180,--,46.70
lfpw,z1000hpa,sd,nhem,ob,--,--,192,--,49.54
lfpw,z1000hpa,sd,nhem,ob,--,--,204,--,53.60
lfpw,z1000hpa,sd,nhem,ob,--,--,216,--,55.98
lfpw,z1000hpa,sd,nhem,ob,--,--,228,--,59.21
lfpw,z1000hpa,sd,nhem,ob,--,--,240,--,60.49
lfpw,z1000hpa,sd,tropics,ob,--,--,0,--,7.36
lfpw,z1000hpa,sd,tropics,ob,--,--,12,--,8.08
lfpw,z1000hpa,sd,tropics,ob,--,--,24,--,7.89
lfpw,z1000hpa,sd,tropics,ob,--,--,36,--,8.58
lfpw,z1000hpa,sd,tropics,ob,--,--,48,--,8.69
lfpw,z1000hpa,sd,tropics,ob,--,--,60,--,9.12
lfpw,z1000hpa,sd,tropics,ob,--,--,72,--,9.33
lfpw,z1000hpa,sd,tropics,ob,--,--,84,--,9.67
lfpw,z1000hpa,sd,tropics,ob,--,--,96,--,9.72
lfpw,z1000hpa,sd,tropics,ob,--,--,108,--,10.21
lfpw,z1000hpa,sd,tropics,ob,--,--,120,--,10.36
lfpw,z1000hpa,sd,tropics,ob,--,--,132,--,10.62
lfpw,z1000hpa,sd,tropics,ob,--,--,144,--,11.10
lfpw,z1000hpa,sd,tropics,ob,--,--,156,--,11.25
lfpw,z1000hpa,sd,tropics,ob,--,--,168,--,11.66
lfpw,z1000hpa,sd,tropics,ob,--,--,180,--,11.76
lfpw,z1000hpa,sd,tropics,ob,--,--,192,--,12.37
lfpw,z1000hpa,sd,tropics,ob,--,--,204,--,12.51
lfpw,z1000hpa,sd,tropics,ob,--,--,216,--,13.15
lfpw,z1000hpa,sd,tropics,ob,--,--,228,--,13.37
lfpw,z1000hpa,sd,tropics,ob,--,--,240,--,14.07
lfpw,z1000hpa,sd,shem,ob,--,--,0,--,4.92
lfpw,z1000hpa,sd,shem,ob,--,--,12,--,7.05
lfpw,z1000hpa,sd,shem,ob,--,--,24,--,6.96
lfpw,z1000hpa,sd,shem,ob,--,--,36,--,9.12
lfpw,z1000hpa,sd,shem,ob,--,--,48,--,9.22
lfpw,z1000hpa,sd,shem,ob,--,--,60,--,11.66
lfpw,z1000hpa,sd,shem,ob,--,--,72,--,12.02
lfpw,z1000hpa,sd,shem,ob,--,--,84,--,14.84
lfpw,z1000hpa,sd,shem,ob,--,--,96,--,15.35
lfpw,z1000hpa,sd,shem,ob,--,--,108,--,18.90
lfpw,z1000hpa,sd,shem,ob,--,--,120,--,20.45
lfpw,z1000hpa,sd,shem,ob,--,--,132,--,23.87
lfpw,z1000hpa,sd,shem,ob,--,--,144,--,25.88
lfpw,z1000hpa,sd,shem,ob,--,--,156,--,29.72
lfpw,z1000hpa,sd,shem,ob,--,--,168,--,31.08
lfpw,z1000hpa,sd,shem,ob,--,--,180,--,36.60
lfpw,z1000hpa,sd,shem,ob,--,--,192,--,37.33
lfpw,z1000hpa,sd,shem,ob,--,--,204,--,41.15
lfpw,z1000hpa,sd,shem,ob,--,--,216,--,42.15
lfpw,z1000hpa,sd,shem,ob,--,--,228,--,45.99
lfpw,z1000hpa,sd,shem,ob,--,--,240,--,48.61
lfpw,z925hpa,me,nhem,ob,--,--,0,--,-.60
lfpw,z925hpa,me,nhem,ob,--,--,12,--,-.64
lfpw,z925hpa,me,nhem,ob,--,--,24,--,.11
lfpw,z925hpa,me,nhem,ob,--,--,36,--,.03
lfpw,z925hpa,me,nhem,ob,--,--,48,--,1.18
lfpw,z925hpa,me,nhem,ob,--,--,60,--,.80
lfpw,z925hpa,me,nhem,ob,--,--,72,--,2.01
lfpw,z925hpa,me,nhem,ob,--,--,84,--,1.65
lfpw,z925hpa,me,nhem,ob,--,--,96,--,2.47
lfpw,z925hpa,me,nhem,ob,--,--,108,--,2.18
lfpw,z925hpa,me,nhem,ob,--,--,120,--,2.85
lfpw,z925hpa,me,nhem,ob,--,--,132,--,2.57
lfpw,z925hpa,me,nhem,ob,--,--,144,--,4.06
lfpw,z925hpa,me,nhem,ob,--,--,156,--,3.55
lfpw,z925hpa,me,nhem,ob,--,--,168,--,4.81
lfpw,z925hpa,me,nhem,ob,--,--,180,--,4.03
lfpw,z925hpa,me,nhem,ob,--,--,192,--,5.07
lfpw,z925hpa,me,nhem,ob,--,--,204,--,4.63
lfpw,z925hpa,me,nhem,ob,--,--,216,--,5.82
lfpw,z925hpa,me,nhem,ob,--,--,228,--,5.16
lfpw,z925hpa,me,nhem,ob,--,--,240,--,6.60
lfpw,z925hpa,me,tropics,ob,--,--,0,--,-1.92
lfpw,z925hpa,me,tropics,ob,--,--,12,--,-1.30
lfpw,z925hpa,me,tropics,ob,--,--,24,--,-1.88
lfpw,z925hpa,me,tropics,ob,--,--,36,--,-1.63
lfpw,z925hpa,me,tropics,ob,--,--,48,--,-1.54
lfpw,z925hpa,me,tropics,ob,--,--,60,--,-1.68
lfpw,z925hpa,me,tropics,ob,--,--,72,--,-1.61
lfpw,z925hpa,me,tropics,ob,--,--,84,--,-2.13
lfpw,z925hpa,me,tropics,ob,--,--,96,--,-2.17
lfpw,z925hpa,me,tropics,ob,--,--,108,--,-2.29
lfpw,z925hpa,me,tropics,ob,--,--,120,--,-2.33
lfpw,z925hpa,me,tropics,ob,--,--,132,--,-2.25
lfpw,z925hpa,me,tropics,ob,--,--,144,--,-1.90
lfpw,z925hpa,me,tropics,ob,--,--,156,--,-2.01
lfpw,z925hpa,me,tropics,ob,--,--,168,--,-1.67
lfpw,z925hpa,me,tropics,ob,--,--,180,--,-1.78
lfpw,z925hpa,me,tropics,ob,--,--,192,--,-1.59
lfpw,z925hpa,me,tropics,ob,--,--,204,--,-1.98
lfpw,z925hpa,me,tropics,ob,--,--,216,--,-2.06
lfpw,z925hpa,me,tropics,ob,--,--,228,--,-2.48
lfpw,z925hpa,me,tropics,ob,--,--,240,--,-2.41
lfpw,z925hpa,me,shem,ob,--,--,0,--,-.55
lfpw,z925hpa,me,shem,ob,--,--,12,--,-.43
lfpw,z925hpa,me,shem,ob,--,--,24,--,.73
lfpw,z925hpa,me,shem,ob,--,--,36,--,-.17
lfpw,z925hpa,me,shem,ob,--,--,48,--,1.57
lfpw,z925hpa,me,shem,ob,--,--,60,--,.08
lfpw,z925hpa,me,shem,ob,--,--,72,--,2.19
lfpw,z925hpa,me,shem,ob,--,--,84,--,-.38
lfpw,z925hpa,me,shem,ob,--,--,96,--,2.46
lfpw,z925hpa,me,shem,ob,--,--,108,--,-.07
lfpw,z925hpa,me,shem,ob,--,--,120,--,2.38
lfpw,z925hpa,me,shem,ob,--,--,132,--,-.21
lfpw,z925hpa,me,shem,ob,--,--,144,--,2.08
lfpw,z925hpa,me,shem,ob,--,--,156,--,-1.79
lfpw,z925hpa,me,shem,ob,--,--,168,--,1.45
lfpw,z925hpa,me,shem,ob,--,--,180,--,-3.85
lfpw,z925hpa,me,shem,ob,--,--,192,--,.84
lfpw,z925hpa,me,shem,ob,--,--,204,--,-3.58
lfpw,z925hpa,me,shem,ob,--,--,216,--,1.32
lfpw,z925hpa,me,shem,ob,--,--,228,--,-3.41
lfpw,z925hpa,me,shem,ob,--,--,240,--,1.55
lfpw,z925hpa,rmse,nhem,ob,--,--,0,--,6.85
lfpw,z925hpa,rmse,nhem,ob,--,--,12,--,8.11
lfpw,z925hpa,rmse,nhem,ob,--,--,24,--,8.71
lfpw,z925hpa,rmse,nhem,ob,--,--,36,--,10.13
lfpw,z925hpa,rmse,nhem,ob,--,--,48,--,11.29
lfpw,z925hpa,rmse,nhem,ob,--,--,60,--,13.18
lfpw,z925hpa,rmse,nhem,ob,--,--,72,--,15.24
lfpw,z925hpa,rmse,nhem,ob,--,--,84,--,17.98
lfpw,z925hpa,rmse,nhem,ob,--,--,96,--,21.24
lfpw,z925hpa,rmse,nhem,ob,--,--,108,--,25.26
lfpw,z925hpa,rmse,nhem,ob,--,--,120,--,29.44
lfpw,z925hpa,rmse,nhem,ob,--,--,132,--,34.18
lfpw,z925hpa,rmse,nhem,ob,--,--,144,--,38.80
lfpw,z925hpa,rmse,nhem,ob,--,--,156,--,43.48
lfpw,z925hpa,rmse,nhem,ob,--,--,168,--,47.84
lfpw,z925hpa,rmse,nhem,ob,--,--,180,--,51.70
lfpw,z925hpa,rmse,nhem,ob,--,--,192,--,55.43
lfpw,z925hpa,rmse,nhem,ob,--,--,204,--,59.13
lfpw,z925hpa,rmse,nhem,ob,--,--,216,--,62.67
