centre,par,sc,dom,ref,d,t,s,n,v
lfpw,z1000hpa,me,nhem,ecmf,--,--,0,--,-1.00
lfpw,z1000hpa,me,nhem,ecmf,--,--,6,--,-.77
lfpw,z1000hpa,me,nhem,ecmf,--,--,12,--,-.49
lfpw,z1000hpa,me,nhem,ecmf,--,--,18,--,-.59
lfpw,z1000hpa,me,nhem,ecmf,--,--,24,--,-.39
lfpw,z1000hpa,me,nhem,ecmf,--,--,30,--,-.07
lfpw,z1000hpa,me,nhem,ecmf,--,--,36,--,-.44
lfpw,z1000hpa,me,nhem,ecmf,--,--,42,--,-.45
lfpw,z1000hpa,me,nhem,ecmf,--,--,48,--,-.04
lfpw,z1000hpa,me,nhem,ecmf,--,--,54,--,-.32
lfpw,z1000hpa,me,nhem,ecmf,--,--,60,--,-.62
lfpw,z1000hpa,me,nhem,ecmf,--,--,66,--,-.48
lfpw,z1000hpa,me,nhem,ecmf,--,--,72,--,-.15
lfpw,z1000hpa,me,nhem,ecmf,--,--,78,--,-.38
lfpw,z1000hpa,me,nhem,ecmf,--,--,84,--,-.41
lfpw,z1000hpa,me,nhem,ecmf,--,--,90,--,-.46
lfpw,z1000hpa,me,nhem,ecmf,--,--,96,--,-.19
lfpw,z1000hpa,me,nhem,ecmf,--,--,102,--,-.11
lfpw,z1000hpa,me,nhem,ecmf,--,--,108,--,-.25
lfpw,z1000hpa,me,nhem,ecmf,--,--,114,--,-.44
lfpw,z1000hpa,me,nhem,ecmf,--,--,120,--,.15
lfpw,z1000hpa,me,nhem,ecmf,--,--,126,--,.33
lfpw,z1000hpa,me,nhem,ecmf,--,--,132,--,-.07
lfpw,z1000hpa,me,nhem,ecmf,--,--,138,--,-.15
lfpw,z1000hpa,me,nhem,ecmf,--,--,144,--,.54
lfpw,z1000hpa,me,nhem,ecmf,--,--,150,--,.65
lfpw,z1000hpa,me,nhem,ecmf,--,--,156,--,.50
lfpw,z1000hpa,me,nhem,ecmf,--,--,162,--,.50
lfpw,z1000hpa,me,nhem,ecmf,--,--,168,--,.90
lfpw,z1000hpa,me,nhem,ecmf,--,--,174,--,.90
lfpw,z1000hpa,me,nhem,ecmf,--,--,180,--,.82
lfpw,z1000hpa,me,nhem,ecmf,--,--,186,--,.69
lfpw,z1000hpa,me,nhem,ecmf,--,--,192,--,.94
lfpw,z1000hpa,me,nhem,ecmf,--,--,198,--,.99
lfpw,z1000hpa,me,nhem,ecmf,--,--,204,--,.80
lfpw,z1000hpa,me,nhem,ecmf,--,--,210,--,.59
lfpw,z1000hpa,me,nhem,ecmf,--,--,216,--,.85
lfpw,z1000hpa,me,nhem,ecmf,--,--,222,--,.76
lfpw,z1000hpa,me,nhem,ecmf,--,--,228,--,.46
lfpw,z1000hpa,me,nhem,ecmf,--,--,234,--,.33
lfpw,z1000hpa,me,nhem,ecmf,--,--,240,--,.58
lfpw,z1000hpa,me,tropics,ecmf,--,--,0,--,-1.35
lfpw,z1000hpa,me,tropics,ecmf,--,--,6,--,-1.04
lfpw,z1000hpa,me,tropics,ecmf,--,--,12,--,-1.36
lfpw,z1000hpa,me,tropics,ecmf,--,--,18,--,-1.40
lfpw,z1000hpa,me,tropics,ecmf,--,--,24,--,-1.55
lfpw,z1000hpa,me,tropics,ecmf,--,--,30,--,-1.30
lfpw,z1000hpa,me,tropics,ecmf,--,--,36,--,-1.62
lfpw,z1000hpa,me,tropics,ecmf,--,--,42,--,-1.49
lfpw,z1000hpa,me,tropics,ecmf,--,--,48,--,-1.53
lfpw,z1000hpa,me,tropics,ecmf,--,--,54,--,-1.23
lfpw,z1000hpa,me,tropics,ecmf,--,--,60,--,-1.61
lfpw,z1000hpa,me,tropics,ecmf,--,--,66,--,-1.51
lfpw,z1000hpa,me,tropics,ecmf,--,--,72,--,-1.62
lfpw,z1000hpa,me,tropics,ecmf,--,--,78,--,-1.24
lfpw,z1000hpa,me,tropics,ecmf,--,--,84,--,-1.55
lfpw,z1000hpa,me,tropics,ecmf,--,--,90,--,-1.46
lfpw,z1000hpa,me,tropics,ecmf,--,--,96,--,-1.82
lfpw,z1000hpa,me,tropics,ecmf,--,--,102,--,-1.32
lfpw,z1000hpa,me,tropics,ecmf,--,--,108,--,-1.70
lfpw,z1000hpa,me,tropics,ecmf,--,--,114,--,-1.49
lfpw,z1000hpa,me,tropics,ecmf,--,--,120,--,-1.82
lfpw,z1000hpa,me,tropics,ecmf,--,--,126,--,-1.48
lfpw,z1000hpa,me,tropics,ecmf,--,--,132,--,-1.77
lfpw,z1000hpa,me,tropics,ecmf,--,--,138,--,-1.52
lfpw,z1000hpa,me,tropics,ecmf,--,--,144,--,-1.76
lfpw,z1000hpa,me,tropics,ecmf,--,--,150,--,-1.47
lfpw,z1000hpa,me,tropics,ecmf,--,--,156,--,-1.66
lfpw,z1000hpa,me,tropics,ecmf,--,--,162,--,-1.66
lfpw,z1000hpa,me,tropics,ecmf,--,--,168,--,-1.71
lfpw,z1000hpa,me,tropics,ecmf,--,--,174,--,-1.44
lfpw,z1000hpa,me,tropics,ecmf,--,--,180,--,-1.46
lfpw,z1000hpa,me,tropics,ecmf,--,--,186,--,-1.55
lfpw,z1000hpa,me,tropics,ecmf,--,--,192,--,-1.64
lfpw,z1000hpa,me,tropics,ecmf,--,--,198,--,-1.47
lfpw,z1000hpa,me,tropics,ecmf,--,--,204,--,-1.56
lfpw,z1000hpa,me,tropics,ecmf,--,--,210,--,-1.75
lfpw,z1000hpa,me,tropics,ecmf,--,--,216,--,-1.93
lfpw,z1000hpa,me,tropics,ecmf,--,--,222,--,-1.97
lfpw,z1000hpa,me,tropics,ecmf,--,--,228,--,-2.15
lfpw,z1000hpa,me,tropics,ecmf,--,--,234,--,-2.35
lfpw,z1000hpa,me,tropics,ecmf,--,--,240,--,-2.52
lfpw,z1000hpa,me,shem,ecmf,--,--,0,--,.32
lfpw,z1000hpa,me,shem,ecmf,--,--,6,--,.33
lfpw,z1000hpa,me,shem,ecmf,--,--,12,--,.00
lfpw,z1000hpa,me,shem,ecmf,--,--,18,--,.60
lfpw,z1000hpa,me,shem,ecmf,--,--,24,--,.79
lfpw,z1000hpa,me,shem,ecmf,--,--,30,--,.71
lfpw,z1000hpa,me,shem,ecmf,--,--,36,--,.58
lfpw,z1000hpa,me,shem,ecmf,--,--,42,--,1.04
lfpw,z1000hpa,me,shem,ecmf,--,--,48,--,1.03
lfpw,z1000hpa,me,shem,ecmf,--,--,54,--,1.25
lfpw,z1000hpa,me,shem,ecmf,--,--,60,--,1.02
lfpw,z1000hpa,me,shem,ecmf,--,--,66,--,1.21
lfpw,z1000hpa,me,shem,ecmf,--,--,72,--,1.41
