centre,par,sc,dom,ref,d,t,s,n,v
lfpw,z1000hpa,me,nhem,ob,--,--,0,--,-.32
lfpw,z1000hpa,me,nhem,ob,--,--,12,--,-.45
lfpw,z1000hpa,me,nhem,ob,--,--,24,--,-.07
lfpw,z1000hpa,me,nhem,ob,--,--,36,--,-.35
lfpw,z1000hpa,me,nhem,ob,--,--,48,--,.42
lfpw,z1000hpa,me,nhem,ob,--,--,60,--,-.11
lfpw,z1000hpa,me,nhem,ob,--,--,72,--,.62
lfpw,z1000hpa,me,nhem,ob,--,--,84,--,-.02
lfpw,z1000hpa,me,nhem,ob,--,--,96,--,.09
lfpw,z1000hpa,me,nhem,ob,--,--,108,--,-.42
lfpw,z1000hpa,me,nhem,ob,--,--,120,--,-.46
lfpw,z1000hpa,me,nhem,ob,--,--,132,--,-1.21
lfpw,z1000hpa,me,nhem,ob,--,--,144,--,-.87
lfpw,z1000hpa,me,nhem,ob,--,--,156,--,-2.22
lfpw,z1000hpa,me,nhem,ob,--,--,168,--,-1.97
lfpw,z1000hpa,me,nhem,ob,--,--,180,--,-3.57
lfpw,z1000hpa,me,nhem,ob,--,--,192,--,-3.79
lfpw,z1000hpa,me,nhem,ob,--,--,204,--,-5.29
lfpw,z1000hpa,me,nhem,ob,--,--,216,--,-4.83
lfpw,z1000hpa,me,nhem,ob,--,--,228,--,-6.74
lfpw,z1000hpa,me,nhem,ob,--,--,240,--,-6.46
lfpw,z1000hpa,me,tropics,ob,--,--,0,--,-.51
lfpw,z1000hpa,me,tropics,ob,--,--,12,--,.51
lfpw,z1000hpa,me,tropics,ob,--,--,24,--,-.28
lfpw,z1000hpa,me,tropics,ob,--,--,36,--,.33
lfpw,z1000hpa,me,tropics,ob,--,--,48,--,.30
lfpw,z1000hpa,me,tropics,ob,--,--,60,--,.18
lfpw,z1000hpa,me,tropics,ob,--,--,72,--,.37
lfpw,z1000hpa,me,tropics,ob,--,--,84,--,-.18
lfpw,z1000hpa,me,tropics,ob,--,--,96,--,-.32
lfpw,z1000hpa,me,tropics,ob,--,--,108,--,-.47
lfpw,z1000hpa,me,tropics,ob,--,--,120,--,-.56
lfpw,z1000hpa,me,tropics,ob,--,--,132,--,-.48
lfpw,z1000hpa,me,tropics,ob,--,--,144,--,-.19
lfpw,z1000hpa,me,tropics,ob,--,--,156,--,-.34
lfpw,z1000hpa,me,tropics,ob,--,--,168,--,.18
lfpw,z1000hpa,me,tropics,ob,--,--,180,--,.28
lfpw,z1000hpa,me,tropics,ob,--,--,192,--,.39
lfpw,z1000hpa,me,tropics,ob,--,--,204,--,.21
lfpw,z1000hpa,me,tropics,ob,--,--,216,--,.10
lfpw,z1000hpa,me,tropics,ob,--,--,228,--,-.55
lfpw,z1000hpa,me,tropics,ob,--,--,240,--,-.55
lfpw,z1000hpa,me,shem,ob,--,--,0,--,-1.19
lfpw,z1000hpa,me,shem,ob,--,--,12,--,-1.14
lfpw,z1000hpa,me,shem,ob,--,--,24,--,.18
lfpw,z1000hpa,me,shem,ob,--,--,36,--,-.91
lfpw,z1000hpa,me,shem,ob,--,--,48,--,.92
lfpw,z1000hpa,me,shem,ob,--,--,60,--,-.65
lfpw,z1000hpa,me,shem,ob,--,--,72,--,1.56
lfpw,z1000hpa,me,shem,ob,--,--,84,--,-1.96
lfpw,z1000hpa,me,shem,ob,--,--,96,--,1.36
lfpw,z1000hpa,me,shem,ob,--,--,108,--,-2.02
lfpw,z1000hpa,me,shem,ob,--,--,120,--,.69
lfpw,z1000hpa,me,shem,ob,--,--,132,--,-2.96
lfpw,z1000hpa,me,shem,ob,--,--,144,--,-.16
lfpw,z1000hpa,me,shem,ob,--,--,156,--,-5.48
lfpw,z1000hpa,me,shem,ob,--,--,168,--,-1.20
lfpw,z1000hpa,me,shem,ob,--,--,180,--,-7.84
lfpw,z1000hpa,me,shem,ob,--,--,192,--,-2.03
lfpw,z1000hpa,me,shem,ob,--,--,204,--,-9.67
lfpw,z1000hpa,me,shem,ob,--,--,216,--,-4.04
lfpw,z1000hpa,me,shem,ob,--,--,228,--,-11.08
lfpw,z1000hpa,me,shem,ob,--,--,240,--,-3.66
lfpw,z1000hpa,rmse,nhem,ob,--,--,0,--,6.99
lfpw,z1000hpa,rmse,nhem,ob,--,--,12,--,7.76
lfpw,z1000hpa,rmse,nhem,ob,--,--,24,--,8.42
lfpw,z1000hpa,rmse,nhem,ob,--,--,36,--,9.60
lfpw,z1000hpa,rmse,nhem,ob,--,--,48,--,10.76
lfpw,z1000hpa,rmse,nhem,ob,--,--,60,--,12.41
lfpw,z1000hpa,rmse,nhem,ob,--,--,72,--,14.11
lfpw,z1000hpa,rmse,nhem,ob,--,--,84,--,16.51
lfpw,z1000hpa,rmse,nhem,ob,--,--,96,--,19.25
lfpw,z1000hpa,rmse,nhem,ob,--,--,108,--,23.01
lfpw,z1000hpa,rmse,nhem,ob,--,--,120,--,26.25
lfpw,z1000hpa,rmse,nhem,ob,--,--,132,--,31.05
lfpw,z1000hpa,rmse,nhem,ob,--,--,144,--,35.00
lfpw,z1000hpa,rmse,nhem,ob,--,--,156,--,39.61
lfpw,z1000hpa,rmse,nhem,ob,--,--,168,--,43.18
lfpw,z1000hpa,rmse,nhem,ob,--,--,180,--,47.71
lfpw,z1000hpa,rmse,nhem,ob,--,--,192,--,50.80
lfpw,z1000hpa,rmse,nhem,ob,--,--,204,--,54.21
lfpw,z1000hpa,rmse,nhem,ob,--,--,216,--,56.66
lfpw,z1000hpa,rmse,nhem,ob,--,--,228,--,60.20
lfpw,z1000hpa,rmse,nhem,ob,--,--,240,--,62.39
lfpw,z1000hpa,rmse,tropics,ob,--,--,0,--,7.48
lfpw,z1000hpa,rmse,tropics,ob,--,--,12,--,8.22
lfpw,z1000hpa,rmse,tropics,ob,--,--,24,--,8.00
lfpw,z1000hpa,rmse,tropics,ob,--,--,36,--,8.77
lfpw,z1000hpa,rmse,tropics,ob,--,--,48,--,8.78
lfpw,z1000hpa,rmse,tropics,ob,--,--,60,--,9.22
lfpw,z1000hpa,rmse,tropics,ob,--,--,72,--,9.50
lfpw,z1000hpa,rmse,tropics,ob,--,--,84,--,9.81
lfpw,z1000hpa,rmse,tropics,ob,--,--,96,--,9.99
lfpw,z1000hpa,rmse,tropics,ob,--,--,108,--,10.51
lfpw,z1000hpa,rmse,tropics,ob,--,--,120,--,10.69
lfpw,z1000hpa,rmse,tropics,ob,--,--,132,--,11.12
lfpw,z1000hpa,rmse,tropics,ob,--,--,144,--,11.51
lfpw,z1000hpa,rmse,tropics,ob,--,--,156,--,11.64
lfpw,z1000hpa,rmse,tropics,ob,--,--,168,--,12.23
lfpw,z1000hpa,rmse,tropics,ob,--,--,180,--,12.30
lfpw,z1000hpa,rmse,tropics,ob,--,--,192,--,13.07
lfpw,z1000hpa,rmse,tropics,ob,--,--,204,--,13.22
lfpw,z1000hpa,rmse,tropics,ob,--,--,216,--,13.97
lfpw,z1000hpa,rmse,tropics,ob,--,--,228,--,14.36
lfpw,z1000hpa,rmse,tropics,ob,--,--,240,--,15.23
lfpw,z1000hpa,rmse,shem,ob,--,--,0,--,5.17
lfpw,z1000hpa,rmse,shem,ob,--,--,12,--,7.35
lfpw,z1000hpa,rmse,shem,ob,--,--,24,--,7.11
lfpw,z1000hpa,rmse,shem,ob,--,--,36,--,9.42
lfpw,z1000hpa,rmse,shem,ob,--,--,48,--,9.52
lfpw,z1000hpa,rmse,shem,ob,--,--,60,--,12.17
lfpw,z1000hpa,rmse,shem,ob,--,--,72,--,12.47
lfpw,z1000hpa,rmse,shem,ob,--,--,84,--,15.61
lfpw,z1000hpa,rmse,shem,ob,--,--,96,--,16.26
lfpw,z1000hpa,rmse,shem,ob,--,--,108,--,19.92
lfpw,z1000hpa,rmse,shem,ob,--,--,120,--,21.73
lfpw,z1000hpa,rmse,shem,ob,--,--,132,--,25.48
lfpw,z1000hpa,rmse,shem,ob,--,--,144,--,27.18
lfpw,z1000hpa,rmse,shem,ob,--,--,156,--,31.85
lfpw,z1000hpa,rmse,shem,ob,--,--,168,--,32.85
lfpw,z1000hpa,rmse,shem,ob,--,--,180,--,39.34
lfpw,z1000hpa,rmse,shem,ob,--,--,192,--,40.12
lfpw,z1000hpa,rmse,shem,ob,--,--,204,--,45.29
lfpw,z1000hpa,rmse,shem,ob,--,--,216,--,46.89
lfpw,z1000hpa,rmse,shem,ob,--,--,228,--,50.20
lfpw,z1000hpa,rmse,shem,ob,--,--,240,--,50.13
lfpw,z1000hpa,sd,nhem,ob,--,--,0,--,6.96
lfpw,z1000hpa,sd,nhem,ob,--,--,12,--,7.71
lfpw,z1000hpa,sd,nhem,ob,--,--,24,--,8.36
lfpw,z1000hpa,sd,nhem,ob,--,--,36,--,9.54
lfpw,z1000hpa,sd,nhem,ob,--,--,48,--,10.65
lfpw,z1000hpa,sd,nhem,ob,--,--,60,--,12.32
lfpw,z1000hpa,sd,nhem,ob,--,--,72,--,13.92
lfpw,z1000hpa,sd,nhem,ob,--,--,84,--,16.35
lfpw,z1000hpa,sd,nhem,ob,--,--,96,--,18.97
lfpw,z1000hpa,sd,nhem,ob,--,--,108,--,22.70
lfpw,z1000hpa,sd,nhem,ob,--,--,120,--,25.83
lfpw,z1000hpa,sd,nhem,ob,--,--,132,--,30.63
lfpw,z1000hpa,sd,nhem,ob,--,--,144,--,34.50
lfpw,z1000hpa,sd,nhem,ob,--,--,156,--,39.05
lfpw,z1000hpa,sd,nhem,ob,--,--,168,--,42.47
lfpw,z1000hpa,sd,nhem,ob,--,--,180,--,46.88
lfpw,z1000hpa,sd,nhem,ob,--,--,192,--,49.66
lfpw,z1000hpa,sd,nhem,ob,--,--,204,--,52.97
lfpw,z1000hpa,sd,nhem,ob,--,--,216,--,55.28
lfpw,z1000hpa,sd,nhem,ob,--,--,228,--,58.67
lfpw,z1000hpa,sd,nhem,ob,--,--,240,--,60.65
lfpw,z1000hpa,sd,tropics,ob,--,--,0,--,7.43
lfpw,z1000hpa,sd,tropics,ob,--,--,12,--,8.14
lfpw,z1000hpa,sd,tropics,ob,--,--,24,--,7.91
lfpw,z1000hpa,sd,tropics,ob,--,--,36,--,8.69
lfpw,z1000hpa,sd,tropics,ob,--,--,48,--,8.67
lfpw,z1000hpa,sd,tropics,ob,--,--,60,--,9.08
lfpw,z1000hpa,sd,tropics,ob,--,--,72,--,9.34
lfpw,z1000hpa,sd,tropics,ob,--,--,84,--,9.64
lfpw,z1000hpa,sd,tropics,ob,--,--,96,--,9.75
lfpw,z1000hpa,sd,tropics,ob,--,--,108,--,10.23
lfpw,z1000hpa,sd,tropics,ob,--,--,120,--,10.34
lfpw,z1000hpa,sd,tropics,ob,--,--,132,--,10.75
lfpw,z1000hpa,sd,tropics,ob,--,--,144,--,11.12
lfpw,z1000hpa,sd,tropics,ob,--,--,156,--,11.27
lfpw,z1000hpa,sd,tropics,ob,--,--,168,--,11.81
lfpw,z1000hpa,sd,tropics,ob,--,--,180,--,11.92
lfpw,z1000hpa,sd,tropics,ob,--,--,192,--,12.50
lfpw,z1000hpa,sd,tropics,ob,--,--,204,--,12.68
lfpw,z1000hpa,sd,tropics,ob,--,--,216,--,13.19
lfpw,z1000hpa,sd,tropics,ob,--,--,228,--,13.55
lfpw,z1000hpa,sd,tropics,ob,--,--,240,--,14.09
lfpw,z1000hpa,sd,shem,ob,--,--,0,--,4.97
lfpw,z1000hpa,sd,shem,ob,--,--,12,--,7.11
lfpw,z1000hpa,sd,shem,ob,--,--,24,--,6.94
lfpw,z1000hpa,sd,shem,ob,--,--,36,--,9.09
lfpw,z1000hpa,sd,shem,ob,--,--,48,--,9.22
lfpw,z1000hpa,sd,shem,ob,--,--,60,--,11.73
lfpw,z1000hpa,sd,shem,ob,--,--,72,--,11.97
lfpw,z1000hpa,sd,shem,ob,--,--,84,--,14.98
lfpw,z1000hpa,sd,shem,ob,--,--,96,--,15.53
lfpw,z1000hpa,sd,shem,ob,--,--,108,--,19.01
lfpw,z1000hpa,sd,shem,ob,--,--,120,--,21.03
lfpw,z1000hpa,sd,shem,ob,--,--,132,--,24.24
lfpw,z1000hpa,sd,shem,ob,--,--,144,--,26.27
lfpw,z1000hpa,sd,shem,ob,--,--,156,--,30.23
lfpw,z1000hpa,sd,shem,ob,--,--,168,--,31.67
lfpw,z1000hpa,sd,shem,ob,--,--,180,--,37.39
lfpw,z1000hpa,sd,shem,ob,--,--,192,--,38.41
lfpw,z1000hpa,sd,shem,ob,--,--,204,--,42.69
lfpw,z1000hpa,sd,shem,ob,--,--,216,--,44.90
lfpw,z1000hpa,sd,shem,ob,--,--,228,--,47.47
lfpw,z1000hpa,sd,shem,ob,--,--,240,--,48.03
lfpw,z925hpa,me,nhem,ob,--,--,0,--,-.42
lfpw,z925hpa,me,nhem,ob,--,--,12,--,-.46
lfpw,z925hpa,me,nhem,ob,--,--,24,--,.28
lfpw,z925hpa,me,nhem,ob,--,--,36,--,.06
lfpw,z925hpa,me,nhem,ob,--,--,48,--,1.28
lfpw,z925hpa,me,nhem,ob,--,--,60,--,.89
lfpw,z925hpa,me,nhem,ob,--,--,72,--,2.07
lfpw,z925hpa,me,nhem,ob,--,--,84,--,1.77
lfpw,z925hpa,me,nhem,ob,--,--,96,--,2.45
lfpw,z925hpa,me,nhem,ob,--,--,108,--,2.22
lfpw,z925hpa,me,nhem,ob,--,--,120,--,3.08
lfpw,z925hpa,me,nhem,ob,--,--,132,--,2.70
lfpw,z925hpa,me,nhem,ob,--,--,144,--,4.00
lfpw,z925hpa,me,nhem,ob,--,--,156,--,3.45
lfpw,z925hpa,me,nhem,ob,--,--,168,--,4.66
lfpw,z925hpa,me,nhem,ob,--,--,180,--,3.91
lfpw,z925hpa,me,nhem,ob,--,--,192,--,4.98
lfpw,z925hpa,me,nhem,ob,--,--,204,--,4.53
lfpw,z925hpa,me,nhem,ob,--,--,216,--,5.83
lfpw,z925hpa,me,nhem,ob,--,--,228,--,5.03
lfpw,z925hpa,me,nhem,ob,--,--,240,--,6.45
lfpw,z925hpa,me,tropics,ob,--,--,0,--,-1.57
lfpw,z925hpa,me,tropics,ob,--,--,12,--,-.83
lfpw,z925hpa,me,tropics,ob,--,--,24,--,-1.24
lfpw,z925hpa,me,tropics,ob,--,--,36,--,-.87
lfpw,z925hpa,me,tropics,ob,--,--,48,--,-.76
lfpw,z925hpa,me,tropics,ob,--,--,60,--,-1.03
lfpw,z925hpa,me,tropics,ob,--,--,72,--,-.80
lfpw,z925hpa,me,tropics,ob,--,--,84,--,-1.47
lfpw,z925hpa,me,tropics,ob,--,--,96,--,-1.55
lfpw,z925hpa,me,tropics,ob,--,--,108,--,-1.79
lfpw,z925hpa,me,tropics,ob,--,--,120,--,-1.79
lfpw,z925hpa,me,tropics,ob,--,--,132,--,-1.72
lfpw,z925hpa,me,tropics,ob,--,--,144,--,-1.38
lfpw,z925hpa,me,tropics,ob,--,--,156,--,-1.51
lfpw,z925hpa,me,tropics,ob,--,--,168,--,-.94
lfpw,z925hpa,me,tropics,ob,--,--,180,--,-.94
lfpw,z925hpa,me,tropics,ob,--,--,192,--,-.77
lfpw,z925hpa,me,tropics,ob,--,--,204,--,-1.08
lfpw,z925hpa,me,tropics,ob,--,--,216,--,-1.17
lfpw,z925hpa,me,tropics,ob,--,--,228,--,-1.81
lfpw,z925hpa,me,tropics,ob,--,--,240,--,-1.81
lfpw,z925hpa,me,shem,ob,--,--,0,--,.24
lfpw,z925hpa,me,shem,ob,--,--,12,--,.18
lfpw,z925hpa,me,shem,ob,--,--,24,--,1.49
lfpw,z925hpa,me,shem,ob,--,--,36,--,.71
lfpw,z925hpa,me,shem,ob,--,--,48,--,2.39
lfpw,z925hpa,me,shem,ob,--,--,60,--,.99
lfpw,z925hpa,me,shem,ob,--,--,72,--,3.01
lfpw,z925hpa,me,shem,ob,--,--,84,--,.26
lfpw,z925hpa,me,shem,ob,--,--,96,--,3.04
lfpw,z925hpa,me,shem,ob,--,--,108,--,.21
lfpw,z925hpa,me,shem,ob,--,--,120,--,2.88
lfpw,z925hpa,me,shem,ob,--,--,132,--,.01
lfpw,z925hpa,me,shem,ob,--,--,144,--,2.53
lfpw,z925hpa,me,shem,ob,--,--,156,--,-1.18
lfpw,z925hpa,me,shem,ob,--,--,168,--,2.57
lfpw,z925hpa,me,shem,ob,--,--,180,--,-2.83
lfpw,z925hpa,me,shem,ob,--,--,192,--,2.01
lfpw,z925hpa,me,shem,ob,--,--,204,--,-2.96
lfpw,z925hpa,me,shem,ob,--,--,216,--,1.83
lfpw,z925hpa,me,shem,ob,--,--,228,--,-2.48
lfpw,z925hpa,me,shem,ob,--,--,240,--,2.04
lfpw,z925hpa,rmse,nhem,ob,--,--,0,--,6.85
lfpw,z925hpa,rmse,nhem,ob,--,--,12,--,8.14
lfpw,z925hpa,rmse,nhem,ob,--,--,24,--,8.75
lfpw,z925hpa,rmse,nhem,ob,--,--,36,--,10.22
lfpw,z925hpa,rmse,nhem,ob,--,--,48,--,11.44
lfpw,z925hpa,rmse,nhem,ob,--,--,60,--,13.24
lfpw,z925hpa,rmse,nhem,ob,--,--,72,--,15.29
lfpw,z925hpa,rmse,nhem,ob,--,--,84,--,18.06
lfpw,z925hpa,rmse,nhem,ob,--,--,96,--,21.30
lfpw,z925hpa,rmse,nhem,ob,--,--,108,--,25.29
lfpw,z925hpa,rmse,nhem,ob,--,--,120,--,29.43
lfpw,z925hpa,rmse,nhem,ob,--,--,132,--,34.17
lfpw,z925hpa,rmse,nhem,ob,--,--,144,--,38.57
lfpw,z925hpa,rmse,nhem,ob,--,--,156,--,42.89
lfpw,z925hpa,rmse,nhem,ob,--,--,168,--,47.64
lfpw,z925hpa,rmse,nhem,ob,--,--,180,--,51.53
lfpw,z925hpa,rmse,nhem,ob,--,--,192,--,55.20
lfpw,z925hpa,rmse,nhem,ob,--,--,204,--,58.16
lfpw,z925hpa,rmse,nhem,ob,--,--,216,--,61.60
lfpw,z925hpa,rmse,nhem,ob,--,--,228,--,65.01
lfpw,z925hpa,rmse,nhem,ob,--,--,240,--,68.73
lfpw,z925hpa,rmse,tropics,ob,--,--,0,--,7.24
lfpw,z925hpa,rmse,tropics,ob,--,--,12,--,8.16
lfpw,z925hpa,rmse,tropics,ob,--,--,24,--,7.75
lfpw,z925hpa,rmse,tropics,ob,--,--,36,--,8.73
lfpw,z925hpa,rmse,tropics,ob,--,--,48,--,8.33
lfpw,z925hpa,rmse,tropics,ob,--,--,60,--,9.13
lfpw,z925hpa,rmse,tropics,ob,--,--,72,--,8.97
lfpw,z925hpa,rmse,tropics,ob,--,--,84,--,9.66
lfpw,z925hpa,rmse,tropics,ob,--,--,96,--,9.55
lfpw,z925hpa,rmse,tropics,ob,--,--,108,--,10.33
lfpw,z925hpa,rmse,tropics,ob,--,--,120,--,10.25
lfpw,z925hpa,rmse,tropics,ob,--,--,132,--,10.97
lfpw,z925hpa,rmse,tropics,ob,--,--,144,--,11.08
lfpw,z925hpa,rmse,tropics,ob,--,--,156,--,11.59
lfpw,z925hpa,rmse,tropics,ob,--,--,168,--,11.80
lfpw,z925hpa,rmse,tropics,ob,--,--,180,--,12.31
lfpw,z925hpa,rmse,tropics,ob,--,--,192,--,12.73
lfpw,z925hpa,rmse,tropics,ob,--,--,204,--,13.15
lfpw,z925hpa,rmse,tropics,ob,--,--,216,--,13.60
lfpw,z925hpa,rmse,tropics,ob,--,--,228,--,14.23
lfpw,z925hpa,rmse,tropics,ob,--,--,240,--,14.86
lfpw,z925hpa,rmse,shem,ob,--,--,0,--,6.45
lfpw,z925hpa,rmse,shem,ob,--,--,12,--,8.80
lfpw,z925hpa,rmse,shem,ob,--,--,24,--,8.95
lfpw,z925hpa,rmse,shem,ob,--,--,36,--,11.14
lfpw,z925hpa,rmse,shem,ob,--,--,48,--,11.55
lfpw,z925hpa,rmse,shem,ob,--,--,60,--,14.29
lfpw,z925hpa,rmse,shem,ob,--,--,72,--,15.31
lfpw,z925hpa,rmse,shem,ob,--,--,84,--,19.67
lfpw,z925hpa,rmse,shem,ob,--,--,96,--,20.10
lfpw,z925hpa,rmse,shem,ob,--,--,108,--,26.08
lfpw,z925hpa,rmse,shem,ob,--,--,120,--,26.27
lfpw,z925hpa,rmse,shem,ob,--,--,132,--,33.26
lfpw,z925hpa,rmse,shem,ob,--,--,144,--,33.16
lfpw,z925hpa,rmse,shem,ob,--,--,156,--,40.38
lfpw,z925hpa,rmse,shem,ob,--,--,168,--,40.76
lfpw,z925hpa,rmse,shem,ob,--,--,180,--,48.20
lfpw,z925hpa,rmse,shem,ob,--,--,192,--,47.20
lfpw,z925hpa,rmse,shem,ob,--,--,204,--,55.57
lfpw,z925hpa,rmse,shem,ob,--,--,216,--,54.03
lfpw,z925hpa,rmse,shem,ob,--,--,228,--,61.05
lfpw,z925hpa,rmse,shem,ob,--,--,240,--,57.39
lfpw,z925hpa,sd,nhem,ob,--,--,0,--,6.81
lfpw,z925hpa,sd,nhem,ob,--,--,12,--,8.11
lfpw,z925hpa,sd,nhem,ob,--,--,24,--,8.67
lfpw,z925hpa,sd,nhem,ob,--,--,36,--,10.18
lfpw,z925hpa,sd,nhem,ob,--,--,48,--,11.27
lfpw,z925hpa,sd,nhem,ob,--,--,60,--,13.12
lfpw,z925hpa,sd,nhem,ob,--,--,72,--,14.99
lfpw,z925hpa,sd,nhem,ob,--,--,84,--,17.81
lfpw,z925hpa,sd,nhem,ob,--,--,96,--,20.91
lfpw,z925hpa,sd,nhem,ob,--,--,108,--,24.91
lfpw,z925hpa,sd,nhem,ob,--,--,120,--,28.91
lfpw,z925hpa,sd,nhem,ob,--,--,132,--,33.71
lfpw,z925hpa,sd,nhem,ob,--,--,144,--,37.90
lfpw,z925hpa,sd,nhem,ob,--,--,156,--,42.22
lfpw,z925hpa,sd,nhem,ob,--,--,168,--,46.70
lfpw,z925hpa,sd,nhem,ob,--,--,180,--,50.69
lfpw,z925hpa,sd,nhem,ob,--,--,192,--,54.14
lfpw,z925hpa,sd,nhem,ob,--,--,204,--,57.13
lfpw,z925hpa,sd,nhem,ob,--,--,216,--,60.31
lfpw,z925hpa,sd,nhem,ob,--,--,228,--,63.73
lfpw,z925hpa,sd,nhem,ob,--,--,240,--,67.07
lfpw,z925hpa,sd,tropics,ob,--,--,0,--,7.04
lfpw,z925hpa,sd,tropics,ob,--,--,12,--,8.06
lfpw,z925hpa,sd,tropics,ob,--,--,24,--,7.57
lfpw,z925hpa,sd,tropics,ob,--,--,36,--,8.61
lfpw,z925hpa,sd,tropics,ob,--,--,48,--,8.19
lfpw,z925hpa,sd,tropics,ob,--,--,60,--,8.95
lfpw,z925hpa,sd,tropics,ob,--,--,72,--,8.79
lfpw,z925hpa,sd,tropics,ob,--,--,84,--,9.40
lfpw,z925hpa,sd,tropics,ob,--,--,96,--,9.19
lfpw,z925hpa,sd,tropics,ob,--,--,108,--,9.92
lfpw,z925hpa,sd,tropics,ob,--,--,120,--,9.75
