centre,par,sc,dom,ref,d,t,s,n,v
egrr,z1000hpa,me,nhem,ob,--,--,0,169,-0.10173768520710058
egrr,z1000hpa,me,nhem,ob,--,--,6,169,-0.11456146852071009
egrr,z1000hpa,me,nhem,ob,--,--,12,169,-0.24221606035502952
egrr,z1000hpa,me,nhem,ob,--,--,18,169,-0.2644074826627219
egrr,z1000hpa,me,nhem,ob,--,--,24,169,-0.38351664615384623
egrr,z1000hpa,me,nhem,ob,--,--,30,169,-0.40437376491124266
egrr,z1000hpa,me,nhem,ob,--,--,36,169,-0.32907392733727814
egrr,z1000hpa,me,nhem,ob,--,--,42,169,-0.3729885431952663
egrr,z1000hpa,me,nhem,ob,--,--,48,169,-0.4333076970414201
egrr,z1000hpa,me,nhem,ob,--,--,60,169,-0.37379248461538456
egrr,z1000hpa,me,nhem,ob,--,--,72,169,-0.49440172928994075
egrr,z1000hpa,me,nhem,ob,--,--,84,169,-0.8122928810650889
egrr,z1000hpa,me,nhem,ob,--,--,96,169,-1.2031527583431951
egrr,z1000hpa,me,nhem,ob,--,--,108,169,-1.8906744118343193
egrr,z1000hpa,me,nhem,ob,--,--,120,169,-2.77554639295858
egrr,z1000hpa,me,nhem,ob,--,--,132,169,-3.7437754638461542
egrr,z1000hpa,me,nhem,ob,--,--,144,169,-4.515896266272189
egrr,z1000hpa,me,tropics,ob,--,--,0,169,-0.747382955443787
egrr,z1000hpa,me,tropics,ob,--,--,6,169,0.05167497573964502
egrr,z1000hpa,me,tropics,ob,--,--,12,169,-0.9630327573964497
egrr,z1000hpa,me,tropics,ob,--,--,18,169,-0.9686240167041419
egrr,z1000hpa,me,tropics,ob,--,--,24,169,-1.2730110366863905
egrr,z1000hpa,me,tropics,ob,--,--,30,169,-1.1534394426035504
egrr,z1000hpa,me,tropics,ob,--,--,36,169,-1.43709325260355
egrr,z1000hpa,me,tropics,ob,--,--,42,169,-0.8788543201183431
egrr,z1000hpa,me,tropics,ob,--,--,48,169,-1.2693151360946744
egrr,z1000hpa,me,tropics,ob,--,--,60,169,-1.4702991656804736
egrr,z1000hpa,me,tropics,ob,--,--,72,169,-1.563601449112426
egrr,z1000hpa,me,tropics,ob,--,--,84,169,-1.9950955804733725
egrr,z1000hpa,me,tropics,ob,--,--,96,169,-1.973244482366864
egrr,z1000hpa,me,tropics,ob,--,--,108,169,-2.4485866730769232
egrr,z1000hpa,me,tropics,ob,--,--,120,169,-2.665254863313609
egrr,z1000hpa,me,tropics,ob,--,--,132,169,-2.5614238934911246
egrr,z1000hpa,me,tropics,ob,--,--,144,169,-2.5959111136094677
egrr,z1000hpa,me,shem,ob,--,--,0,169,-2.0885640498224856
egrr,z1000hpa,me,shem,ob,--,--,6,169,-0.586318697633136
egrr,z1000hpa,me,shem,ob,--,--,12,169,-1.0696863260355027
egrr,z1000hpa,me,shem,ob,--,--,18,169,-0.6380258451242602
egrr,z1000hpa,me,shem,ob,--,--,24,169,-0.8111617243195267
egrr,z1000hpa,me,shem,ob,--,--,30,169,-0.6017205863905326
egrr,z1000hpa,me,shem,ob,--,--,36,169,-1.0120568325443786
egrr,z1000hpa,me,shem,ob,--,--,42,169,-0.535925067810651
egrr,z1000hpa,me,shem,ob,--,--,48,169,-0.8559080235502958
egrr,z1000hpa,me,shem,ob,--,--,60,169,-1.0246669710059173
egrr,z1000hpa,me,shem,ob,--,--,72,169,-1.1300294749112425
egrr,z1000hpa,me,shem,ob,--,--,84,169,-1.1968783325443788
egrr,z1000hpa,me,shem,ob,--,--,96,169,-1.2663000710059171
egrr,z1000hpa,me,shem,ob,--,--,108,169,-1.5333712343195265
egrr,z1000hpa,me,shem,ob,--,--,120,169,-1.6904313585798818
egrr,z1000hpa,me,shem,ob,--,--,132,169,-2.3035983477100594
egrr,z1000hpa,me,shem,ob,--,--,144,169,-3.1920361562130175
egrr,z1000hpa,mae,nhem,ob,--,--,0,169,5.125305739644971
egrr,z1000hpa,mae,nhem,ob,--,--,6,169,5.532765680473373
egrr,z1000hpa,mae,nhem,ob,--,--,12,169,5.750535266272189
egrr,z1000hpa,mae,nhem,ob,--,--,18,169,6.149925443786982
egrr,z1000hpa,mae,nhem,ob,--,--,24,169,6.346248994082839
egrr,z1000hpa,mae,nhem,ob,--,--,30,169,6.881693372781066
egrr,z1000hpa,mae,nhem,ob,--,--,36,169,7.191250946745562
egrr,z1000hpa,mae,nhem,ob,--,--,42,169,7.803593550295857
egrr,z1000hpa,mae,nhem,ob,--,--,48,169,8.22464473372781
egrr,z1000hpa,mae,nhem,ob,--,--,60,169,9.366757633136094
egrr,z1000hpa,mae,nhem,ob,--,--,72,169,10.826422603550297
egrr,z1000hpa,mae,nhem,ob,--,--,84,169,12.58724958579882
egrr,z1000hpa,mae,nhem,ob,--,--,96,169,14.744494674556211
egrr,z1000hpa,mae,nhem,ob,--,--,108,169,17.33915680473373
egrr,z1000hpa,mae,nhem,ob,--,--,120,169,20.138298816568046
egrr,z1000hpa,mae,nhem,ob,--,--,132,169,23.348665088757397
egrr,z1000hpa,mae,nhem,ob,--,--,144,169,26.710434319526623
egrr,z1000hpa,mae,tropics,ob,--,--,0,169,6.231833017751479
egrr,z1000hpa,mae,tropics,ob,--,--,6,169,7.189173195266271
egrr,z1000hpa,mae,tropics,ob,--,--,12,169,6.894294852071005
egrr,z1000hpa,mae,tropics,ob,--,--,18,169,7.163002840236686
egrr,z1000hpa,mae,tropics,ob,--,--,24,169,6.942300059171597
egrr,z1000hpa,mae,tropics,ob,--,--,30,169,7.217699822485207
egrr,z1000hpa,mae,tropics,ob,--,--,36,169,7.265556568047337
egrr,z1000hpa,mae,tropics,ob,--,--,42,169,7.427500177514793
egrr,z1000hpa,mae,tropics,ob,--,--,48,169,7.4424684615384615
egrr,z1000hpa,mae,tropics,ob,--,--,60,169,7.8917868047337265
egrr,z1000hpa,mae,tropics,ob,--,--,72,169,8.211526449704142
egrr,z1000hpa,mae,tropics,ob,--,--,84,169,8.502400118343195
egrr,z1000hpa,mae,tropics,ob,--,--,96,169,8.858616035502957
egrr,z1000hpa,mae,tropics,ob,--,--,108,169,9.138166153846155
egrr,z1000hpa,mae,tropics,ob,--,--,120,169,9.296693136094675
egrr,z1000hpa,mae,tropics,ob,--,--,132,169,9.611389822485208
egrr,z1000hpa,mae,tropics,ob,--,--,144,169,9.879310414201182
egrr,z1000hpa,mae,shem,ob,--,--,0,169,4.863714319526627
egrr,z1000hpa,mae,shem,ob,--,--,6,169,5.819709940828402
egrr,z1000hpa,mae,shem,ob,--,--,12,169,5.760908165680473
egrr,z1000hpa,mae,shem,ob,--,--,18,169,6.510169881656806
egrr,z1000hpa,mae,shem,ob,--,--,24,169,6.633268875739646
egrr,z1000hpa,mae,shem,ob,--,--,30,169,7.275172011834319
egrr,z1000hpa,mae,shem,ob,--,--,36,169,7.472144378698224
egrr,z1000hpa,mae,shem,ob,--,--,42,169,8.120454556213017
egrr,z1000hpa,mae,shem,ob,--,--,48,169,8.236032603550296
egrr,z1000hpa,mae,shem,ob,--,--,60,169,9.232307100591717
egrr,z1000hpa,mae,shem,ob,--,--,72,169,10.30218852071006
egrr,z1000hpa,mae,shem,ob,--,--,84,169,11.508368816568048
egrr,z1000hpa,mae,shem,ob,--,--,96,169,12.75228597633136
egrr,z1000hpa,mae,shem,ob,--,--,108,169,14.509384615384613
egrr,z1000hpa,mae,shem,ob,--,--,120,169,16.033119349112425
egrr,z1000hpa,mae,shem,ob,--,--,132,169,18.199785443786983
egrr,z1000hpa,mae,shem,ob,--,--,144,169,20.43573964497041
egrr,z1000hpa,rmse,nhem,ob,--,--,0,169,7.801654819095966
egrr,z1000hpa,rmse,nhem,ob,--,--,6,169,8.239267483017326
egrr,z1000hpa,rmse,nhem,ob,--,--,12,169,8.497102619505856
egrr,z1000hpa,rmse,nhem,ob,--,--,18,169,8.899595207611663
egrr,z1000hpa,rmse,nhem,ob,--,--,24,169,9.175232962479733
egrr,z1000hpa,rmse,nhem,ob,--,--,30,169,9.758034289900987
egrr,z1000hpa,rmse,nhem,ob,--,--,36,169,10.117544982199433
egrr,z1000hpa,rmse,nhem,ob,--,--,42,169,10.800576663714075
egrr,z1000hpa,rmse,nhem,ob,--,--,48,169,11.346661547973994
egrr,z1000hpa,rmse,nhem,ob,--,--,60,169,12.799724309293477
egrr,z1000hpa,rmse,nhem,ob,--,--,72,169,14.752531368456042
egrr,z1000hpa,rmse,nhem,ob,--,--,84,169,17.123517687276994
egrr,z1000hpa,rmse,nhem,ob,--,--,96,169,20.27869861174939
egrr,z1000hpa,rmse,nhem,ob,--,--,108,169,24.113037153347875
egrr,z1000hpa,rmse,nhem,ob,--,--,120,169,28.0544691879305
egrr,z1000hpa,rmse,nhem,ob,--,--,132,169,32.548728326222296
egrr,z1000hpa,rmse,nhem,ob,--,--,144,169,37.19537680650558
egrr,z1000hpa,rmse,tropics,ob,--,--,0,169,8.776946999976964
egrr,z1000hpa,rmse,tropics,ob,--,--,6,169,9.667281544832944
egrr,z1000hpa,rmse,tropics,ob,--,--,12,169,9.522614254695785
egrr,z1000hpa,rmse,tropics,ob,--,--,18,169,9.810610899367134
egrr,z1000hpa,rmse,tropics,ob,--,--,24,169,9.594293654485657
egrr,z1000hpa,rmse,tropics,ob,--,--,30,169,9.88695050573433
egrr,z1000hpa,rmse,tropics,ob,--,--,36,169,9.931877566463397
egrr,z1000hpa,rmse,tropics,ob,--,--,42,169,10.098296749226762
egrr,z1000hpa,rmse,tropics,ob,--,--,48,169,10.137563287061207
egrr,z1000hpa,rmse,tropics,ob,--,--,60,169,10.613226850055963
egrr,z1000hpa,rmse,tropics,ob,--,--,72,169,10.977174854676907
egrr,z1000hpa,rmse,tropics,ob,--,--,84,169,11.331784480270025
egrr,z1000hpa,rmse,tropics,ob,--,--,96,169,11.736856657156725
egrr,z1000hpa,rmse,tropics,ob,--,--,108,169,12.075651982035648
egrr,z1000hpa,rmse,tropics,ob,--,--,120,169,12.295849940074804
egrr,z1000hpa,rmse,tropics,ob,--,--,132,169,12.68032687330188
egrr,z1000hpa,rmse,tropics,ob,--,--,144,169,12.944454379290738
egrr,z1000hpa,rmse,shem,ob,--,--,0,169,7.223500329070507
egrr,z1000hpa,rmse,shem,ob,--,--,6,169,8.043355529590817
egrr,z1000hpa,rmse,shem,ob,--,--,12,169,8.043837462198052
egrr,z1000hpa,rmse,shem,ob,--,--,18,169,8.916618173247064
egrr,z1000hpa,rmse,shem,ob,--,--,24,169,9.034702427230373
egrr,z1000hpa,rmse,shem,ob,--,--,30,169,9.81680221632332
egrr,z1000hpa,rmse,shem,ob,--,--,36,169,9.986796904232374
egrr,z1000hpa,rmse,shem,ob,--,--,42,169,10.725445031150528
egrr,z1000hpa,rmse,shem,ob,--,--,48,169,10.84988925018573
egrr,z1000hpa,rmse,shem,ob,--,--,60,169,12.17514317588483
egrr,z1000hpa,rmse,shem,ob,--,--,72,169,13.420857336888316
egrr,z1000hpa,rmse,shem,ob,--,--,84,169,15.00986449364036
egrr,z1000hpa,rmse,shem,ob,--,--,96,169,16.50614041297295
egrr,z1000hpa,rmse,shem,ob,--,--,108,169,18.855768714600327
egrr,z1000hpa,rmse,shem,ob,--,--,120,169,20.788559533714736
egrr,z1000hpa,rmse,shem,ob,--,--,132,169,23.787396595979992
egrr,z1000hpa,rmse,shem,ob,--,--,144,169,26.71019451549892
egrr,z1000hpa,sd,nhem,ob,--,--,0,169,7.749166226444044
egrr,z1000hpa,sd,nhem,ob,--,--,6,169,8.190615442873376
egrr,z1000hpa,sd,nhem,ob,--,--,12,169,8.429667947862578
egrr,z1000hpa,sd,nhem,ob,--,--,18,169,8.830273839123576
egrr,z1000hpa,sd,nhem,ob,--,--,24,169,9.10127753585176
egrr,z1000hpa,sd,nhem,ob,--,--,30,169,9.668278195123069
egrr,z1000hpa,sd,nhem,ob,--,--,36,169,10.016274167383418
egrr,z1000hpa,sd,nhem,ob,--,--,42,169,10.687653592401
egrr,z1000hpa,sd,nhem,ob,--,--,48,169,11.228430786565275
egrr,z1000hpa,sd,nhem,ob,--,--,60,169,12.65710817790434
egrr,z1000hpa,sd,nhem,ob,--,--,72,169,14.56171032037161
egrr,z1000hpa,sd,nhem,ob,--,--,84,169,16.883216201047112
egrr,z1000hpa,sd,nhem,ob,--,--,96,169,19.969924561820044
egrr,z1000hpa,sd,nhem,ob,--,--,108,169,23.68824611406903
egrr,z1000hpa,sd,nhem,ob,--,--,120,169,27.44777596381759
egrr,z1000hpa,sd,nhem,ob,--,--,132,169,31.729649703115633
egrr,z1000hpa,sd,nhem,ob,--,--,144,169,36.184472977705845
egrr,z1000hpa,sd,tropics,ob,--,--,0,169,8.712680736678331
egrr,z1000hpa,sd,tropics,ob,--,--,6,169,9.549617360254274
egrr,z1000hpa,sd,tropics,ob,--,--,12,169,9.318230764867552
egrr,z1000hpa,sd,tropics,ob,--,--,18,169,9.646125521570061
egrr,z1000hpa,sd,tropics,ob,--,--,24,169,9.441106909428706
egrr,z1000hpa,sd,tropics,ob,--,--,30,169,9.704379143425728
egrr,z1000hpa,sd,tropics,ob,--,--,36,169,9.709750686747084
egrr,z1000hpa,sd,tropics,ob,--,--,42,169,9.967450288031143
egrr,z1000hpa,sd,tropics,ob,--,--,48,169,9.964132169495059
egrr,z1000hpa,sd,tropics,ob,--,--,60,169,10.387028699548654
egrr,z1000hpa,sd,tropics,ob,--,--,72,169,10.750631419879726
egrr,z1000hpa,sd,tropics,ob,--,--,84,169,11.026938511155915
egrr,z1000hpa,sd,tropics,ob,--,--,96,169,11.43700292103986
egrr,z1000hpa,sd,tropics,ob,--,--,108,169,11.659672452112146
egrr,z1000hpa,sd,tropics,ob,--,--,120,169,11.81059610263521
egrr,z1000hpa,sd,tropics,ob,--,--,132,169,12.214449470762498
egrr,z1000hpa,sd,tropics,ob,--,--,144,169,12.43768890645712
egrr,z1000hpa,sd,shem,ob,--,--,0,169,6.844477287392224
egrr,z1000hpa,sd,shem,ob,--,--,6,169,7.88190573874658
egrr,z1000hpa,sd,shem,ob,--,--,12,169,7.817768742850302
egrr,z1000hpa,sd,shem,ob,--,--,18,169,8.713650341336395
egrr,z1000hpa,sd,shem,ob,--,--,24,169,8.79037686752765
egrr,z1000hpa,sd,shem,ob,--,--,30,169,9.537835116528022
egrr,z1000hpa,sd,shem,ob,--,--,36,169,9.611421166119507
egrr,z1000hpa,sd,shem,ob,--,--,42,169,10.421170780156926
egrr,z1000hpa,sd,shem,ob,--,--,48,169,10.521206269594481
egrr,z1000hpa,sd,shem,ob,--,--,60,169,11.721779465666438
egrr,z1000hpa,sd,shem,ob,--,--,72,169,12.879331019589003
egrr,z1000hpa,sd,shem,ob,--,--,84,169,14.324534144647906
egrr,z1000hpa,sd,shem,ob,--,--,96,169,15.71759077796725
egrr,z1000hpa,sd,shem,ob,--,--,108,169,17.9839906300487
egrr,z1000hpa,sd,shem,ob,--,--,120,169,19.869778870415004
egrr,z1000hpa,sd,shem,ob,--,--,132,169,22.721826843810423
egrr,z1000hpa,sd,shem,ob,--,--,144,169,25.485132657719443
