centre,par,sc,dom,ref,d,t,s,n,v
egrr,z1000hpa,me,nhem,ob,--,--,0,170,-0.37927601747058826
egrr,z1000hpa,me,nhem,ob,--,--,6,170,-0.40542979917647065
egrr,z1000hpa,me,nhem,ob,--,--,12,170,-0.5055372289411765
egrr,z1000hpa,me,nhem,ob,--,--,18,170,-0.46851762976470596
egrr,z1000hpa,me,nhem,ob,--,--,24,170,-0.7149418352941176
egrr,z1000hpa,me,nhem,ob,--,--,30,170,-0.6780022905882352
egrr,z1000hpa,me,nhem,ob,--,--,36,170,-0.6014484029411765
egrr,z1000hpa,me,nhem,ob,--,--,42,170,-0.65833136
egrr,z1000hpa,me,nhem,ob,--,--,48,170,-0.6720589653529412
egrr,z1000hpa,me,nhem,ob,--,--,60,170,-0.5416933511764707
egrr,z1000hpa,me,nhem,ob,--,--,72,170,-0.6005932382352942
egrr,z1000hpa,me,nhem,ob,--,--,84,170,-0.9408094029411763
egrr,z1000hpa,me,nhem,ob,--,--,96,170,-1.3687458852352943
egrr,z1000hpa,me,nhem,ob,--,--,108,170,-2.095654610588235
egrr,z1000hpa,me,nhem,ob,--,--,120,170,-3.018057934129412
egrr,z1000hpa,me,nhem,ob,--,--,132,170,-3.909137524705882
egrr,z1000hpa,me,nhem,ob,--,--,144,170,-4.666636035294117
egrr,z1000hpa,me,tropics,ob,--,--,0,170,-1.5914078847058823
egrr,z1000hpa,me,tropics,ob,--,--,6,170,-0.1168582721176471
egrr,z1000hpa,me,tropics,ob,--,--,12,170,-1.3383748809411764
egrr,z1000hpa,me,tropics,ob,--,--,18,170,-1.3415040552941178
egrr,z1000hpa,me,tropics,ob,--,--,24,170,-1.6894846870588234
egrr,z1000hpa,me,tropics,ob,--,--,30,170,-1.4891764494117647
egrr,z1000hpa,me,tropics,ob,--,--,36,170,-1.9557222341176472
egrr,z1000hpa,me,tropics,ob,--,--,42,170,-1.2915770445705883
egrr,z1000hpa,me,tropics,ob,--,--,48,170,-1.839851065882353
egrr,z1000hpa,me,tropics,ob,--,--,60,170,-1.946514874117647
egrr,z1000hpa,me,tropics,ob,--,--,72,170,-2.1945910789235294
egrr,z1000hpa,me,tropics,ob,--,--,84,170,-2.6469153235294116
egrr,z1000hpa,me,tropics,ob,--,--,96,170,-2.6861172235294113
egrr,z1000hpa,me,tropics,ob,--,--,108,170,-3.2812165469411765
egrr,z1000hpa,me,tropics,ob,--,--,120,170,-3.6190858893529407
egrr,z1000hpa,me,tropics,ob,--,--,132,170,-3.631317822941177
egrr,z1000hpa,me,tropics,ob,--,--,144,170,-3.523249995294117
egrr,z1000hpa,me,shem,ob,--,--,0,170,-2.4977062123529414
egrr,z1000hpa,me,shem,ob,--,--,6,170,-0.9078129752941175
egrr,z1000hpa,me,shem,ob,--,--,12,170,-1.5918838817647056
egrr,z1000hpa,me,shem,ob,--,--,18,170,-1.1619042531764705
egrr,z1000hpa,me,shem,ob,--,--,24,170,-1.5112840176470588
egrr,z1000hpa,me,shem,ob,--,--,30,170,-1.1941528670588235
egrr,z1000hpa,me,shem,ob,--,--,36,170,-1.7014874847058823
egrr,z1000hpa,me,shem,ob,--,--,42,170,-1.1266452029411764
egrr,z1000hpa,me,shem,ob,--,--,48,170,-1.3070961605882354
egrr,z1000hpa,me,shem,ob,--,--,60,170,-1.4331743747058825
egrr,z1000hpa,me,shem,ob,--,--,72,170,-1.5883827
egrr,z1000hpa,me,shem,ob,--,--,84,170,-1.5799092564705883
egrr,z1000hpa,me,shem,ob,--,--,96,170,-1.7670106882352938
egrr,z1000hpa,me,shem,ob,--,--,108,170,-2.2227822523529412
egrr,z1000hpa,me,shem,ob,--,--,120,170,-2.394390913764706
egrr,z1000hpa,me,shem,ob,--,--,132,170,-3.077656267647059
egrr,z1000hpa,me,shem,ob,--,--,144,170,-3.5849625229411766
egrr,z1000hpa,mae,nhem,ob,--,--,0,170,5.163163470588235
egrr,z1000hpa,mae,nhem,ob,--,--,6,170,5.560354294117648
egrr,z1000hpa,mae,nhem,ob,--,--,12,170,5.784791352941177
egrr,z1000hpa,mae,nhem,ob,--,--,18,170,6.182076470588235
egrr,z1000hpa,mae,nhem,ob,--,--,24,170,6.378607529411765
egrr,z1000hpa,mae,nhem,ob,--,--,30,170,6.9556277647058815
egrr,z1000hpa,mae,nhem,ob,--,--,36,170,7.242802294117647
egrr,z1000hpa,mae,nhem,ob,--,--,42,170,7.915376882352942
egrr,z1000hpa,mae,nhem,ob,--,--,48,170,8.33381776470588
egrr,z1000hpa,mae,nhem,ob,--,--,60,170,9.528904294117647
egrr,z1000hpa,mae,nhem,ob,--,--,72,170,11.06564217647059
egrr,z1000hpa,mae,nhem,ob,--,--,84,170,12.849173294117644
egrr,z1000hpa,mae,nhem,ob,--,--,96,170,15.035834235294116
egrr,z1000hpa,mae,nhem,ob,--,--,108,170,17.721334117647057
egrr,z1000hpa,mae,nhem,ob,--,--,120,170,20.591883529411767
egrr,z1000hpa,mae,nhem,ob,--,--,132,170,23.81859294117647
egrr,z1000hpa,mae,nhem,ob,--,--,144,170,27.06746411764706
egrr,z1000hpa,mae,tropics,ob,--,--,0,170,6.2666437058823545
egrr,z1000hpa,mae,tropics,ob,--,--,6,170,7.230088411764705
egrr,z1000hpa,mae,tropics,ob,--,--,12,170,6.9943220588235295
egrr,z1000hpa,mae,tropics,ob,--,--,18,170,7.215697823529411
egrr,z1000hpa,mae,tropics,ob,--,--,24,170,7.035806235294118
egrr,z1000hpa,mae,tropics,ob,--,--,30,170,7.206285058823529
egrr,z1000hpa,mae,tropics,ob,--,--,36,170,7.303739588235294
egrr,z1000hpa,mae,tropics,ob,--,--,42,170,7.4441921764705885
egrr,z1000hpa,mae,tropics,ob,--,--,48,170,7.446799823529411
egrr,z1000hpa,mae,tropics,ob,--,--,60,170,7.9258832941176465
egrr,z1000hpa,mae,tropics,ob,--,--,72,170,8.266744352941176
egrr,z1000hpa,mae,tropics,ob,--,--,84,170,8.656430823529412
egrr,z1000hpa,mae,tropics,ob,--,--,96,170,9.037069823529412
egrr,z1000hpa,mae,tropics,ob,--,--,108,170,9.343460117647059
egrr,z1000hpa,mae,tropics,ob,--,--,120,170,9.547947117647059
egrr,z1000hpa,mae,tropics,ob,--,--,132,170,9.852240235294117
egrr,z1000hpa,mae,tropics,ob,--,--,144,170,10.05421794117647
egrr,z1000hpa,mae,shem,ob,--,--,0,170,4.958761176470589
egrr,z1000hpa,mae,shem,ob,--,--,6,170,5.846329705882353
egrr,z1000hpa,mae,shem,ob,--,--,12,170,5.808642647058823
egrr,z1000hpa,mae,shem,ob,--,--,18,170,6.511256235294117
egrr,z1000hpa,mae,shem,ob,--,--,24,170,6.552941764705883
egrr,z1000hpa,mae,shem,ob,--,--,30,170,7.282604470588235
egrr,z1000hpa,mae,shem,ob,--,--,36,170,7.456910588235296
egrr,z1000hpa,mae,shem,ob,--,--,42,170,8.143355000000001
egrr,z1000hpa,mae,shem,ob,--,--,48,170,8.359902823529412
egrr,z1000hpa,mae,shem,ob,--,--,60,170,9.444021117647058
egrr,z1000hpa,mae,shem,ob,--,--,72,170,10.507453
egrr,z1000hpa,mae,shem,ob,--,--,84,170,11.722227352941177
egrr,z1000hpa,mae,shem,ob,--,--,96,170,12.981599470588234
egrr,z1000hpa,mae,shem,ob,--,--,108,170,14.652092058823529
egrr,z1000hpa,mae,shem,ob,--,--,120,170,16.219987882352942
egrr,z1000hpa,mae,shem,ob,--,--,132,170,18.560185352941176
egrr,z1000hpa,mae,shem,ob,--,--,144,170,20.66672005882353
egrr,z1000hpa,rmse,nhem,ob,--,--,0,170,7.809621618658044
egrr,z1000hpa,rmse,nhem,ob,--,--,6,170,8.240953819019461
egrr,z1000hpa,rmse,nhem,ob,--,--,12,170,8.49038412273193
egrr,z1000hpa,rmse,nhem,ob,--,--,18,170,8.910340684225517
egrr,z1000hpa,rmse,nhem,ob,--,--,24,170,9.190024447742639
egrr,z1000hpa,rmse,nhem,ob,--,--,30,170,9.816634585857798
egrr,z1000hpa,rmse,nhem,ob,--,--,36,170,10.17963867498963
egrr,z1000hpa,rmse,nhem,ob,--,--,42,170,10.924756827113738
egrr,z1000hpa,rmse,nhem,ob,--,--,48,170,11.458871838721066
egrr,z1000hpa,rmse,nhem,ob,--,--,60,170,12.974914010148987
egrr,z1000hpa,rmse,nhem,ob,--,--,72,170,15.031123854238716
egrr,z1000hpa,rmse,nhem,ob,--,--,84,170,17.47740863191962
egrr,z1000hpa,rmse,nhem,ob,--,--,96,170,20.70785158967302
egrr,z1000hpa,rmse,nhem,ob,--,--,108,170,24.660767341704073
egrr,z1000hpa,rmse,nhem,ob,--,--,120,170,28.731955650754024
egrr,z1000hpa,rmse,nhem,ob,--,--,132,170,33.11283678052194
egrr,z1000hpa,rmse,nhem,ob,--,--,144,170,37.512770269761155
egrr,z1000hpa,rmse,tropics,ob,--,--,0,170,8.931814898388398
egrr,z1000hpa,rmse,tropics,ob,--,--,6,170,9.704184955905529
egrr,z1000hpa,rmse,tropics,ob,--,--,12,170,9.649403567206978
egrr,z1000hpa,rmse,tropics,ob,--,--,18,170,9.889492964256492
egrr,z1000hpa,rmse,tropics,ob,--,--,24,170,9.725089479534368
