centre,par,sc,dom,ref,d,t,s,n,v
egrr,z1000hpa,me,nhem,ob,--,--,0,169,0.15996733715976333
egrr,z1000hpa,me,nhem,ob,--,--,6,169,0.03980826384615383
egrr,z1000hpa,me,nhem,ob,--,--,12,169,-0.15056826621301778
egrr,z1000hpa,me,nhem,ob,--,--,18,169,-0.20407400846153853
egrr,z1000hpa,me,nhem,ob,--,--,24,169,-0.32510943568047335
egrr,z1000hpa,me,nhem,ob,--,--,30,169,-0.4298402178698225
egrr,z1000hpa,me,nhem,ob,--,--,36,169,-0.38260518313609476
egrr,z1000hpa,me,nhem,ob,--,--,42,169,-0.45005140568047336
egrr,z1000hpa,me,nhem,ob,--,--,48,169,-0.5493284414201183
egrr,z1000hpa,me,nhem,ob,--,--,60,169,-0.5128604781656806
egrr,z1000hpa,me,nhem,ob,--,--,72,169,-0.6641632626035503
egrr,z1000hpa,me,nhem,ob,--,--,84,169,-1.0181363698224852
egrr,z1000hpa,me,nhem,ob,--,--,96,169,-1.6576179585798816
egrr,z1000hpa,me,nhem,ob,--,--,108,169,-2.6397044418934907
egrr,z1000hpa,me,nhem,ob,--,--,120,169,-3.6024204852071007
egrr,z1000hpa,me,nhem,ob,--,--,132,169,-4.396546083431952
egrr,z1000hpa,me,nhem,ob,--,--,144,169,-5.388190001183432
egrr,z1000hpa,me,tropics,ob,--,--,0,169,-1.2171225840236686
egrr,z1000hpa,me,tropics,ob,--,--,6,169,-0.9355288680473371
egrr,z1000hpa,me,tropics,ob,--,--,12,169,-1.7127691085798817
egrr,z1000hpa,me,tropics,ob,--,--,18,169,-1.7293280400000002
egrr,z1000hpa,me,tropics,ob,--,--,24,169,-1.95952719591716
egrr,z1000hpa,me,tropics,ob,--,--,30,169,-1.6389618136094677
egrr,z1000hpa,me,tropics,ob,--,--,36,169,-1.941092275266272
egrr,z1000hpa,me,tropics,ob,--,--,42,169,-1.4074248191715977
egrr,z1000hpa,me,tropics,ob,--,--,48,169,-1.7130120663313608
egrr,z1000hpa,me,tropics,ob,--,--,60,169,-1.8899350639053254
egrr,z1000hpa,me,tropics,ob,--,--,72,169,-2.0086640824260353
egrr,z1000hpa,me,tropics,ob,--,--,84,169,-2.3865931307692305
egrr,z1000hpa,me,tropics,ob,--,--,96,169,-2.3020405731360944
egrr,z1000hpa,me,tropics,ob,--,--,108,169,-2.848659497633136
egrr,z1000hpa,me,tropics,ob,--,--,120,169,-3.0120411455621303
egrr,z1000hpa,me,tropics,ob,--,--,132,169,-2.9062134142011837
egrr,z1000hpa,me,tropics,ob,--,--,144,169,-2.9631190144970416
egrr,z1000hpa,me,shem,ob,--,--,0,169,-2.0738866869822488
egrr,z1000hpa,me,shem,ob,--,--,6,169,-0.6617477931952663
egrr,z1000hpa,me,shem,ob,--,--,12,169,-1.2133117946745562
egrr,z1000hpa,me,shem,ob,--,--,18,169,-1.050810347928994
egrr,z1000hpa,me,shem,ob,--,--,24,169,-1.196586223076923
egrr,z1000hpa,me,shem,ob,--,--,30,169,-1.069420914733728
egrr,z1000hpa,me,shem,ob,--,--,36,169,-1.5244214355029584
egrr,z1000hpa,me,shem,ob,--,--,42,169,-1.1096535508875742
egrr,z1000hpa,me,shem,ob,--,--,48,169,-1.3998563189349111
egrr,z1000hpa,me,shem,ob,--,--,60,169,-1.4149497211834319
egrr,z1000hpa,me,shem,ob,--,--,72,169,-1.5653981202366865
egrr,z1000hpa,me,shem,ob,--,--,84,169,-1.7644781733727812
egrr,z1000hpa,me,shem,ob,--,--,96,169,-2.252940456804734
egrr,z1000hpa,me,shem,ob,--,--,108,169,-2.661088991420119
egrr,z1000hpa,me,shem,ob,--,--,120,169,-2.964251278698225
egrr,z1000hpa,me,shem,ob,--,--,132,169,-3.2092200114674556
egrr,z1000hpa,me,shem,ob,--,--,144,169,-3.8672076473372785
egrr,z1000hpa,mae,nhem,ob,--,--,0,169,5.146126035502958
egrr,z1000hpa,mae,nhem,ob,--,--,6,169,5.528477159763312
egrr,z1000hpa,mae,nhem,ob,--,--,12,169,5.81195325443787
egrr,z1000hpa,mae,nhem,ob,--,--,18,169,6.187752662721893
egrr,z1000hpa,mae,nhem,ob,--,--,24,169,6.400299289940828
egrr,z1000hpa,mae,nhem,ob,--,--,30,169,6.899859644970414
egrr,z1000hpa,mae,nhem,ob,--,--,36,169,7.269319585798817
egrr,z1000hpa,mae,nhem,ob,--,--,42,169,7.877724792899408
egrr,z1000hpa,mae,nhem,ob,--,--,48,169,8.328422662721893
egrr,z1000hpa,mae,nhem,ob,--,--,60,169,9.524011597633137
egrr,z1000hpa,mae,nhem,ob,--,--,72,169,11.00766952662722
egrr,z1000hpa,mae,nhem,ob,--,--,84,169,12.804210236686389
egrr,z1000hpa,mae,nhem,ob,--,--,96,169,15.002858579881657
egrr,z1000hpa,mae,nhem,ob,--,--,108,169,17.6664875739645
egrr,z1000hpa,mae,nhem,ob,--,--,120,169,20.47193372781065
egrr,z1000hpa,mae,nhem,ob,--,--,132,169,23.70538875739645
egrr,z1000hpa,mae,nhem,ob,--,--,144,169,27.049017159763316
egrr,z1000hpa,mae,tropics,ob,--,--,0,169,6.321796568047338
egrr,z1000hpa,mae,tropics,ob,--,--,6,169,7.224875325443787
egrr,z1000hpa,mae,tropics,ob,--,--,12,169,7.106787041420119
egrr,z1000hpa,mae,tropics,ob,--,--,18,169,7.303143136094675
egrr,z1000hpa,mae,tropics,ob,--,--,24,169,7.1339213609467444
egrr,z1000hpa,mae,tropics,ob,--,--,30,169,7.3626353254437875
egrr,z1000hpa,mae,tropics,ob,--,--,36,169,7.421501597633135
egrr,z1000hpa,mae,tropics,ob,--,--,42,169,7.494899940828402
egrr,z1000hpa,mae,tropics,ob,--,--,48,169,7.527811479289942
egrr,z1000hpa,mae,tropics,ob,--,--,60,169,7.997448047337278
egrr,z1000hpa,mae,tropics,ob,--,--,72,169,8.25057124260355
egrr,z1000hpa,mae,tropics,ob,--,--,84,169,8.586248816568046
egrr,z1000hpa,mae,tropics,ob,--,--,96,169,8.926954023668639
egrr,z1000hpa,mae,tropics,ob,--,--,108,169,9.181219940828402
egrr,z1000hpa,mae,tropics,ob,--,--,120,169,9.419038284023669
egrr,z1000hpa,mae,tropics,ob,--,--,132,169,9.649798698224853
egrr,z1000hpa,mae,tropics,ob,--,--,144,169,9.904756982248522
egrr,z1000hpa,mae,shem,ob,--,--,0,169,4.917250295857988
egrr,z1000hpa,mae,shem,ob,--,--,6,169,5.863415147928994
egrr,z1000hpa,mae,shem,ob,--,--,12,169,5.804712958579882
egrr,z1000hpa,mae,shem,ob,--,--,18,169,6.505784319526628
