centre,par,sc,dom,ref,d,t,s,n,v
egrr,z1000hpa,me,nhem,ob,--,--,0,169,0.2018485638485207
egrr,z1000hpa,me,nhem,ob,--,--,6,169,0.11156304911242605
egrr,z1000hpa,me,nhem,ob,--,--,12,169,-0.07066437100591721
egrr,z1000hpa,me,nhem,ob,--,--,18,169,-0.1420487243195267
egrr,z1000hpa,me,nhem,ob,--,--,24,169,-0.26893776568047334
egrr,z1000hpa,me,nhem,ob,--,--,30,169,-0.34637242840236687
egrr,z1000hpa,me,nhem,ob,--,--,36,169,-0.27645142343195267
egrr,z1000hpa,me,nhem,ob,--,--,42,169,-0.30920783751479286
egrr,z1000hpa,me,nhem,ob,--,--,48,169,-0.3818509613017751
egrr,z1000hpa,me,nhem,ob,--,--,60,169,-0.3436931852071006
egrr,z1000hpa,me,nhem,ob,--,--,72,169,-0.45431385218934905
egrr,z1000hpa,me,nhem,ob,--,--,84,169,-0.8873708313609469
egrr,z1000hpa,me,nhem,ob,--,--,96,169,-1.5104390402366863
egrr,z1000hpa,me,nhem,ob,--,--,108,169,-2.445671837928994
egrr,z1000hpa,me,nhem,ob,--,--,120,169,-3.267215454970414
egrr,z1000hpa,me,nhem,ob,--,--,132,169,-4.011114698224852
egrr,z1000hpa,me,nhem,ob,--,--,144,169,-4.839827310650888
egrr,z1000hpa,me,tropics,ob,--,--,0,169,-0.7615111304733728
egrr,z1000hpa,me,tropics,ob,--,--,6,169,-0.21389613835502963
egrr,z1000hpa,me,tropics,ob,--,--,12,169,-1.0162301964497042
egrr,z1000hpa,me,tropics,ob,--,--,18,169,-1.0099181343195267
egrr,z1000hpa,me,tropics,ob,--,--,24,169,-1.2231187113017752
egrr,z1000hpa,me,tropics,ob,--,--,30,169,-1.1367838940828403
egrr,z1000hpa,me,tropics,ob,--,--,36,169,-1.3658521810650888
egrr,z1000hpa,me,tropics,ob,--,--,42,169,-0.8523237887573966
egrr,z1000hpa,me,tropics,ob,--,--,48,169,-1.1544822475739644
egrr,z1000hpa,me,tropics,ob,--,--,60,169,-1.3869016343195266
egrr,z1000hpa,me,tropics,ob,--,--,72,169,-1.4860137053254439
egrr,z1000hpa,me,tropics,ob,--,--,84,169,-1.931460560946746
egrr,z1000hpa,me,tropics,ob,--,--,96,169,-1.9066270662721896
egrr,z1000hpa,me,tropics,ob,--,--,108,169,-2.363677104615385
egrr,z1000hpa,me,tropics,ob,--,--,120,169,-2.5095256745562127
egrr,z1000hpa,me,tropics,ob,--,--,132,169,-2.3476948668639053
egrr,z1000hpa,me,tropics,ob,--,--,144,169,-2.4009346208343194
egrr,z1000hpa,me,shem,ob,--,--,0,169,-1.9437941905325447
egrr,z1000hpa,me,shem,ob,--,--,6,169,-0.5523928156213019
egrr,z1000hpa,me,shem,ob,--,--,12,169,-0.9960802905325443
egrr,z1000hpa,me,shem,ob,--,--,18,169,-0.7221451090532544
egrr,z1000hpa,me,shem,ob,--,--,24,169,-0.7878184550887576
egrr,z1000hpa,me,shem,ob,--,--,30,169,-0.59553905147929
egrr,z1000hpa,me,shem,ob,--,--,36,169,-1.1188335831952663
egrr,z1000hpa,me,shem,ob,--,--,42,169,-0.5811152071005916
egrr,z1000hpa,me,shem,ob,--,--,48,169,-0.8698138107692307
egrr,z1000hpa,me,shem,ob,--,--,60,169,-1.0429319953491125
egrr,z1000hpa,me,shem,ob,--,--,72,169,-1.1402712379881654
egrr,z1000hpa,me,shem,ob,--,--,84,169,-1.3647269408284022
egrr,z1000hpa,me,shem,ob,--,--,96,169,-1.7318712130177516
egrr,z1000hpa,me,shem,ob,--,--,108,169,-1.999524728994083
egrr,z1000hpa,me,shem,ob,--,--,120,169,-2.187362849704142
egrr,z1000hpa,me,shem,ob,--,--,132,169,-2.5769024562130176
egrr,z1000hpa,me,shem,ob,--,--,144,169,-3.279691578106509
egrr,z1000hpa,mae,nhem,ob,--,--,0,169,5.133166686390532
egrr,z1000hpa,mae,nhem,ob,--,--,6,169,5.517717455621302
egrr,z1000hpa,mae,nhem,ob,--,--,12,169,5.780600473372781
egrr,z1000hpa,mae,nhem,ob,--,--,18,169,6.173452781065088
egrr,z1000hpa,mae,nhem,ob,--,--,24,169,6.398773609467455
egrr,z1000hpa,mae,nhem,ob,--,--,30,169,6.876573372781064
egrr,z1000hpa,mae,nhem,ob,--,--,36,169,7.271132840236686
egrr,z1000hpa,mae,nhem,ob,--,--,42,169,7.857400236686391
egrr,z1000hpa,mae,nhem,ob,--,--,48,169,8.313631656804732
egrr,z1000hpa,mae,nhem,ob,--,--,60,169,9.482137573964497
egrr,z1000hpa,mae,nhem,ob,--,--,72,169,10.968503609467456
egrr,z1000hpa,mae,nhem,ob,--,--,84,169,12.77366899408284
egrr,z1000hpa,mae,nhem,ob,--,--,96,169,14.947533136094675
egrr,z1000hpa,mae,nhem,ob,--,--,108,169,17.60041656804734
egrr,z1000hpa,mae,nhem,ob,--,--,120,169,20.390551479289943
egrr,z1000hpa,mae,nhem,ob,--,--,132,169,23.533992307692305
egrr,z1000hpa,mae,nhem,ob,--,--,144,169,26.842744378698228
egrr,z1000hpa,mae,tropics,ob,--,--,0,169,6.2758573964497035
egrr,z1000hpa,mae,tropics,ob,--,--,6,169,7.251565857988165
egrr,z1000hpa,mae,tropics,ob,--,--,12,169,7.022324970414201
egrr,z1000hpa,mae,tropics,ob,--,--,18,169,7.176674852071006
egrr,z1000hpa,mae,tropics,ob,--,--,24,169,6.985034201183432
egrr,z1000hpa,mae,tropics,ob,--,--,30,169,7.255501893491124
egrr,z1000hpa,mae,tropics,ob,--,--,36,169,7.339755029585799
egrr,z1000hpa,mae,tropics,ob,--,--,42,169,7.433911420118342
egrr,z1000hpa,mae,tropics,ob,--,--,48,169,7.483492781065087
egrr,z1000hpa,mae,tropics,ob,--,--,60,169,7.9545614201183446
egrr,z1000hpa,mae,tropics,ob,--,--,72,169,8.18515644970414
egrr,z1000hpa,mae,tropics,ob,--,--,84,169,8.502519289940828
egrr,z1000hpa,mae,tropics,ob,--,--,96,169,8.816410710059172
egrr,z1000hpa,mae,tropics,ob,--,--,108,169,9.04181124260355
egrr,z1000hpa,mae,tropics,ob,--,--,120,169,9.259787100591716
egrr,z1000hpa,mae,tropics,ob,--,--,132,169,9.542414378698226
egrr,z1000hpa,mae,tropics,ob,--,--,144,169,9.753741183431952
