centre,par,sc,dom,ref,d,t,s,n,v
egrr,z1000hpa,me,nhem,ob,--,--,0,169,0.12749732928994084
egrr,z1000hpa,me,nhem,ob,--,--,6,169,0.0159249195857988
egrr,z1000hpa,me,nhem,ob,--,--,12,169,-0.13030121236686384
egrr,z1000hpa,me,nhem,ob,--,--,18,169,-0.17138277159763315
egrr,z1000hpa,me,nhem,ob,--,--,24,169,-0.3175513240236687
egrr,z1000hpa,me,nhem,ob,--,--,30,169,-0.4139502153846153
egrr,z1000hpa,me,nhem,ob,--,--,36,169,-0.320723100591716
egrr,z1000hpa,me,nhem,ob,--,--,42,169,-0.3863644171597634
egrr,z1000hpa,me,nhem,ob,--,--,48,169,-0.4119724023668638
egrr,z1000hpa,me,nhem,ob,--,--,60,169,-0.34459551609467454
egrr,z1000hpa,me,nhem,ob,--,--,72,169,-0.430764068224852
egrr,z1000hpa,me,nhem,ob,--,--,84,169,-0.7737664426035503
egrr,z1000hpa,me,nhem,ob,--,--,96,169,-1.3743374461538462
egrr,z1000hpa,me,nhem,ob,--,--,108,169,-2.272204344970414
egrr,z1000hpa,me,nhem,ob,--,--,120,169,-3.1228111857988163
egrr,z1000hpa,me,nhem,ob,--,--,132,169,-3.909342773372781
egrr,z1000hpa,me,nhem,ob,--,--,144,169,-4.78191939112426
egrr,z1000hpa,me,tropics,ob,--,--,0,169,-1.331468599408284
egrr,z1000hpa,me,tropics,ob,--,--,6,169,-0.5104684460946746
egrr,z1000hpa,me,tropics,ob,--,--,12,169,-1.2221898182248518
egrr,z1000hpa,me,tropics,ob,--,--,18,169,-1.3122174822485209
egrr,z1000hpa,me,tropics,ob,--,--,24,169,-1.3838693911242603
egrr,z1000hpa,me,tropics,ob,--,--,30,169,-1.341962677218935
egrr,z1000hpa,me,tropics,ob,--,--,36,169,-1.543646435680473
egrr,z1000hpa,me,tropics,ob,--,--,42,169,-1.1527814245562131
egrr,z1000hpa,me,tropics,ob,--,--,48,169,-1.4094352362721896
egrr,z1000hpa,me,tropics,ob,--,--,60,169,-1.6212625100591715
egrr,z1000hpa,me,tropics,ob,--,--,72,169,-1.7739297456343197
egrr,z1000hpa,me,tropics,ob,--,--,84,169,-2.250521556804734
egrr,z1000hpa,me,tropics,ob,--,--,96,169,-2.200914735502959
egrr,z1000hpa,me,tropics,ob,--,--,108,169,-2.784337627218935
egrr,z1000hpa,me,tropics,ob,--,--,120,169,-2.9544734781065087
egrr,z1000hpa,me,tropics,ob,--,--,132,169,-2.8399747704142015
egrr,z1000hpa,me,tropics,ob,--,--,144,169,-2.916398778698225
egrr,z1000hpa,me,shem,ob,--,--,0,169,-2.114256880473373
egrr,z1000hpa,me,shem,ob,--,--,6,169,-0.7065876970414202
egrr,z1000hpa,me,shem,ob,--,--,12,169,-1.1960894941834317
egrr,z1000hpa,me,shem,ob,--,--,18,169,-1.0421281195266272
egrr,z1000hpa,me,shem,ob,--,--,24,169,-1.1073657396449705
egrr,z1000hpa,me,shem,ob,--,--,30,169,-0.9277315290532544
egrr,z1000hpa,me,shem,ob,--,--,36,169,-1.3709877656804734
egrr,z1000hpa,me,shem,ob,--,--,42,169,-0.8982707242603548
egrr,z1000hpa,me,shem,ob,--,--,48,169,-1.0308644384615384
egrr,z1000hpa,me,shem,ob,--,--,60,169,-1.1777734591715976
egrr,z1000hpa,me,shem,ob,--,--,72,169,-1.3086776881656808
egrr,z1000hpa,me,shem,ob,--,--,84,169,-1.539038803609467
egrr,z1000hpa,me,shem,ob,--,--,96,169,-1.9094758508875742
egrr,z1000hpa,me,shem,ob,--,--,108,169,-2.1372720627218933
egrr,z1000hpa,me,shem,ob,--,--,120,169,-2.306997628639053
egrr,z1000hpa,me,shem,ob,--,--,132,169,-2.6421631680473374
egrr,z1000hpa,me,shem,ob,--,--,144,169,-3.37387474260355
egrr,z1000hpa,mae,nhem,ob,--,--,0,169,5.133951183431952
egrr,z1000hpa,mae,nhem,ob,--,--,6,169,5.511094378698225
egrr,z1000hpa,mae,nhem,ob,--,--,12,169,5.77568349112426
egrr,z1000hpa,mae,nhem,ob,--,--,18,169,6.14976698224852
egrr,z1000hpa,mae,nhem,ob,--,--,24,169,6.388997159763313
egrr,z1000hpa,mae,nhem,ob,--,--,30,169,6.856812307692307
egrr,z1000hpa,mae,nhem,ob,--,--,36,169,7.265198579881656
egrr,z1000hpa,mae,nhem,ob,--,--,42,169,7.827798757396449
egrr,z1000hpa,mae,nhem,ob,--,--,48,169,8.306689822485206
egrr,z1000hpa,mae,nhem,ob,--,--,60,169,9.482296686390532
egrr,z1000hpa,mae,nhem,ob,--,--,72,169,10.971424437869825
egrr,z1000hpa,mae,nhem,ob,--,--,84,169,12.706314378698226
egrr,z1000hpa,mae,nhem,ob,--,--,96,169,14.886491124260354
egrr,z1000hpa,mae,nhem,ob,--,--,108,169,17.560011834319525
egrr,z1000hpa,mae,nhem,ob,--,--,120,169,20.39167869822485
egrr,z1000hpa,mae,nhem,ob,--,--,132,169,23.572062130177514
egrr,z1000hpa,mae,nhem,ob,--,--,144,169,26.90898047337278
egrr,z1000hpa,mae,tropics,ob,--,--,0,169,6.270722544378699
egrr,z1000hpa,mae,tropics,ob,--,--,6,169,7.2348736094674555
egrr,z1000hpa,mae,tropics,ob,--,--,12,169,7.056484792899407
egrr,z1000hpa,mae,tropics,ob,--,--,18,169,7.219641834319527
egrr,z1000hpa,mae,tropics,ob,--,--,24,169,7.066887928994082
egrr,z1000hpa,mae,tropics,ob,--,--,30,169,7.246241538461539
egrr,z1000hpa,mae,tropics,ob,--,--,36,169,7.367610532544378
egrr,z1000hpa,mae,tropics,ob,--,--,42,169,7.443280355029587
egrr,z1000hpa,mae,tropics,ob,--,--,48,169,7.504166804733727
egrr,z1000hpa,mae,tropics,ob,--,--,60,169,7.992278047337278
egrr,z1000hpa,mae,tropics,ob,--,--,72,169,8.259014142011834
egrr,z1000hpa,mae,tropics,ob,--,--,84,169,8.620696627218935
egrr,z1000hpa,mae,tropics,ob,--,--,96,169,8.960643964497041
egrr,z1000hpa,mae,tropics,ob,--,--,108,169,9.215020946745561
egrr,z1000hpa,mae,tropics,ob,--,--,120,169,9.391750414201184
egrr,z1000hpa,mae,tropics,ob,--,--,132,169,9.675041124260353
egrr,z1000hpa,mae,tropics,ob,--,--,144,169,9.911807633136092
egrr,z1000hpa,mae,shem,ob,--,--,0,169,4.895342721893492
egrr,z1000hpa,mae,shem,ob,--,--,6,169,5.8398642603550295
egrr,z1000hpa,mae,shem,ob,--,--,12,169,5.7779199408284025
egrr,z1000hpa,mae,shem,ob,--,--,18,169,6.415051301775147
egrr,z1000hpa,mae,shem,ob,--,--,24,169,6.586816449704142
egrr,z1000hpa,mae,shem,ob,--,--,30,169,7.201142426035503
egrr,z1000hpa,mae,shem,ob,--,--,36,169,7.411887159763313
egrr,z1000hpa,mae,shem,ob,--,--,42,169,7.889467455621301
egrr,z1000hpa,mae,shem,ob,--,--,48,169,8.18713680473373
egrr,z1000hpa,mae,shem,ob,--,--,60,169,9.066241597633136
egrr,z1000hpa,mae,shem,ob,--,--,72,169,10.18302473372781
egrr,z1000hpa,mae,shem,ob,--,--,84,169,11.476561301775149
egrr,z1000hpa,mae,shem,ob,--,--,96,169,13.012577396449704
egrr,z1000hpa,mae,shem,ob,--,--,108,169,14.674392130177516
egrr,z1000hpa,mae,shem,ob,--,--,120,169,16.262698165680472
egrr,z1000hpa,mae,shem,ob,--,--,132,169,18.44713775147929
egrr,z1000hpa,mae,shem,ob,--,--,144,169,20.65792893491124
egrr,z1000hpa,rmse,nhem,ob,--,--,0,169,7.8481166332603065
egrr,z1000hpa,rmse,nhem,ob,--,--,6,169,8.258264169665939
egrr,z1000hpa,rmse,nhem,ob,--,--,12,169,8.545062100826414
egrr,z1000hpa,rmse,nhem,ob,--,--,18,169,8.912465449341154
egrr,z1000hpa,rmse,nhem,ob,--,--,24,169,9.214998924076768
egrr,z1000hpa,rmse,nhem,ob,--,--,30,169,9.718634616070922
egrr,z1000hpa,rmse,nhem,ob,--,--,36,169,10.168773212949372
egrr,z1000hpa,rmse,nhem,ob,--,--,42,169,10.80084383606007
egrr,z1000hpa,rmse,nhem,ob,--,--,48,169,11.38363784918565
egrr,z1000hpa,rmse,nhem,ob,--,--,60,169,12.90179180260283
egrr,z1000hpa,rmse,nhem,ob,--,--,72,169,14.86037615655726
egrr,z1000hpa,rmse,nhem,ob,--,--,84,169,17.284655648104938
egrr,z1000hpa,rmse,nhem,ob,--,--,96,169,20.445424086996393
egrr,z1000hpa,rmse,nhem,ob,--,--,108,169,24.297669470147493
egrr,z1000hpa,rmse,nhem,ob,--,--,120,169,28.377497899985144
egrr,z1000hpa,rmse,nhem,ob,--,--,132,169,32.712128539942405
egrr,z1000hpa,rmse,nhem,ob,--,--,144,169,37.35463789191468
egrr,z1000hpa,rmse,tropics,ob,--,--,0,169,8.88950813837037
egrr,z1000hpa,rmse,tropics,ob,--,--,6,169,9.773179087804479
egrr,z1000hpa,rmse,tropics,ob,--,--,12,169,9.709491925307269
egrr,z1000hpa,rmse,tropics,ob,--,--,18,169,9.894842010968926
egrr,z1000hpa,rmse,tropics,ob,--,--,24,169,9.73141005013015
egrr,z1000hpa,rmse,tropics,ob,--,--,30,169,9.915106379123374
egrr,z1000hpa,rmse,tropics,ob,--,--,36,169,10.044165620396518
egrr,z1000hpa,rmse,tropics,ob,--,--,42,169,10.126740636422895
egrr,z1000hpa,rmse,tropics,ob,--,--,48,169,10.189349921961796
egrr,z1000hpa,rmse,tropics,ob,--,--,60,169,10.738314967481235
egrr,z1000hpa,rmse,tropics,ob,--,--,72,169,11.066156092890296
egrr,z1000hpa,rmse,tropics,ob,--,--,84,169,11.504732270986704
egrr,z1000hpa,rmse,tropics,ob,--,--,96,169,11.882583401104403
egrr,z1000hpa,rmse,tropics,ob,--,--,108,169,12.218255828770898
egrr,z1000hpa,rmse,tropics,ob,--,--,120,169,12.473456983577565
egrr,z1000hpa,rmse,tropics,ob,--,--,132,169,12.795180450565764
egrr,z1000hpa,rmse,tropics,ob,--,--,144,169,13.049677142175094
egrr,z1000hpa,rmse,shem,ob,--,--,0,169,7.312323936506267
egrr,z1000hpa,rmse,shem,ob,--,--,6,169,8.153409349339423
egrr,z1000hpa,rmse,shem,ob,--,--,12,169,8.128219023272624
egrr,z1000hpa,rmse,shem,ob,--,--,18,169,8.897836450451054
egrr,z1000hpa,rmse,shem,ob,--,--,24,169,9.095198047617018
egrr,z1000hpa,rmse,shem,ob,--,--,30,169,9.81843061568871
egrr,z1000hpa,rmse,shem,ob,--,--,36,169,10.053610100518668
egrr,z1000hpa,rmse,shem,ob,--,--,42,169,10.593529300683366
egrr,z1000hpa,rmse,shem,ob,--,--,48,169,10.920788593361657
egrr,z1000hpa,rmse,shem,ob,--,--,60,169,11.988361767682035
egrr,z1000hpa,rmse,shem,ob,--,--,72,169,13.321469589948899
egrr,z1000hpa,rmse,shem,ob,--,--,84,169,15.113122652855612
egrr,z1000hpa,rmse,shem,ob,--,--,96,169,17.042118320452026
egrr,z1000hpa,rmse,shem,ob,--,--,108,169,19.13209398616268
egrr,z1000hpa,rmse,shem,ob,--,--,120,169,21.34606162100401
egrr,z1000hpa,rmse,shem,ob,--,--,132,169,24.250087996562367
egrr,z1000hpa,rmse,shem,ob,--,--,144,169,27.188087005246448
egrr,z1000hpa,sd,nhem,ob,--,--,0,169,7.795501535589957
egrr,z1000hpa,sd,nhem,ob,--,--,6,169,8.217351378236526
egrr,z1000hpa,sd,nhem,ob,--,--,12,169,8.490809900116904
egrr,z1000hpa,sd,nhem,ob,--,--,18,169,8.856102436462466
egrr,z1000hpa,sd,nhem,ob,--,--,24,169,9.154785588477694
egrr,z1000hpa,sd,nhem,ob,--,--,30,169,9.646923936761782
egrr,z1000hpa,sd,nhem,ob,--,--,36,169,10.089054787807454
egrr,z1000hpa,sd,nhem,ob,--,--,42,169,10.707834108393357
egrr,z1000hpa,sd,nhem,ob,--,--,48,169,11.28256158656739
egrr,z1000hpa,sd,nhem,ob,--,--,60,169,12.765756896953876
egrr,z1000hpa,sd,nhem,ob,--,--,72,169,14.681029025911473
egrr,z1000hpa,sd,nhem,ob,--,--,84,169,17.03671064367363
egrr,z1000hpa,sd,nhem,ob,--,--,96,169,20.10699992580315
egrr,z1000hpa,sd,nhem,ob,--,--,108,169,23.82715447575879
egrr,z1000hpa,sd,nhem,ob,--,--,120,169,27.75726624674282
egrr,z1000hpa,sd,nhem,ob,--,--,132,169,31.917890820026862
egrr,z1000hpa,sd,nhem,ob,--,--,144,169,36.38229237160693
egrr,z1000hpa,sd,tropics,ob,--,--,0,169,8.754833299058184
egrr,z1000hpa,sd,tropics,ob,--,--,6,169,9.64199329852642
egrr,z1000hpa,sd,tropics,ob,--,--,12,169,9.473198729668864
egrr,z1000hpa,sd,tropics,ob,--,--,18,169,9.697327286440188
egrr,z1000hpa,sd,tropics,ob,--,--,24,169,9.5691079606889
egrr,z1000hpa,sd,tropics,ob,--,--,30,169,9.712222481855735
egrr,z1000hpa,sd,tropics,ob,--,--,36,169,9.79586898748398
egrr,z1000hpa,sd,tropics,ob,--,--,42,169,9.97171487153066
egrr,z1000hpa,sd,tropics,ob,--,--,48,169,10.010407728157771
egrr,z1000hpa,sd,tropics,ob,--,--,60,169,10.490127590832325
egrr,z1000hpa,sd,tropics,ob,--,--,72,169,10.822234950924178
egrr,z1000hpa,sd,tropics,ob,--,--,84,169,11.148489920489103
egrr,z1000hpa,sd,tropics,ob,--,--,96,169,11.538161160195784
egrr,z1000hpa,sd,tropics,ob,--,--,108,169,11.719578644601306
egrr,z1000hpa,sd,tropics,ob,--,--,120,169,11.930614086599341
egrr,z1000hpa,sd,tropics,ob,--,--,132,169,12.261530510251044
egrr,z1000hpa,sd,tropics,ob,--,--,144,169,12.471998894573774
egrr,z1000hpa,sd,shem,ob,--,--,0,169,6.926179107024698
egrr,z1000hpa,sd,shem,ob,--,--,6,169,7.981716781627969
egrr,z1000hpa,sd,shem,ob,--,--,12,169,7.875283975483942
egrr,z1000hpa,sd,shem,ob,--,--,18,169,8.638080227169725
egrr,z1000hpa,sd,shem,ob,--,--,24,169,8.796283303937292
egrr,z1000hpa,sd,shem,ob,--,--,30,169,9.494563901640696
egrr,z1000hpa,sd,shem,ob,--,--,36,169,9.624480774363095
egrr,z1000hpa,sd,shem,ob,--,--,42,169,10.246726141370402
egrr,z1000hpa,sd,shem,ob,--,--,48,169,10.546746554431516
egrr,z1000hpa,sd,shem,ob,--,--,60,169,11.522742603127547
egrr,z1000hpa,sd,shem,ob,--,--,72,169,12.772110355453686
egrr,z1000hpa,sd,shem,ob,--,--,84,169,14.436590418799458
egrr,z1000hpa,sd,shem,ob,--,--,96,169,16.21568944728687
egrr,z1000hpa,sd,shem,ob,--,--,108,169,18.18227446465922
egrr,z1000hpa,sd,shem,ob,--,--,120,169,20.44454219693081
egrr,z1000hpa,sd,shem,ob,--,--,132,169,23.140934359826318
egrr,z1000hpa,sd,shem,ob,--,--,144,169,25.875460049605476
egrr,z925hpa,me,nhem,ob,--,--,0,169,0.2269190289349112
egrr,z925hpa,me,nhem,ob,--,--,6,169,0.20094319254437865
egrr,z925hpa,me,nhem,ob,--,--,12,169,0.14947502011834324
egrr,z925hpa,me,nhem,ob,--,--,18,169,0.22591573881656807
egrr,z925hpa,me,nhem,ob,--,--,24,169,0.11062856372781062
egrr,z925hpa,me,nhem,ob,--,--,30,169,0.14698433846153847
egrr,z925hpa,me,nhem,ob,--,--,36,169,0.26547006449704147
egrr,z925hpa,me,nhem,ob,--,--,42,169,0.3001955671005917
egrr,z925hpa,me,nhem,ob,--,--,48,169,0.31812508284023666
egrr,z925hpa,me,nhem,ob,--,--,60,169,0.5917651544378698
egrr,z925hpa,me,nhem,ob,--,--,72,169,0.8796356511242601
egrr,z925hpa,me,nhem,ob,--,--,84,169,1.1504267226035503
egrr,z925hpa,me,nhem,ob,--,--,96,169,1.2227891185798816
egrr,z925hpa,me,nhem,ob,--,--,108,169,1.1319253360946746
egrr,z925hpa,me,nhem,ob,--,--,120,169,1.1539918124260355
egrr,z925hpa,me,nhem,ob,--,--,132,169,1.3058965283431951
egrr,z925hpa,me,nhem,ob,--,--,144,169,1.4472432711029588
egrr,z925hpa,me,tropics,ob,--,--,0,169,-2.0734020650887572
egrr,z925hpa,me,tropics,ob,--,--,6,169,-1.2343815668639053
egrr,z925hpa,me,tropics,ob,--,--,12,169,-1.81506969408284
egrr,z925hpa,me,tropics,ob,--,--,18,169,-1.7823951462721894
egrr,z925hpa,me,tropics,ob,--,--,24,169,-1.854009250887574
egrr,z925hpa,me,tropics,ob,--,--,30,169,-1.7747383775147931
egrr,z925hpa,me,tropics,ob,--,--,36,169,-2.1061727337278104
egrr,z925hpa,me,tropics,ob,--,--,42,169,-1.7021127728402365
egrr,z925hpa,me,tropics,ob,--,--,48,169,-2.0251300402366867
egrr,z925hpa,me,tropics,ob,--,--,60,169,-2.3312989402366866
egrr,z925hpa,me,tropics,ob,--,--,72,169,-2.591756070414201
egrr,z925hpa,me,tropics,ob,--,--,84,169,-3.053437631183432
egrr,z925hpa,me,tropics,ob,--,--,96,169,-3.1099661331360946
egrr,z925hpa,me,tropics,ob,--,--,108,169,-3.654865967100592
egrr,z925hpa,me,tropics,ob,--,--,120,169,-3.8418986786982243
egrr,z925hpa,me,tropics,ob,--,--,132,169,-3.7287168343195267
egrr,z925hpa,me,tropics,ob,--,--,144,169,-3.7338051124260354
egrr,z925hpa,me,shem,ob,--,--,0,169,-0.29269681242603546
egrr,z925hpa,me,shem,ob,--,--,6,169,0.6383463668639053
egrr,z925hpa,me,shem,ob,--,--,12,169,0.28368328656804737
egrr,z925hpa,me,shem,ob,--,--,18,169,0.4118190950295858
egrr,z925hpa,me,shem,ob,--,--,24,169,0.5850026573964497
egrr,z925hpa,me,shem,ob,--,--,30,169,0.6521222942011834
egrr,z925hpa,me,shem,ob,--,--,36,169,0.3648692
egrr,z925hpa,me,shem,ob,--,--,42,169,0.8018763259763314
egrr,z925hpa,me,shem,ob,--,--,48,169,0.7443483254437869
egrr,z925hpa,me,shem,ob,--,--,60,169,0.6187455223668638
egrr,z925hpa,me,shem,ob,--,--,72,169,0.5423430688757396
egrr,z925hpa,me,shem,ob,--,--,84,169,0.5085742880473372
