centre,par,sc,dom,ref,d,t,s,n,v
egrr,z1000hpa,me,nhem,ob,--,--,0,169,-0.017483460355029595
egrr,z1000hpa,me,nhem,ob,--,--,6,169,-0.04190304810650889
egrr,z1000hpa,me,nhem,ob,--,--,12,169,-0.21977200165680472
egrr,z1000hpa,me,nhem,ob,--,--,18,169,-0.24732746627218938
egrr,z1000hpa,me,nhem,ob,--,--,24,169,-0.3850332437869822
egrr,z1000hpa,me,nhem,ob,--,--,30,169,-0.4046864943195267
egrr,z1000hpa,me,nhem,ob,--,--,36,169,-0.36678119005917165
egrr,z1000hpa,me,nhem,ob,--,--,42,169,-0.3499420940828402
egrr,z1000hpa,me,nhem,ob,--,--,48,169,-0.43862842686390535
egrr,z1000hpa,me,nhem,ob,--,--,60,169,-0.37127647041420114
egrr,z1000hpa,me,nhem,ob,--,--,72,169,-0.4664382520710059
egrr,z1000hpa,me,nhem,ob,--,--,84,169,-0.7700951538461537
egrr,z1000hpa,me,nhem,ob,--,--,96,169,-1.2409303928994084
egrr,z1000hpa,me,nhem,ob,--,--,108,169,-2.001609539704142
egrr,z1000hpa,me,nhem,ob,--,--,120,169,-2.763793328994083
egrr,z1000hpa,me,nhem,ob,--,--,132,169,-3.65740524556213
egrr,z1000hpa,me,nhem,ob,--,--,144,169,-4.520511443786982
egrr,z1000hpa,me,tropics,ob,--,--,0,169,-0.7732747129585799
egrr,z1000hpa,me,tropics,ob,--,--,6,169,-0.03646957159763312
egrr,z1000hpa,me,tropics,ob,--,--,12,169,-1.0094526899408285
egrr,z1000hpa,me,tropics,ob,--,--,18,169,-1.0229999582248521
egrr,z1000hpa,me,tropics,ob,--,--,24,169,-1.3397918958579882
egrr,z1000hpa,me,tropics,ob,--,--,30,169,-1.174207824556213
egrr,z1000hpa,me,tropics,ob,--,--,36,169,-1.5218130621301773
egrr,z1000hpa,me,tropics,ob,--,--,42,169,-0.9405004698224851
egrr,z1000hpa,me,tropics,ob,--,--,48,169,-1.3097139867337277
egrr,z1000hpa,me,tropics,ob,--,--,60,169,-1.5078889363313608
egrr,z1000hpa,me,tropics,ob,--,--,72,169,-1.599839807692308
egrr,z1000hpa,me,tropics,ob,--,--,84,169,-2.009303673964497
egrr,z1000hpa,me,tropics,ob,--,--,96,169,-1.9561240307692311
egrr,z1000hpa,me,tropics,ob,--,--,108,169,-2.446495177155621
egrr,z1000hpa,me,tropics,ob,--,--,120,169,-2.6496784869822485
egrr,z1000hpa,me,tropics,ob,--,--,132,169,-2.554396607100592
egrr,z1000hpa,me,tropics,ob,--,--,144,169,-2.63142880556213
egrr,z1000hpa,me,shem,ob,--,--,0,169,-2.029639297633136
egrr,z1000hpa,me,shem,ob,--,--,6,169,-0.6041601674556213
egrr,z1000hpa,me,shem,ob,--,--,12,169,-1.102084106508876
egrr,z1000hpa,me,shem,ob,--,--,18,169,-0.7264462301775148
egrr,z1000hpa,me,shem,ob,--,--,24,169,-0.9130397165680473
egrr,z1000hpa,me,shem,ob,--,--,30,169,-0.6548992094674555
