centre,par,sc,dom,ref,d,t,s,n,v
egrr,z1000hpa,me,nhem,ob,--,--,0,337,0.23467026851632034
egrr,z1000hpa,me,nhem,ob,--,--,6,337,0.12100456415430269
egrr,z1000hpa,me,nhem,ob,--,--,12,337,0.043810786646884294
egrr,z1000hpa,me,nhem,ob,--,--,18,337,0.07051514548961428
egrr,z1000hpa,me,nhem,ob,--,--,24,337,0.055919892878338096
egrr,z1000hpa,me,nhem,ob,--,--,30,337,0.04485586596439159
egrr,z1000hpa,me,nhem,ob,--,--,36,337,0.010728977744807223
egrr,z1000hpa,me,nhem,ob,--,--,42,337,-0.001598596261127776
egrr,z1000hpa,me,nhem,ob,--,--,48,337,-0.12216148278931772
egrr,z1000hpa,me,nhem,ob,--,--,54,168,0.49548591190476204
egrr,z1000hpa,me,nhem,ob,--,--,60,169,-0.37379248461538467
egrr,z1000hpa,me,nhem,ob,--,--,72,169,-0.4944017292899409
egrr,z1000hpa,me,nhem,ob,--,--,84,169,-0.8122928810650887
egrr,z1000hpa,me,nhem,ob,--,--,96,169,-1.2031527583431951
egrr,z1000hpa,me,nhem,ob,--,--,108,169,-1.8906744118343197
egrr,z1000hpa,me,nhem,ob,--,--,120,169,-2.77554639295858
egrr,z1000hpa,me,nhem,ob,--,--,132,169,-3.7437754638461542
egrr,z1000hpa,me,nhem,ob,--,--,144,169,-4.515896266272189
egrr,z1000hpa,me,tropics,ob,--,--,0,287,2.7069765105574914
egrr,z1000hpa,me,tropics,ob,--,--,6,287,3.4646713132404185
egrr,z1000hpa,me,tropics,ob,--,--,12,287,2.790143703832752
egrr,z1000hpa,me,tropics,ob,--,--,18,287,2.9140256661219506
egrr,z1000hpa,me,tropics,ob,--,--,24,287,2.8089806783972127
egrr,z1000hpa,me,tropics,ob,--,--,30,287,2.9229236313588847
egrr,z1000hpa,me,tropics,ob,--,--,36,287,2.5365335481184665
egrr,z1000hpa,me,tropics,ob,--,--,42,287,2.696458598954704
egrr,z1000hpa,me,tropics,ob,--,--,48,287,2.7724385923344945
egrr,z1000hpa,me,tropics,ob,--,--,54,118,8.245448219491523
egrr,z1000hpa,me,tropics,ob,--,--,60,169,-1.4702991656804736
egrr,z1000hpa,me,tropics,ob,--,--,72,169,-1.563601449112426
egrr,z1000hpa,me,tropics,ob,--,--,84,169,-1.9950955804733725
egrr,z1000hpa,me,tropics,ob,--,--,96,169,-1.973244482366864
egrr,z1000hpa,me,tropics,ob,--,--,108,169,-2.4485866730769232
egrr,z1000hpa,me,tropics,ob,--,--,120,169,-2.665254863313609
egrr,z1000hpa,me,tropics,ob,--,--,132,169,-2.561423893491124
egrr,z1000hpa,me,tropics,ob,--,--,144,169,-2.5959111136094677
egrr,z1000hpa,me,shem,ob,--,--,0,206,-0.859519433106796
egrr,z1000hpa,me,shem,ob,--,--,6,206,0.7671668868932041
egrr,z1000hpa,me,shem,ob,--,--,12,206,0.29970074708737876
egrr,z1000hpa,me,shem,ob,--,--,18,206,0.688780025116505
egrr,z1000hpa,me,shem,ob,--,--,24,206,0.6878110708252425
egrr,z1000hpa,me,shem,ob,--,--,30,206,1.1124831160194175
egrr,z1000hpa,me,shem,ob,--,--,36,206,0.5624919092233007
egrr,z1000hpa,me,shem,ob,--,--,42,206,1.0778523764077672
egrr,z1000hpa,me,shem,ob,--,--,48,206,0.9368953010679609
egrr,z1000hpa,me,shem,ob,--,--,54,37,10.074834000000001
egrr,z1000hpa,me,shem,ob,--,--,60,169,-1.0246669710059173
egrr,z1000hpa,me,shem,ob,--,--,72,169,-1.1300294749112425
egrr,z1000hpa,me,shem,ob,--,--,84,169,-1.1968783325443786
egrr,z1000hpa,me,shem,ob,--,--,96,169,-1.2663000710059171
egrr,z1000hpa,me,shem,ob,--,--,108,169,-1.533371234319527
egrr,z1000hpa,me,shem,ob,--,--,120,169,-1.6904313585798816
egrr,z1000hpa,me,shem,ob,--,--,132,169,-2.303598347710059
egrr,z1000hpa,me,shem,ob,--,--,144,169,-3.192036156213017
egrr,z1000hpa,mae,nhem,ob,--,--,0,337,5.508760415430267
egrr,z1000hpa,mae,nhem,ob,--,--,6,337,5.896348635014837
egrr,z1000hpa,mae,nhem,ob,--,--,12,337,6.189243270029674
egrr,z1000hpa,mae,nhem,ob,--,--,18,337,6.581251008902077
egrr,z1000hpa,mae,nhem,ob,--,--,24,337,6.90140734421365
egrr,z1000hpa,mae,nhem,ob,--,--,30,337,7.395436112759644
egrr,z1000hpa,mae,nhem,ob,--,--,36,337,7.7916447181008905
egrr,z1000hpa,mae,nhem,ob,--,--,42,337,8.226640522255193
egrr,z1000hpa,mae,nhem,ob,--,--,48,337,8.747409940652819
egrr,z1000hpa,mae,nhem,ob,--,--,54,168,9.484520535714285
egrr,z1000hpa,mae,nhem,ob,--,--,60,169,9.366757633136094
egrr,z1000hpa,mae,nhem,ob,--,--,72,169,10.826422603550297
egrr,z1000hpa,mae,nhem,ob,--,--,84,169,12.587249585798816
egrr,z1000hpa,mae,nhem,ob,--,--,96,169,14.744494674556211
egrr,z1000hpa,mae,nhem,ob,--,--,108,169,17.33915680473373
egrr,z1000hpa,mae,nhem,ob,--,--,120,169,20.138298816568046
egrr,z1000hpa,mae,nhem,ob,--,--,132,169,23.348665088757397
egrr,z1000hpa,mae,nhem,ob,--,--,144,169,26.710434319526627
egrr,z1000hpa,mae,tropics,ob,--,--,0,287,9.421192965156795
egrr,z1000hpa,mae,tropics,ob,--,--,6,287,10.498834181184668
egrr,z1000hpa,mae,tropics,ob,--,--,12,287,10.281581672473868
egrr,z1000hpa,mae,tropics,ob,--,--,18,287,10.982697770034843
egrr,z1000hpa,mae,tropics,ob,--,--,24,287,10.735818118466899
egrr,z1000hpa,mae,tropics,ob,--,--,30,287,11.424534285714286
egrr,z1000hpa,mae,tropics,ob,--,--,36,287,11.484145958188153
egrr,z1000hpa,mae,tropics,ob,--,--,42,287,11.494883658536585
egrr,z1000hpa,mae,tropics,ob,--,--,48,287,11.950440243902438
egrr,z1000hpa,mae,tropics,ob,--,--,54,118,18.396768644067794
egrr,z1000hpa,mae,tropics,ob,--,--,60,169,7.8917868047337265
egrr,z1000hpa,mae,tropics,ob,--,--,72,169,8.211526449704143
egrr,z1000hpa,mae,tropics,ob,--,--,84,169,8.502400118343195
egrr,z1000hpa,mae,tropics,ob,--,--,96,169,8.858616035502958
egrr,z1000hpa,mae,tropics,ob,--,--,108,169,9.138166153846155
egrr,z1000hpa,mae,tropics,ob,--,--,120,169,9.296693136094673
egrr,z1000hpa,mae,tropics,ob,--,--,132,169,9.611389822485206
egrr,z1000hpa,mae,tropics,ob,--,--,144,169,9.879310414201182
egrr,z1000hpa,mae,shem,ob,--,--,0,206,4.89116906407767
egrr,z1000hpa,mae,shem,ob,--,--,6,206,6.025144731067962
egrr,z1000hpa,mae,shem,ob,--,--,12,206,5.927453791262136
egrr,z1000hpa,mae,shem,ob,--,--,18,206,6.56891404368932
egrr,z1000hpa,mae,shem,ob,--,--,24,206,6.795135203883496
egrr,z1000hpa,mae,shem,ob,--,--,30,206,7.602231509708737
egrr,z1000hpa,mae,shem,ob,--,--,36,206,7.667361922330097
egrr,z1000hpa,mae,shem,ob,--,--,42,206,8.296661194174758
egrr,z1000hpa,mae,shem,ob,--,--,48,206,8.428957
egrr,z1000hpa,mae,shem,ob,--,--,54,37,10.20132027027027
egrr,z1000hpa,mae,shem,ob,--,--,60,169,9.232307100591717
egrr,z1000hpa,mae,shem,ob,--,--,72,169,10.30218852071006
egrr,z1000hpa,mae,shem,ob,--,--,84,169,11.508368816568048
egrr,z1000hpa,mae,shem,ob,--,--,96,169,12.752285976331363
egrr,z1000hpa,mae,shem,ob,--,--,108,169,14.509384615384617
egrr,z1000hpa,mae,shem,ob,--,--,120,169,16.033119349112425
egrr,z1000hpa,mae,shem,ob,--,--,132,169,18.199785443786983
egrr,z1000hpa,mae,shem,ob,--,--,144,169,20.435739644970415
egrr,z1000hpa,rmse,nhem,ob,--,--,0,337,7.755231872505228
egrr,z1000hpa,rmse,nhem,ob,--,--,6,337,8.162262632792723
egrr,z1000hpa,rmse,nhem,ob,--,--,12,337,8.492584494424413
egrr,z1000hpa,rmse,nhem,ob,--,--,18,337,8.896650088150551
egrr,z1000hpa,rmse,nhem,ob,--,--,24,337,9.309829084351138
egrr,z1000hpa,rmse,nhem,ob,--,--,30,337,9.865784318094667
egrr,z1000hpa,rmse,nhem,ob,--,--,36,337,10.272987084264765
egrr,z1000hpa,rmse,nhem,ob,--,--,42,337,10.765398326396564
egrr,z1000hpa,rmse,nhem,ob,--,--,48,337,11.334820778844115
egrr,z1000hpa,rmse,nhem,ob,--,--,54,168,11.589650018077853
egrr,z1000hpa,rmse,nhem,ob,--,--,60,169,12.799724309293477
egrr,z1000hpa,rmse,nhem,ob,--,--,72,169,14.752531368456042
egrr,z1000hpa,rmse,nhem,ob,--,--,84,169,17.123517687276994
egrr,z1000hpa,rmse,nhem,ob,--,--,96,169,20.27869861174939
egrr,z1000hpa,rmse,nhem,ob,--,--,108,169,24.113037153347875
egrr,z1000hpa,rmse,nhem,ob,--,--,120,169,28.054469187930504
egrr,z1000hpa,rmse,nhem,ob,--,--,132,169,32.548728326222296
egrr,z1000hpa,rmse,nhem,ob,--,--,144,169,37.19537680650558
egrr,z1000hpa,rmse,tropics,ob,--,--,0,287,11.18220217735811
egrr,z1000hpa,rmse,tropics,ob,--,--,6,287,12.210996415213193
egrr,z1000hpa,rmse,tropics,ob,--,--,12,287,12.094569069837968
egrr,z1000hpa,rmse,tropics,ob,--,--,18,287,12.802465664347118
egrr,z1000hpa,rmse,tropics,ob,--,--,24,287,12.589047675810013
egrr,z1000hpa,rmse,tropics,ob,--,--,30,287,13.22301515812254
egrr,z1000hpa,rmse,tropics,ob,--,--,36,287,13.316053862888015
egrr,z1000hpa,rmse,tropics,ob,--,--,42,287,13.308315418358156
egrr,z1000hpa,rmse,tropics,ob,--,--,48,287,13.79134951552423
egrr,z1000hpa,rmse,tropics,ob,--,--,54,118,19.020732920017828
egrr,z1000hpa,rmse,tropics,ob,--,--,60,169,10.61322685005596
egrr,z1000hpa,rmse,tropics,ob,--,--,72,169,10.977174854676907
egrr,z1000hpa,rmse,tropics,ob,--,--,84,169,11.331784480270024
egrr,z1000hpa,rmse,tropics,ob,--,--,96,169,11.736856657156725
egrr,z1000hpa,rmse,tropics,ob,--,--,108,169,12.075651982035648
egrr,z1000hpa,rmse,tropics,ob,--,--,120,169,12.295849940074806
egrr,z1000hpa,rmse,tropics,ob,--,--,132,169,12.68032687330188
egrr,z1000hpa,rmse,tropics,ob,--,--,144,169,12.94445437929074
egrr,z1000hpa,rmse,shem,ob,--,--,0,206,6.827109866447112
egrr,z1000hpa,rmse,shem,ob,--,--,6,206,7.849396987419099
egrr,z1000hpa,rmse,shem,ob,--,--,12,206,7.800342015087106
egrr,z1000hpa,rmse,shem,ob,--,--,18,206,8.543136283770776
egrr,z1000hpa,rmse,shem,ob,--,--,24,206,8.76524347705944
egrr,z1000hpa,rmse,shem,ob,--,--,30,206,9.687356111854013
egrr,z1000hpa,rmse,shem,ob,--,--,36,206,9.730353500984
egrr,z1000hpa,rmse,shem,ob,--,--,42,206,10.433764197563313
egrr,z1000hpa,rmse,shem,ob,--,--,48,206,10.573334867538714
egrr,z1000hpa,rmse,shem,ob,--,--,54,37,10.20132065269409
egrr,z1000hpa,rmse,shem,ob,--,--,60,169,12.17514317588483
egrr,z1000hpa,rmse,shem,ob,--,--,72,169,13.420857336888316
egrr,z1000hpa,rmse,shem,ob,--,--,84,169,15.00986449364036
egrr,z1000hpa,rmse,shem,ob,--,--,96,169,16.50614041297295
egrr,z1000hpa,rmse,shem,ob,--,--,108,169,18.855768714600327
egrr,z1000hpa,rmse,shem,ob,--,--,120,169,20.788559533714732
egrr,z1000hpa,rmse,shem,ob,--,--,132,169,23.78739659598
egrr,z1000hpa,rmse,shem,ob,--,--,144,169,26.71019451549892
egrr,z1000hpa,sd,nhem,ob,--,--,0,335,7.033442080833597
egrr,z1000hpa,sd,nhem,ob,--,--,6,333,7.427685555555455
egrr,z1000hpa,sd,nhem,ob,--,--,12,336,7.605791419517673
egrr,z1000hpa,sd,nhem,ob,--,--,18,333,8.004400976308679
egrr,z1000hpa,sd,nhem,ob,--,--,24,334,8.334904603111402
egrr,z1000hpa,sd,nhem,ob,--,--,30,336,8.76429239431113
egrr,z1000hpa,sd,nhem,ob,--,--,36,334,9.118108843091687
egrr,z1000hpa,sd,nhem,ob,--,--,42,335,9.56300890025088
egrr,z1000hpa,sd,nhem,ob,--,--,48,333,10.14512121621812
egrr,z1000hpa,sd,nhem,ob,--,--,54,167,9.128921727527654
egrr,z1000hpa,sd,nhem,ob,--,--,60,169,12.65710817790434
egrr,z1000hpa,sd,nhem,ob,--,--,72,169,14.561710320371612
egrr,z1000hpa,sd,nhem,ob,--,--,84,169,16.883216201047112
egrr,z1000hpa,sd,nhem,ob,--,--,96,169,19.969924561820044
egrr,z1000hpa,sd,nhem,ob,--,--,108,169,23.68824611406903
egrr,z1000hpa,sd,nhem,ob,--,--,120,169,27.44777596381759
egrr,z1000hpa,sd,nhem,ob,--,--,132,169,31.729649703115633
egrr,z1000hpa,sd,nhem,ob,--,--,144,169,36.184472977705845
egrr,z1000hpa,sd,tropics,ob,--,--,0,267,6.8331794205555525
egrr,z1000hpa,sd,tropics,ob,--,--,6,264,7.504841632251553
egrr,z1000hpa,sd,tropics,ob,--,--,12,255,7.591625862756134
egrr,z1000hpa,sd,tropics,ob,--,--,18,259,7.7944964677714115
egrr,z1000hpa,sd,tropics,ob,--,--,24,256,7.773742265284722
egrr,z1000hpa,sd,tropics,ob,--,--,30,259,7.831429191287593
egrr,z1000hpa,sd,tropics,ob,--,--,36,253,8.109807019795854
egrr,z1000hpa,sd,tropics,ob,--,--,42,259,8.066562788750515
egrr,z1000hpa,sd,tropics,ob,--,--,48,259,8.147685871780764
egrr,z1000hpa,sd,tropics,ob,--,--,54,92,4.761838714912297
egrr,z1000hpa,sd,tropics,ob,--,--,60,169,10.387028699548654
egrr,z1000hpa,sd,tropics,ob,--,--,72,169,10.750631419879728
egrr,z1000hpa,sd,tropics,ob,--,--,84,169,11.026938511155914
egrr,z1000hpa,sd,tropics,ob,--,--,96,169,11.437002921039857
egrr,z1000hpa,sd,tropics,ob,--,--,108,169,11.659672452112146
egrr,z1000hpa,sd,tropics,ob,--,--,120,169,11.81059610263521
egrr,z1000hpa,sd,tropics,ob,--,--,132,169,12.214449470762498
egrr,z1000hpa,sd,tropics,ob,--,--,144,169,12.43768890645712
egrr,z1000hpa,sd,shem,ob,--,--,0,188,6.153348762426576
egrr,z1000hpa,sd,shem,ob,--,--,6,185,7.200794876334145
egrr,z1000hpa,sd,shem,ob,--,--,12,192,6.881952920658338
egrr,z1000hpa,sd,shem,ob,--,--,18,187,7.875609657167038
egrr,z1000hpa,sd,shem,ob,--,--,24,190,7.819802867828953
egrr,z1000hpa,sd,shem,ob,--,--,30,191,8.440989826016231
egrr,z1000hpa,sd,shem,ob,--,--,36,186,8.734138295705568
egrr,z1000hpa,sd,shem,ob,--,--,42,180,9.785155530675816
egrr,z1000hpa,sd,shem,ob,--,--,48,187,9.510139162928642
egrr,z1000hpa,sd,shem,ob,--,--,54,16,0.017422497662478276
egrr,z1000hpa,sd,shem,ob,--,--,60,169,11.721779465666442
egrr,z1000hpa,sd,shem,ob,--,--,72,169,12.879331019589003
egrr,z1000hpa,sd,shem,ob,--,--,84,169,14.324534144647906
egrr,z1000hpa,sd,shem,ob,--,--,96,169,15.71759077796725
egrr,z1000hpa,sd,shem,ob,--,--,108,169,17.9839906300487
egrr,z1000hpa,sd,shem,ob,--,--,120,169,19.869778870415004
egrr,z1000hpa,sd,shem,ob,--,--,132,169,22.721826843810423
egrr,z1000hpa,sd,shem,ob,--,--,144,169,25.485132657719443
egrr,z925hpa,me,nhem,ob,--,--,0,337,-0.39029783922848665
egrr,z925hpa,me,nhem,ob,--,--,6,337,-0.5165186426112761
egrr,z925hpa,me,nhem,ob,--,--,12,337,-0.5068380398813056
egrr,z925hpa,me,nhem,ob,--,--,18,337,-0.46043075878338285
egrr,z925hpa,me,nhem,ob,--,--,24,337,-0.617132237388724
egrr,z925hpa,me,nhem,ob,--,--,30,337,-0.4180136106231454
egrr,z925hpa,me,nhem,ob,--,--,36,337,-0.5135204689614244
egrr,z925hpa,me,nhem,ob,--,--,42,337,-0.541599560801187
egrr,z925hpa,me,nhem,ob,--,--,48,337,-0.49562768605341245
egrr,z925hpa,me,nhem,ob,--,--,54,168,-1.2230967767857142
egrr,z925hpa,me,nhem,ob,--,--,60,169,0.5305646100591717
egrr,z925hpa,me,nhem,ob,--,--,72,169,0.7687056562130178
egrr,z925hpa,me,nhem,ob,--,--,84,169,1.0256003349112426
egrr,z925hpa,me,nhem,ob,--,--,96,169,1.270371163846154
egrr,z925hpa,me,nhem,ob,--,--,108,169,1.3522151093491124
egrr,z925hpa,me,nhem,ob,--,--,120,169,1.4283187445562129
egrr,z925hpa,me,nhem,ob,--,--,132,169,1.4973541076923078
egrr,z925hpa,me,nhem,ob,--,--,144,169,1.520481838857988
egrr,z925hpa,me,tropics,ob,--,--,0,221,-3.15733550678733
egrr,z925hpa,me,tropics,ob,--,--,6,221,-2.6802671266968323
egrr,z925hpa,me,tropics,ob,--,--,12,221,-3.3768984986832584
egrr,z925hpa,me,tropics,ob,--,--,18,221,-3.4770408689592767
egrr,z925hpa,me,tropics,ob,--,--,24,221,-3.5561455533031676
egrr,z925hpa,me,tropics,ob,--,--,30,221,-3.7259522742081446
egrr,z925hpa,me,tropics,ob,--,--,36,221,-4.211314806334841
egrr,z925hpa,me,tropics,ob,--,--,42,221,-3.8901664497737554
egrr,z925hpa,me,tropics,ob,--,--,48,221,-4.344128909954751
egrr,z925hpa,me,tropics,ob,--,--,54,52,-12.311560769230768
egrr,z925hpa,me,tropics,ob,--,--,60,169,-2.120157922366864
egrr,z925hpa,me,tropics,ob,--,--,72,169,-2.3316016449112427
egrr,z925hpa,me,tropics,ob,--,--,84,169,-2.761579526627219
egrr,z925hpa,me,tropics,ob,--,--,96,169,-2.8318321301775145
egrr,z925hpa,me,tropics,ob,--,--,108,169,-3.3109659875739648
egrr,z925hpa,me,tropics,ob,--,--,120,169,-3.4892640680473375
egrr,z925hpa,me,tropics,ob,--,--,132,169,-3.381571331360947
egrr,z925hpa,me,tropics,ob,--,--,144,169,-3.3443011443786976
egrr,z925hpa,me,shem,ob,--,--,0,210,0.37892181057619057
egrr,z925hpa,me,shem,ob,--,--,6,210,1.6233424190476193
egrr,z925hpa,me,shem,ob,--,--,12,210,1.3363910442857143
egrr,z925hpa,me,shem,ob,--,--,18,210,1.7272809520619048
egrr,z925hpa,me,shem,ob,--,--,24,210,1.8642962329047619
egrr,z925hpa,me,shem,ob,--,--,30,210,2.2193532729523806
egrr,z925hpa,me,shem,ob,--,--,36,210,1.7457686910952381
egrr,z925hpa,me,shem,ob,--,--,42,210,2.3018319475904763
egrr,z925hpa,me,shem,ob,--,--,48,210,2.0992078476190477
egrr,z925hpa,me,shem,ob,--,--,54,41,7.504840514634146
egrr,z925hpa,me,shem,ob,--,--,60,169,0.7697827733727811
egrr,z925hpa,me,shem,ob,--,--,72,169,0.651439950887574
egrr,z925hpa,me,shem,ob,--,--,84,169,0.8245525615384617
egrr,z925hpa,me,shem,ob,--,--,96,169,0.8499406633136094
egrr,z925hpa,me,shem,ob,--,--,108,169,0.9687440609467455
egrr,z925hpa,me,shem,ob,--,--,120,169,1.144466550295858
egrr,z925hpa,me,shem,ob,--,--,132,169,1.218182120710059
egrr,z925hpa,me,shem,ob,--,--,144,169,0.8159475243786982
egrr,z925hpa,mae,nhem,ob,--,--,0,337,4.767662700296736
egrr,z925hpa,mae,nhem,ob,--,--,6,337,5.140235252225519
egrr,z925hpa,mae,nhem,ob,--,--,12,337,5.409281661721068
egrr,z925hpa,mae,nhem,ob,--,--,18,337,5.768470267062315
egrr,z925hpa,mae,nhem,ob,--,--,24,337,6.0582293768546
egrr,z925hpa,mae,nhem,ob,--,--,30,337,6.487711454005935
egrr,z925hpa,mae,nhem,ob,--,--,36,337,6.910607448071217
egrr,z925hpa,mae,nhem,ob,--,--,42,337,7.344697299703263
egrr,z925hpa,mae,nhem,ob,--,--,48,337,7.946801097922848
egrr,z925hpa,mae,nhem,ob,--,--,54,168,7.740096130952382
egrr,z925hpa,mae,nhem,ob,--,--,60,169,9.707508343195267
egrr,z925hpa,mae,nhem,ob,--,--,72,169,11.420937988165681
egrr,z925hpa,mae,nhem,ob,--,--,84,169,13.489063964497044
egrr,z925hpa,mae,nhem,ob,--,--,96,169,16.110786390532546
egrr,z925hpa,mae,nhem,ob,--,--,108,169,19.199963905325443
egrr,z925hpa,mae,nhem,ob,--,--,120,169,22.53160473372781
egrr,z925hpa,mae,nhem,ob,--,--,132,169,26.119984615384617
egrr,z925hpa,mae,nhem,ob,--,--,144,169,29.808475739644972
egrr,z925hpa,mae,tropics,ob,--,--,0,221,7.288654298642533
egrr,z925hpa,mae,tropics,ob,--,--,6,221,8.270513212669684
egrr,z925hpa,mae,tropics,ob,--,--,12,221,7.947868802755656
egrr,z925hpa,mae,tropics,ob,--,--,18,221,8.369466733031675
egrr,z925hpa,mae,tropics,ob,--,--,24,221,8.062573312217195
egrr,z925hpa,mae,tropics,ob,--,--,30,221,8.658336018099547
egrr,z925hpa,mae,tropics,ob,--,--,36,221,8.763873031674208
egrr,z925hpa,mae,tropics,ob,--,--,42,221,9.095711945701359
egrr,z925hpa,mae,tropics,ob,--,--,48,221,9.115713891402715
egrr,z925hpa,mae,tropics,ob,--,--,54,52,14.716593076923077
egrr,z925hpa,mae,tropics,ob,--,--,60,169,7.9285119526627215
egrr,z925hpa,mae,tropics,ob,--,--,72,169,8.233025207100592
egrr,z925hpa,mae,tropics,ob,--,--,84,169,8.533267337278106
egrr,z925hpa,mae,tropics,ob,--,--,96,169,8.884843905325445
egrr,z925hpa,mae,tropics,ob,--,--,108,169,9.144438165680473
egrr,z925hpa,mae,tropics,ob,--,--,120,169,9.323469763313609
egrr,z925hpa,mae,tropics,ob,--,--,132,169,9.617730532544378
egrr,z925hpa,mae,tropics,ob,--,--,144,169,9.899866449704142
egrr,z925hpa,mae,shem,ob,--,--,0,210,4.693938676142857
egrr,z925hpa,mae,shem,ob,--,--,6,210,5.891187638095238
egrr,z925hpa,mae,shem,ob,--,--,12,210,5.892690331428572
egrr,z925hpa,mae,shem,ob,--,--,18,210,6.470316388571428
egrr,z925hpa,mae,shem,ob,--,--,24,210,6.721317046619047
egrr,z925hpa,mae,shem,ob,--,--,30,210,7.350570019047619
egrr,z925hpa,mae,shem,ob,--,--,36,210,7.507734842857143
egrr,z925hpa,mae,shem,ob,--,--,42,210,7.973618495238096
