centre,par,sc,dom,ref,d,t,s,n,v
egrr,z1000hpa,me,nhem,ob,--,--,0,339,0.023747303923303785
egrr,z1000hpa,me,nhem,ob,--,--,6,339,-0.18412451020648965
egrr,z1000hpa,me,nhem,ob,--,--,12,339,-0.14781982837758093
egrr,z1000hpa,me,nhem,ob,--,--,18,339,-0.1404757155162243
egrr,z1000hpa,me,nhem,ob,--,--,24,339,-0.2512276896460178
egrr,z1000hpa,me,nhem,ob,--,--,30,339,-0.21421064247787616
egrr,z1000hpa,me,nhem,ob,--,--,36,339,-0.17468010589970503
egrr,z1000hpa,me,nhem,ob,--,--,42,339,-0.20046231657817118
egrr,z1000hpa,me,nhem,ob,--,--,48,339,-0.24259396728613544
egrr,z1000hpa,me,nhem,ob,--,--,54,169,0.7093384124260356
egrr,z1000hpa,me,nhem,ob,--,--,60,170,-0.5416933511764707
egrr,z1000hpa,me,nhem,ob,--,--,72,170,-0.6005932382352942
egrr,z1000hpa,me,nhem,ob,--,--,84,170,-0.9408094029411765
egrr,z1000hpa,me,nhem,ob,--,--,96,170,-1.368745885235294
egrr,z1000hpa,me,nhem,ob,--,--,108,170,-2.095654610588235
egrr,z1000hpa,me,nhem,ob,--,--,120,170,-3.018057934129412
egrr,z1000hpa,me,nhem,ob,--,--,132,170,-3.909137524705882
egrr,z1000hpa,me,nhem,ob,--,--,144,170,-4.666636035294118
egrr,z1000hpa,me,tropics,ob,--,--,0,289,2.038364213148789
egrr,z1000hpa,me,tropics,ob,--,--,6,289,3.2671615112110732
egrr,z1000hpa,me,tropics,ob,--,--,12,289,2.501101291487889
egrr,z1000hpa,me,tropics,ob,--,--,18,289,2.6610980851211066
egrr,z1000hpa,me,tropics,ob,--,--,24,289,2.4971553328719724
egrr,z1000hpa,me,tropics,ob,--,--,30,289,2.6953752062283733
egrr,z1000hpa,me,tropics,ob,--,--,36,289,2.1173068346020756
egrr,z1000hpa,me,tropics,ob,--,--,42,289,2.2995143890069207
egrr,z1000hpa,me,tropics,ob,--,--,48,289,2.2869527986159173
egrr,z1000hpa,me,tropics,ob,--,--,54,119,7.912634932773108
egrr,z1000hpa,me,tropics,ob,--,--,60,170,-1.946514874117647
egrr,z1000hpa,me,tropics,ob,--,--,72,170,-2.1945910789235294
egrr,z1000hpa,me,tropics,ob,--,--,84,170,-2.6469153235294116
egrr,z1000hpa,me,tropics,ob,--,--,96,170,-2.6861172235294117
egrr,z1000hpa,me,tropics,ob,--,--,108,170,-3.281216546941176
egrr,z1000hpa,me,tropics,ob,--,--,120,170,-3.619085889352941
egrr,z1000hpa,me,tropics,ob,--,--,132,170,-3.6313178229411767
egrr,z1000hpa,me,tropics,ob,--,--,144,170,-3.523249995294117
egrr,z1000hpa,me,shem,ob,--,--,0,207,-1.4887866690821254
egrr,z1000hpa,me,shem,ob,--,--,6,207,0.3255306149758455
egrr,z1000hpa,me,shem,ob,--,--,12,207,-0.35646911062801917
egrr,z1000hpa,me,shem,ob,--,--,18,207,0.11918580657004825
egrr,z1000hpa,me,shem,ob,--,--,24,207,-0.04318960869565228
egrr,z1000hpa,me,shem,ob,--,--,30,207,0.4857788966183577
egrr,z1000hpa,me,shem,ob,--,--,36,207,-0.17657439323671492
egrr,z1000hpa,me,shem,ob,--,--,42,207,0.39273948550724613
egrr,z1000hpa,me,shem,ob,--,--,48,207,0.40508005652173923
egrr,z1000hpa,me,shem,ob,--,--,54,37,8.799216972972971
egrr,z1000hpa,me,shem,ob,--,--,60,170,-1.4331743747058825
egrr,z1000hpa,me,shem,ob,--,--,72,170,-1.5883827
