centre,par,sc,dom,ref,d,t,s,n,v
egrr,z1000hpa,me,nhem,ob,--,--,0,337,0.4278115132937684
egrr,z1000hpa,me,nhem,ob,--,--,6,337,0.18471541807121672
egrr,z1000hpa,me,nhem,ob,--,--,12,337,0.038572278961424476
egrr,z1000hpa,me,nhem,ob,--,--,18,337,0.10110001534124612
egrr,z1000hpa,me,nhem,ob,--,--,24,337,0.03509722364985133
egrr,z1000hpa,me,nhem,ob,--,--,30,337,-0.01566875613649867
egrr,z1000hpa,me,nhem,ob,--,--,36,337,0.07502157572700312
egrr,z1000hpa,me,nhem,ob,--,--,42,337,0.03239233810088994
egrr,z1000hpa,me,nhem,ob,--,--,48,337,-0.10907644391691398
egrr,z1000hpa,me,nhem,ob,--,--,54,168,0.3575096176190479
egrr,z1000hpa,me,nhem,ob,--,--,60,169,-0.5128604781656804
egrr,z1000hpa,me,nhem,ob,--,--,72,169,-0.6641632626035504
egrr,z1000hpa,me,nhem,ob,--,--,84,169,-1.0181363698224852
egrr,z1000hpa,me,nhem,ob,--,--,96,169,-1.6576179585798816
egrr,z1000hpa,me,nhem,ob,--,--,108,169,-2.6397044418934907
egrr,z1000hpa,me,nhem,ob,--,--,120,169,-3.6024204852071007
egrr,z1000hpa,me,nhem,ob,--,--,132,169,-4.396546083431953
egrr,z1000hpa,me,nhem,ob,--,--,144,169,-5.388190001183432
egrr,z1000hpa,me,tropics,ob,--,--,0,287,2.3547549320557493
egrr,z1000hpa,me,tropics,ob,--,--,6,287,2.683528314634146
egrr,z1000hpa,me,tropics,ob,--,--,12,287,2.0290378628919856
egrr,z1000hpa,me,tropics,ob,--,--,18,287,2.4175781750522654
egrr,z1000hpa,me,tropics,ob,--,--,24,287,2.266015982891987
egrr,z1000hpa,me,tropics,ob,--,--,30,287,2.4298170296167254
egrr,z1000hpa,me,tropics,ob,--,--,36,287,1.913949158466899
egrr,z1000hpa,me,tropics,ob,--,--,42,287,2.079656648641115
egrr,z1000hpa,me,tropics,ob,--,--,48,287,2.3308258982229964
egrr,z1000hpa,me,tropics,ob,--,--,54,118,8.061454577118644
egrr,z1000hpa,me,tropics,ob,--,--,60,169,-1.8899350639053254
egrr,z1000hpa,me,tropics,ob,--,--,72,169,-2.008664082426036
egrr,z1000hpa,me,tropics,ob,--,--,84,169,-2.3865931307692305
egrr,z1000hpa,me,tropics,ob,--,--,96,169,-2.3020405731360944
egrr,z1000hpa,me,tropics,ob,--,--,108,169,-2.848659497633136
egrr,z1000hpa,me,tropics,ob,--,--,120,169,-3.0120411455621303
egrr,z1000hpa,me,tropics,ob,--,--,132,169,-2.9062134142011837
egrr,z1000hpa,me,tropics,ob,--,--,144,169,-2.9631190144970416
egrr,z1000hpa,me,shem,ob,--,--,0,206,-0.8703257368932038
egrr,z1000hpa,me,shem,ob,--,--,6,206,0.6277339041747575
egrr,z1000hpa,me,shem,ob,--,--,12,206,0.25247574276699025
egrr,z1000hpa,me,shem,ob,--,--,18,206,0.373073549514563
egrr,z1000hpa,me,shem,ob,--,--,24,206,0.3677195665048541
egrr,z1000hpa,me,shem,ob,--,--,30,206,0.4753336995631067
egrr,z1000hpa,me,shem,ob,--,--,36,206,0.02945701504854346
egrr,z1000hpa,me,shem,ob,--,--,42,206,0.4425122470873785
egrr,z1000hpa,me,shem,ob,--,--,48,206,0.4327297043689321
egrr,z1000hpa,me,shem,ob,--,--,54,37,8.637111945945948
egrr,z1000hpa,me,shem,ob,--,--,60,169,-1.4149497211834319
egrr,z1000hpa,me,shem,ob,--,--,72,169,-1.5653981202366862
egrr,z1000hpa,me,shem,ob,--,--,84,169,-1.7644781733727812
egrr,z1000hpa,me,shem,ob,--,--,96,169,-2.252940456804734
egrr,z1000hpa,me,shem,ob,--,--,108,169,-2.6610889914201183
egrr,z1000hpa,me,shem,ob,--,--,120,169,-2.964251278698225
egrr,z1000hpa,me,shem,ob,--,--,132,169,-3.2092200114674556
egrr,z1000hpa,me,shem,ob,--,--,144,169,-3.8672076473372785
egrr,z1000hpa,mae,nhem,ob,--,--,0,337,5.528996053412463
egrr,z1000hpa,mae,nhem,ob,--,--,6,337,5.869612581602374
egrr,z1000hpa,mae,nhem,ob,--,--,12,337,6.201720362017804
egrr,z1000hpa,mae,nhem,ob,--,--,18,337,6.580358100890208
egrr,z1000hpa,mae,nhem,ob,--,--,24,337,6.890496243323442
egrr,z1000hpa,mae,nhem,ob,--,--,30,337,7.354886673590505
egrr,z1000hpa,mae,nhem,ob,--,--,36,337,7.835026955489614
egrr,z1000hpa,mae,nhem,ob,--,--,42,337,8.256039293768545
egrr,z1000hpa,mae,nhem,ob,--,--,48,337,8.768536646884273
egrr,z1000hpa,mae,nhem,ob,--,--,54,168,9.535547254166667
egrr,z1000hpa,mae,nhem,ob,--,--,60,169,9.524011597633137
egrr,z1000hpa,mae,nhem,ob,--,--,72,169,11.007669526627218
egrr,z1000hpa,mae,nhem,ob,--,--,84,169,12.804210236686393
egrr,z1000hpa,mae,nhem,ob,--,--,96,169,15.002858579881657
egrr,z1000hpa,mae,nhem,ob,--,--,108,169,17.666487573964496
egrr,z1000hpa,mae,nhem,ob,--,--,120,169,20.47193372781065
egrr,z1000hpa,mae,nhem,ob,--,--,132,169,23.70538875739645
egrr,z1000hpa,mae,nhem,ob,--,--,144,169,27.049017159763316
egrr,z1000hpa,mae,tropics,ob,--,--,0,287,9.58284436933798
egrr,z1000hpa,mae,tropics,ob,--,--,6,287,10.47596787456446
egrr,z1000hpa,mae,tropics,ob,--,--,12,287,10.13808644599303
egrr,z1000hpa,mae,tropics,ob,--,--,18,287,11.003283031358885
egrr,z1000hpa,mae,tropics,ob,--,--,24,287,10.81527268292683
egrr,z1000hpa,mae,tropics,ob,--,--,30,287,11.296535052264808
egrr,z1000hpa,mae,tropics,ob,--,--,36,287,11.266539895470382
egrr,z1000hpa,mae,tropics,ob,--,--,42,287,11.243916724738677
egrr,z1000hpa,mae,tropics,ob,--,--,48,287,11.815359024390244
egrr,z1000hpa,mae,tropics,ob,--,--,54,118,17.832509237288136
egrr,z1000hpa,mae,tropics,ob,--,--,60,169,7.997448047337278
egrr,z1000hpa,mae,tropics,ob,--,--,72,169,8.25057124260355
egrr,z1000hpa,mae,tropics,ob,--,--,84,169,8.586248816568048
egrr,z1000hpa,mae,tropics,ob,--,--,96,169,8.926954023668639
egrr,z1000hpa,mae,tropics,ob,--,--,108,169,9.181219940828402
egrr,z1000hpa,mae,tropics,ob,--,--,120,169,9.419038284023669
egrr,z1000hpa,mae,tropics,ob,--,--,132,169,9.649798698224853
egrr,z1000hpa,mae,tropics,ob,--,--,144,169,9.90475698224852
egrr,z1000hpa,mae,shem,ob,--,--,0,206,4.915025276213592
egrr,z1000hpa,mae,shem,ob,--,--,6,206,5.98096675092233
egrr,z1000hpa,mae,shem,ob,--,--,12,206,6.017619483932039
egrr,z1000hpa,mae,shem,ob,--,--,18,206,6.581800514563107
egrr,z1000hpa,mae,shem,ob,--,--,24,206,6.78572464854369
egrr,z1000hpa,mae,shem,ob,--,--,30,206,7.377488608252428
egrr,z1000hpa,mae,shem,ob,--,--,36,206,7.559941535436892
egrr,z1000hpa,mae,shem,ob,--,--,42,206,8.044695975728155
egrr,z1000hpa,mae,shem,ob,--,--,48,206,8.380185063106795
egrr,z1000hpa,mae,shem,ob,--,--,54,37,9.37044756756757
egrr,z1000hpa,mae,shem,ob,--,--,60,169,9.032872130177514
egrr,z1000hpa,mae,shem,ob,--,--,72,169,10.194733550295858
egrr,z1000hpa,mae,shem,ob,--,--,84,169,11.290262544378697
egrr,z1000hpa,mae,shem,ob,--,--,96,169,12.952890118343195
egrr,z1000hpa,mae,shem,ob,--,--,108,169,14.660992485207101
egrr,z1000hpa,mae,shem,ob,--,--,120,169,16.26414775147929
egrr,z1000hpa,mae,shem,ob,--,--,132,169,18.427885857988166
egrr,z1000hpa,mae,shem,ob,--,--,144,169,20.840156627218935
egrr,z1000hpa,rmse,nhem,ob,--,--,0,337,7.780776888793761
egrr,z1000hpa,rmse,nhem,ob,--,--,6,337,8.16952454953154
egrr,z1000hpa,rmse,nhem,ob,--,--,12,337,8.516088825589359
egrr,z1000hpa,rmse,nhem,ob,--,--,18,337,8.926013835496992
egrr,z1000hpa,rmse,nhem,ob,--,--,24,337,9.303407562631703
egrr,z1000hpa,rmse,nhem,ob,--,--,30,337,9.842874192855678
egrr,z1000hpa,rmse,nhem,ob,--,--,36,337,10.36732782508336
egrr,z1000hpa,rmse,nhem,ob,--,--,42,337,10.80287465959031
egrr,z1000hpa,rmse,nhem,ob,--,--,48,337,11.416765305906083
egrr,z1000hpa,rmse,nhem,ob,--,--,54,168,11.740426172745494
egrr,z1000hpa,rmse,nhem,ob,--,--,60,169,12.949187033654141
egrr,z1000hpa,rmse,nhem,ob,--,--,72,169,14.919501059809992
egrr,z1000hpa,rmse,nhem,ob,--,--,84,169,17.377771889035223
egrr,z1000hpa,rmse,nhem,ob,--,--,96,169,20.541211320767122
egrr,z1000hpa,rmse,nhem,ob,--,--,108,169,24.406131541957862
egrr,z1000hpa,rmse,nhem,ob,--,--,120,169,28.415212138828142
egrr,z1000hpa,rmse,nhem,ob,--,--,132,169,32.971324513399736
egrr,z1000hpa,rmse,nhem,ob,--,--,144,169,37.53743600210117
egrr,z1000hpa,rmse,tropics,ob,--,--,0,287,11.364915290721516
egrr,z1000hpa,rmse,tropics,ob,--,--,6,287,12.244379284750714
egrr,z1000hpa,rmse,tropics,ob,--,--,12,287,11.970864105123038
egrr,z1000hpa,rmse,tropics,ob,--,--,18,287,12.863316094739
egrr,z1000hpa,rmse,tropics,ob,--,--,24,287,12.702393245812603
egrr,z1000hpa,rmse,tropics,ob,--,--,30,287,13.139849464911864
egrr,z1000hpa,rmse,tropics,ob,--,--,36,287,13.100461456786338
egrr,z1000hpa,rmse,tropics,ob,--,--,42,287,13.07867672539226
egrr,z1000hpa,rmse,tropics,ob,--,--,48,287,13.649918864353689
egrr,z1000hpa,rmse,tropics,ob,--,--,54,118,18.44815198123111
egrr,z1000hpa,rmse,tropics,ob,--,--,60,169,10.762894020787295
egrr,z1000hpa,rmse,tropics,ob,--,--,72,169,11.053361565960072
egrr,z1000hpa,rmse,tropics,ob,--,--,84,169,11.445799900922093
egrr,z1000hpa,rmse,tropics,ob,--,--,96,169,11.879927140163042
egrr,z1000hpa,rmse,tropics,ob,--,--,108,169,12.19543876432319
egrr,z1000hpa,rmse,tropics,ob,--,--,120,169,12.498829760384895
egrr,z1000hpa,rmse,tropics,ob,--,--,132,169,12.768232319975361
egrr,z1000hpa,rmse,tropics,ob,--,--,144,169,13.07117439235504
egrr,z1000hpa,rmse,shem,ob,--,--,0,206,6.909549045774471
egrr,z1000hpa,rmse,shem,ob,--,--,6,206,7.889789558057884
egrr,z1000hpa,rmse,shem,ob,--,--,12,206,7.965213342318169
egrr,z1000hpa,rmse,shem,ob,--,--,18,206,8.664634866136417
egrr,z1000hpa,rmse,shem,ob,--,--,24,206,8.846889921733467
egrr,z1000hpa,rmse,shem,ob,--,--,30,206,9.603769046454175
egrr,z1000hpa,rmse,shem,ob,--,--,36,206,9.755865290190743
egrr,z1000hpa,rmse,shem,ob,--,--,42,206,10.286793871582889
egrr,z1000hpa,rmse,shem,ob,--,--,48,206,10.62331652754722
egrr,z1000hpa,rmse,shem,ob,--,--,54,37,9.370448841164691
egrr,z1000hpa,rmse,shem,ob,--,--,60,169,11.960645229250138
egrr,z1000hpa,rmse,shem,ob,--,--,72,169,13.280529851043624
egrr,z1000hpa,rmse,shem,ob,--,--,84,169,14.884800338050235
egrr,z1000hpa,rmse,shem,ob,--,--,96,169,16.845101437982333
egrr,z1000hpa,rmse,shem,ob,--,--,108,169,19.152287983360225
egrr,z1000hpa,rmse,shem,ob,--,--,120,169,21.30522071452559
egrr,z1000hpa,rmse,shem,ob,--,--,132,169,24.136284529030053
egrr,z1000hpa,rmse,shem,ob,--,--,144,169,27.39187583088598
egrr,z1000hpa,sd,nhem,ob,--,--,0,335,7.061337223683154
egrr,z1000hpa,sd,nhem,ob,--,--,6,334,7.4286491932438325
egrr,z1000hpa,sd,nhem,ob,--,--,12,335,7.68111453305849
egrr,z1000hpa,sd,nhem,ob,--,--,18,335,8.00801880754485
egrr,z1000hpa,sd,nhem,ob,--,--,24,335,8.323711845903754
egrr,z1000hpa,sd,nhem,ob,--,--,30,336,8.759840449463809
egrr,z1000hpa,sd,nhem,ob,--,--,36,336,9.180371378126996
egrr,z1000hpa,sd,nhem,ob,--,--,42,334,9.693605512456898
egrr,z1000hpa,sd,nhem,ob,--,--,48,334,10.246164083853744
egrr,z1000hpa,sd,nhem,ob,--,--,54,165,9.433976134643466
egrr,z1000hpa,sd,nhem,ob,--,--,60,169,12.816256697685285
egrr,z1000hpa,sd,nhem,ob,--,--,72,169,14.738243407100677
egrr,z1000hpa,sd,nhem,ob,--,--,84,169,17.124486821231514
egrr,z1000hpa,sd,nhem,ob,--,--,96,169,20.192055071948904
egrr,z1000hpa,sd,nhem,ob,--,--,108,169,23.894768843314253
egrr,z1000hpa,sd,nhem,ob,--,--,120,169,27.718504534844275
egrr,z1000hpa,sd,nhem,ob,--,--,132,169,32.08781023825134
egrr,z1000hpa,sd,nhem,ob,--,--,144,169,36.44229989455765
egrr,z1000hpa,sd,tropics,ob,--,--,0,260,7.110201243286557
egrr,z1000hpa,sd,tropics,ob,--,--,6,257,7.765575979189676
egrr,z1000hpa,sd,tropics,ob,--,--,12,253,7.749328104939936
egrr,z1000hpa,sd,tropics,ob,--,--,18,267,7.646005432799608
egrr,z1000hpa,sd,tropics,ob,--,--,24,259,7.786045672273584
egrr,z1000hpa,sd,tropics,ob,--,--,30,259,7.930770067951367
egrr,z1000hpa,sd,tropics,ob,--,--,36,264,7.766667707309206
egrr,z1000hpa,sd,tropics,ob,--,--,42,258,8.111201041051146
egrr,z1000hpa,sd,tropics,ob,--,--,48,264,7.927600264447757
egrr,z1000hpa,sd,tropics,ob,--,--,54,92,4.49688994099988
egrr,z1000hpa,sd,tropics,ob,--,--,60,169,10.465756526960662
egrr,z1000hpa,sd,tropics,ob,--,--,72,169,10.77056521637344
egrr,z1000hpa,sd,tropics,ob,--,--,84,169,11.07468458393758
egrr,z1000hpa,sd,tropics,ob,--,--,96,169,11.522737074283507
egrr,z1000hpa,sd,tropics,ob,--,--,108,169,11.693986118150052
egrr,z1000hpa,sd,tropics,ob,--,--,120,169,11.93669605090014
egrr,z1000hpa,sd,tropics,ob,--,--,132,169,12.224659270130068
egrr,z1000hpa,sd,tropics,ob,--,--,144,169,12.479233652412065
egrr,z1000hpa,sd,shem,ob,--,--,0,192,6.142153918772235
egrr,z1000hpa,sd,shem,ob,--,--,6,186,7.290352043203627
egrr,z1000hpa,sd,shem,ob,--,--,12,186,7.20052944365085
egrr,z1000hpa,sd,shem,ob,--,--,18,187,7.943569213825107
egrr,z1000hpa,sd,shem,ob,--,--,24,185,8.058014320249384
egrr,z1000hpa,sd,shem,ob,--,--,30,189,8.644893053138587
egrr,z1000hpa,sd,shem,ob,--,--,36,183,8.980130237734421
