centre,par,sc,dom,ref,d,t,s,n,v
egrr,z1000hpa,me,nhem,ob,--,--,0,337,0.4827818115590505
egrr,z1000hpa,me,nhem,ob,--,--,6,337,0.2807358213649851
egrr,z1000hpa,me,nhem,ob,--,--,12,337,0.1344693451038576
egrr,z1000hpa,me,nhem,ob,--,--,18,337,0.18862624329376837
egrr,z1000hpa,me,nhem,ob,--,--,24,337,0.11815818486646865
egrr,z1000hpa,me,nhem,ob,--,--,30,337,0.06932018130563775
egrr,z1000hpa,me,nhem,ob,--,--,36,337,0.12785642532047453
egrr,z1000hpa,me,nhem,ob,--,--,42,337,0.11823769572700295
egrr,z1000hpa,me,nhem,ob,--,--,48,337,0.06038877578634987
egrr,z1000hpa,me,nhem,ob,--,--,54,168,0.44507110357142887
egrr,z1000hpa,me,nhem,ob,--,--,60,169,-0.3436931852071006
egrr,z1000hpa,me,nhem,ob,--,--,72,169,-0.454313852189349
egrr,z1000hpa,me,nhem,ob,--,--,84,169,-0.8873708313609469
egrr,z1000hpa,me,nhem,ob,--,--,96,169,-1.5104390402366863
egrr,z1000hpa,me,nhem,ob,--,--,108,169,-2.4456718379289937
egrr,z1000hpa,me,nhem,ob,--,--,120,169,-3.267215454970414
egrr,z1000hpa,me,nhem,ob,--,--,132,169,-4.011114698224852
egrr,z1000hpa,me,nhem,ob,--,--,144,169,-4.839827310650888
egrr,z1000hpa,me,tropics,ob,--,--,0,287,2.6862928430313593
egrr,z1000hpa,me,tropics,ob,--,--,6,287,3.2775578314216034
egrr,z1000hpa,me,tropics,ob,--,--,12,287,2.7237905777003486
egrr,z1000hpa,me,tropics,ob,--,--,18,287,2.9387733655052264
egrr,z1000hpa,me,tropics,ob,--,--,24,287,2.807040563728223
egrr,z1000hpa,me,tropics,ob,--,--,30,287,3.0014213062717774
egrr,z1000hpa,me,tropics,ob,--,--,36,287,2.655843053658536
egrr,z1000hpa,me,tropics,ob,--,--,42,287,2.696857124390243
egrr,z1000hpa,me,tropics,ob,--,--,48,287,2.868043540627177
egrr,z1000hpa,me,tropics,ob,--,--,54,118,8.33121249152542
egrr,z1000hpa,me,tropics,ob,--,--,60,169,-1.3869016343195268
egrr,z1000hpa,me,tropics,ob,--,--,72,169,-1.4860137053254439
egrr,z1000hpa,me,tropics,ob,--,--,84,169,-1.9314605609467457
egrr,z1000hpa,me,tropics,ob,--,--,96,169,-1.9066270662721896
egrr,z1000hpa,me,tropics,ob,--,--,108,169,-2.363677104615385
egrr,z1000hpa,me,tropics,ob,--,--,120,169,-2.509525674556213
egrr,z1000hpa,me,tropics,ob,--,--,132,169,-2.3476948668639053
egrr,z1000hpa,me,tropics,ob,--,--,144,169,-2.4009346208343194
egrr,z1000hpa,me,shem,ob,--,--,0,206,-0.5998761126213594
egrr,z1000hpa,me,shem,ob,--,--,6,206,0.8118915250485439
egrr,z1000hpa,me,shem,ob,--,--,12,206,0.5742187033980583
egrr,z1000hpa,me,shem,ob,--,--,18,206,0.8300419250970875
egrr,z1000hpa,me,shem,ob,--,--,24,206,0.8027773499514564
egrr,z1000hpa,me,shem,ob,--,--,30,206,0.9098291601941749
egrr,z1000hpa,me,shem,ob,--,--,36,206,0.3870727739805825
egrr,z1000hpa,me,shem,ob,--,--,42,206,0.9424387475728158
egrr,z1000hpa,me,shem,ob,--,--,48,206,0.8756590096116503
egrr,z1000hpa,me,shem,ob,--,--,54,37,8.75152718918919
egrr,z1000hpa,me,shem,ob,--,--,60,169,-1.0429319953491125
egrr,z1000hpa,me,shem,ob,--,--,72,169,-1.1402712379881654
egrr,z1000hpa,me,shem,ob,--,--,84,169,-1.3647269408284022
egrr,z1000hpa,me,shem,ob,--,--,96,169,-1.7318712130177516
egrr,z1000hpa,me,shem,ob,--,--,108,169,-1.999524728994083
egrr,z1000hpa,me,shem,ob,--,--,120,169,-2.187362849704142
egrr,z1000hpa,me,shem,ob,--,--,132,169,-2.5769024562130176
egrr,z1000hpa,me,shem,ob,--,--,144,169,-3.2796915781065095
egrr,z1000hpa,mae,nhem,ob,--,--,0,337,5.525556142433234
egrr,z1000hpa,mae,nhem,ob,--,--,6,337,5.884942136498516
egrr,z1000hpa,mae,nhem,ob,--,--,12,337,6.205953424332344
egrr,z1000hpa,mae,nhem,ob,--,--,18,337,6.591695578635015
egrr,z1000hpa,mae,nhem,ob,--,--,24,337,6.877223181008901
egrr,z1000hpa,mae,nhem,ob,--,--,30,337,7.3330745400593464
egrr,z1000hpa,mae,nhem,ob,--,--,36,337,7.8398464952522255
egrr,z1000hpa,mae,nhem,ob,--,--,42,337,8.226373412462907
egrr,z1000hpa,mae,nhem,ob,--,--,48,337,8.724719198813057
egrr,z1000hpa,mae,nhem,ob,--,--,54,168,9.481839285714287
egrr,z1000hpa,mae,nhem,ob,--,--,60,169,9.482137573964495
egrr,z1000hpa,mae,nhem,ob,--,--,72,169,10.968503609467456
egrr,z1000hpa,mae,nhem,ob,--,--,84,169,12.773668994082842
egrr,z1000hpa,mae,nhem,ob,--,--,96,169,14.947533136094675
egrr,z1000hpa,mae,nhem,ob,--,--,108,169,17.60041656804734
egrr,z1000hpa,mae,nhem,ob,--,--,120,169,20.390551479289943
egrr,z1000hpa,mae,nhem,ob,--,--,132,169,23.53399230769231
egrr,z1000hpa,mae,nhem,ob,--,--,144,169,26.842744378698228
egrr,z1000hpa,mae,tropics,ob,--,--,0,287,9.494356804878048
egrr,z1000hpa,mae,tropics,ob,--,--,6,287,10.57424087108014
egrr,z1000hpa,mae,tropics,ob,--,--,12,287,10.377387003484321
egrr,z1000hpa,mae,tropics,ob,--,--,18,287,10.980126968641116
egrr,z1000hpa,mae,tropics,ob,--,--,24,287,10.771206585365853
egrr,z1000hpa,mae,tropics,ob,--,--,30,287,11.371734250871079
egrr,z1000hpa,mae,tropics,ob,--,--,36,287,11.399848153310103
egrr,z1000hpa,mae,tropics,ob,--,--,42,287,11.366632020905923
