centre,par,sc,dom,ref,d,t,s,n,v
egrr,z1000hpa,me,nhem,ob,--,--,0,337,0.42863241290801185
egrr,z1000hpa,me,nhem,ob,--,--,6,337,0.22079641913946585
egrr,z1000hpa,me,nhem,ob,--,--,12,337,0.13133181219584572
egrr,z1000hpa,me,nhem,ob,--,--,18,337,0.17702497210682502
egrr,z1000hpa,me,nhem,ob,--,--,24,337,0.07712630100890205
egrr,z1000hpa,me,nhem,ob,--,--,30,337,0.054950626261127455
egrr,z1000hpa,me,nhem,ob,--,--,36,337,0.15242654896142419
egrr,z1000hpa,me,nhem,ob,--,--,42,337,0.09921398308605328
egrr,z1000hpa,me,nhem,ob,--,--,48,337,0.07330807910979242
egrr,z1000hpa,me,nhem,ob,--,--,54,168,0.6126680976190473
egrr,z1000hpa,me,nhem,ob,--,--,60,169,-0.34459551609467465
egrr,z1000hpa,me,nhem,ob,--,--,72,169,-0.430764068224852
egrr,z1000hpa,me,nhem,ob,--,--,84,169,-0.7737664426035501
egrr,z1000hpa,me,nhem,ob,--,--,96,169,-1.3743374461538462
egrr,z1000hpa,me,nhem,ob,--,--,108,169,-2.272204344970414
egrr,z1000hpa,me,nhem,ob,--,--,120,169,-3.1228111857988163
egrr,z1000hpa,me,nhem,ob,--,--,132,169,-3.909342773372781
egrr,z1000hpa,me,nhem,ob,--,--,144,169,-4.781919391124261
egrr,z1000hpa,me,tropics,ob,--,--,0,287,2.219489051219512
egrr,z1000hpa,me,tropics,ob,--,--,6,287,3.0400191763414637
egrr,z1000hpa,me,tropics,ob,--,--,12,287,2.510448410174216
egrr,z1000hpa,me,tropics,ob,--,--,18,287,2.743750273519164
egrr,z1000hpa,me,tropics,ob,--,--,24,287,2.6829741668989544
egrr,z1000hpa,me,tropics,ob,--,--,30,287,2.7750273155052256
egrr,z1000hpa,me,tropics,ob,--,--,36,287,2.348440436829269
egrr,z1000hpa,me,tropics,ob,--,--,42,287,2.3747239555749133
egrr,z1000hpa,me,tropics,ob,--,--,48,287,2.6318348678397214
egrr,z1000hpa,me,tropics,ob,--,--,54,118,8.187140474576271
egrr,z1000hpa,me,tropics,ob,--,--,60,169,-1.6212625100591718
egrr,z1000hpa,me,tropics,ob,--,--,72,169,-1.7739297456343193
egrr,z1000hpa,me,tropics,ob,--,--,84,169,-2.2505215568047334
