centre,par,sc,dom,ref,d,t,s,n,v
egrr,z1000hpa,me,nhem,ob,--,--,0,337,0.2914253231454006
egrr,z1000hpa,me,nhem,ob,--,--,6,337,0.1324207191988132
egrr,z1000hpa,me,nhem,ob,--,--,12,337,0.017742935370919952
egrr,z1000hpa,me,nhem,ob,--,--,18,337,0.04707236409495559
egrr,z1000hpa,me,nhem,ob,--,--,24,337,0.01399409436201779
egrr,z1000hpa,me,nhem,ob,--,--,30,337,-0.04513954344213677
egrr,z1000hpa,me,nhem,ob,--,--,36,337,-0.016466797388724187
egrr,z1000hpa,me,nhem,ob,--,--,42,337,-0.0064038869436198395
egrr,z1000hpa,me,nhem,ob,--,--,48,337,-0.08665302949554896
egrr,z1000hpa,me,nhem,ob,--,--,54,168,0.5480234505952382
egrr,z1000hpa,me,nhem,ob,--,--,60,169,-0.3712764704142012
egrr,z1000hpa,me,nhem,ob,--,--,72,169,-0.46643825207100587
egrr,z1000hpa,me,nhem,ob,--,--,84,169,-0.7700951538461537
egrr,z1000hpa,me,nhem,ob,--,--,96,169,-1.2409303928994084
egrr,z1000hpa,me,nhem,ob,--,--,108,169,-2.0016095397041416
egrr,z1000hpa,me,nhem,ob,--,--,120,169,-2.763793328994083
egrr,z1000hpa,me,nhem,ob,--,--,132,169,-3.65740524556213
egrr,z1000hpa,me,nhem,ob,--,--,144,169,-4.520511443786982
egrr,z1000hpa,me,tropics,ob,--,--,0,287,2.7069922038675958
egrr,z1000hpa,me,tropics,ob,--,--,6,287,3.4041294613240423
egrr,z1000hpa,me,tropics,ob,--,--,12,287,2.7640875797909406
egrr,z1000hpa,me,tropics,ob,--,--,18,287,2.9364982754703832
egrr,z1000hpa,me,tropics,ob,--,--,24,287,2.745169141114982
egrr,z1000hpa,me,tropics,ob,--,--,30,287,2.935050235714286
egrr,z1000hpa,me,tropics,ob,--,--,36,287,2.469718410452961
egrr,z1000hpa,me,tropics,ob,--,--,42,287,2.6670030926829273
egrr,z1000hpa,me,tropics,ob,--,--,48,287,2.720193509554007
egrr,z1000hpa,me,tropics,ob,--,--,54,118,8.313814135593221
egrr,z1000hpa,me,tropics,ob,--,--,60,169,-1.507888936331361
egrr,z1000hpa,me,tropics,ob,--,--,72,169,-1.5998398076923077
egrr,z1000hpa,me,tropics,ob,--,--,84,169,-2.0093036739644967
egrr,z1000hpa,me,tropics,ob,--,--,96,169,-1.9561240307692305
egrr,z1000hpa,me,tropics,ob,--,--,108,169,-2.4464951771556214
egrr,z1000hpa,me,tropics,ob,--,--,120,169,-2.6496784869822485
egrr,z1000hpa,me,tropics,ob,--,--,132,169,-2.5543966071005912
egrr,z1000hpa,me,tropics,ob,--,--,144,169,-2.6314288055621304
egrr,z1000hpa,me,shem,ob,--,--,0,206,-0.80108017815534
egrr,z1000hpa,me,shem,ob,--,--,6,206,0.7351831635922331
egrr,z1000hpa,me,shem,ob,--,--,12,206,0.2729275436893205
egrr,z1000hpa,me,shem,ob,--,--,18,206,0.6579263334951458
egrr,z1000hpa,me,shem,ob,--,--,24,206,0.6028502276699031
egrr,z1000hpa,me,shem,ob,--,--,30,206,0.9772464067961164
egrr,z1000hpa,me,shem,ob,--,--,36,206,0.37202609563106787
egrr,z1000hpa,me,shem,ob,--,--,42,206,0.9517344101941746
egrr,z1000hpa,me,shem,ob,--,--,48,206,0.8327764305825243
egrr,z1000hpa,me,shem,ob,--,--,54,37,9.738863721621621
egrr,z1000hpa,me,shem,ob,--,--,60,169,-1.054137229585799
egrr,z1000hpa,me,shem,ob,--,--,72,169,-1.1719812011834319
egrr,z1000hpa,me,shem,ob,--,--,84,169,-1.2618475940828402
egrr,z1000hpa,me,shem,ob,--,--,96,169,-1.3949224100591715
egrr,z1000hpa,me,shem,ob,--,--,108,169,-1.662958553254438
egrr,z1000hpa,me,shem,ob,--,--,120,169,-1.9522407047337278
egrr,z1000hpa,me,shem,ob,--,--,132,169,-2.5596253182840236
egrr,z1000hpa,me,shem,ob,--,--,144,169,-3.5596568384615384
egrr,z1000hpa,mae,nhem,ob,--,--,0,337,5.498055222551929
egrr,z1000hpa,mae,nhem,ob,--,--,6,337,5.8734083382789315
egrr,z1000hpa,mae,nhem,ob,--,--,12,337,6.197322685459941
egrr,z1000hpa,mae,nhem,ob,--,--,18,337,6.5814690771513344
egrr,z1000hpa,mae,nhem,ob,--,--,24,337,6.876894691394659
egrr,z1000hpa,mae,nhem,ob,--,--,30,337,7.343204272997033
egrr,z1000hpa,mae,nhem,ob,--,--,36,337,7.724113860534125
egrr,z1000hpa,mae,nhem,ob,--,--,42,337,8.181176213649852
egrr,z1000hpa,mae,nhem,ob,--,--,48,337,8.689448249258161
egrr,z1000hpa,mae,nhem,ob,--,--,54,168,9.261576428571429
egrr,z1000hpa,mae,nhem,ob,--,--,60,169,9.31628650887574
egrr,z1000hpa,mae,nhem,ob,--,--,72,169,10.78365520710059
egrr,z1000hpa,mae,nhem,ob,--,--,84,169,12.561915621301775
egrr,z1000hpa,mae,nhem,ob,--,--,96,169,14.743621301775148
egrr,z1000hpa,mae,nhem,ob,--,--,108,169,17.38087869822485
egrr,z1000hpa,mae,nhem,ob,--,--,120,169,20.229108875739648
egrr,z1000hpa,mae,nhem,ob,--,--,132,169,23.433612426035502
egrr,z1000hpa,mae,nhem,ob,--,--,144,169,26.677014201183432
egrr,z1000hpa,mae,tropics,ob,--,--,0,287,9.479059271777002
egrr,z1000hpa,mae,tropics,ob,--,--,6,287,10.5715418815331
egrr,z1000hpa,mae,tropics,ob,--,--,12,287,10.354951393728221
egrr,z1000hpa,mae,tropics,ob,--,--,18,287,11.024031916376307
egrr,z1000hpa,mae,tropics,ob,--,--,24,287,10.717079024390243
egrr,z1000hpa,mae,tropics,ob,--,--,30,287,11.416993170731706
egrr,z1000hpa,mae,tropics,ob,--,--,36,287,11.425016480836238
egrr,z1000hpa,mae,tropics,ob,--,--,42,287,11.444198675958187
egrr,z1000hpa,mae,tropics,ob,--,--,48,287,11.915541080139374
egrr,z1000hpa,mae,tropics,ob,--,--,54,118,18.142764406779662
egrr,z1000hpa,mae,tropics,ob,--,--,60,169,7.881610355029586
egrr,z1000hpa,mae,tropics,ob,--,--,72,169,8.18015130177515
egrr,z1000hpa,mae,tropics,ob,--,--,84,169,8.498321715976331
egrr,z1000hpa,mae,tropics,ob,--,--,96,169,8.858495147928993
egrr,z1000hpa,mae,tropics,ob,--,--,108,169,9.103845384615386
egrr,z1000hpa,mae,tropics,ob,--,--,120,169,9.253628284023668
egrr,z1000hpa,mae,tropics,ob,--,--,132,169,9.581519940828404
